Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/18/2007,Cavaliers,Bucks,W,Starter,SF,39:58,24,9,18,0.5,1,4,0.25,5,10,0.5,0,5,5,9,2,0,2,2,18.5
4/17/2007,Cavaliers,Sixers,W,Starter,SF,36:03,18,7,15,0.467,0,2,0,4,7,0.571,1,4,5,6,0,0,1,3,11.6
4/14/2007,Cavaliers,Hawks,W,Starter,SF,31:57,23,8,16,0.5,3,6,0.5,4,5,0.8,1,4,5,6,1,1,0,1,20.6
4/12/2007,Cavaliers,Nets,W,Starter,SF,35:15,35,15,27,0.556,0,1,0,5,9,0.556,3,5,8,4,2,1,2,1,22.6
4/8/2007,Cavaliers,Pistons,L,Starter,SF,43:06,20,5,16,0.313,1,4,0.25,9,11,0.818,1,4,5,6,1,0,5,2,8.9
4/6/2007,Cavaliers,Wizards,W,Starter,SF,44:25,25,7,23,0.304,0,3,0,11,14,0.786,0,6,6,5,1,1,2,3,10.5
4/5/2007,Cavaliers,Heat,L,Starter,SF,48:36,35,11,21,0.524,2,5,0.4,11,13,0.846,2,7,9,5,0,0,4,4,20.6
4/3/2007,Cavaliers,Timberwolves,W,Starter,SF,41:49,31,13,24,0.542,0,2,0,5,5,1,2,10,12,6,4,1,2,1,29.1
3/31/2007,Cavaliers,Bulls,W,Starter,SF,47:24,39,14,25,0.56,0,3,0,11,13,0.846,1,4,5,9,3,0,7,4,22.4
3/28/2007,Cavaliers,Knicks,L,Starter,SF,43:55,24,6,20,0.3,2,5,0.4,10,14,0.714,1,5,6,7,2,0,3,3,13.0
3/27/2007,Cavaliers,Pacers,W,Starter,SF,40:08,26,8,18,0.444,0,3,0,10,14,0.714,1,6,7,6,2,0,3,4,15.8
3/25/2007,Cavaliers,Nuggets,L,Starter,SF,40:49,18,8,19,0.421,1,6,0.167,1,1,1,0,3,3,8,1,0,5,4,7.6
3/23/2007,Cavaliers,Knicks,W,Starter,SF,38:16,21,8,16,0.5,0,1,0,5,6,0.833,1,2,3,10,2,0,1,1,19.8
3/21/2007,Cavaliers,Mavericks,L,Starter,SF,45:27,31,12,28,0.429,1,6,0.167,6,7,0.857,0,6,6,4,2,3,6,3,13.4
3/20/2007,Cavaliers,Hornets,L,Starter,SF,46:33,37,12,31,0.387,2,9,0.222,11,12,0.917,2,4,6,6,1,3,3,4,19.3
3/17/2007,Cavaliers,Jazz,W,Starter,SF,43:40,24,8,21,0.381,0,6,0,8,13,0.615,2,15,17,9,2,2,4,3,24.1
3/14/2007,Cavaliers,Grizzlies,W,Starter,SF,29:35,29,11,17,0.647,4,7,0.571,3,6,0.5,1,5,6,4,3,0,2,0,23.8
3/11/2007,Cavaliers,Pacers,W,Starter,SF,38:42,26,10,22,0.455,2,6,0.333,4,5,0.8,3,4,7,6,3,1,2,2,20.6
3/10/2007,Cavaliers,Bucks,W,Starter,SF,36:30,32,12,22,0.545,4,6,0.667,4,4,1,0,8,8,9,3,1,6,5,24.5
3/7/2007,Cavaliers,Pistons,W,Starter,SF,50:40,41,17,31,0.548,1,3,0.333,6,8,0.75,2,5,7,8,3,1,4,4,26.5
3/5/2007,Cavaliers,Rockets,W,Starter,SF,41:38,32,12,24,0.5,3,6,0.5,5,9,0.556,1,11,12,8,0,0,3,2,23.9
3/3/2007,Cavaliers,Raptors,W,Starter,SF,37:22,36,10,20,0.5,1,3,0.333,15,17,0.882,2,3,5,6,0,3,2,1,25.4
3/1/2007,Cavaliers,Mavericks,L,Starter,SF,39:58,39,17,27,0.63,1,4,0.25,4,8,0.5,0,3,3,5,0,0,2,2,20.0
2/27/2007,Cavaliers,Pelicans,W,Starter,SF,42:50,35,14,22,0.636,3,4,0.75,4,7,0.571,1,4,5,8,2,1,4,1,26.4
2/25/2007,Cavaliers,Heat,L,Starter,SF,41:30,29,10,22,0.455,2,5,0.4,7,12,0.583,0,3,3,7,0,1,2,2,15.3
2/22/2007,Cavaliers,Bulls,L,Starter,SF,42:58,29,13,28,0.464,1,4,0.25,2,8,0.25,3,4,7,2,3,0,3,1,12.5
2/21/2007,Cavaliers,Raptors,W,Starter,SF,36:49,29,12,25,0.48,0,1,0,5,5,1,0,4,4,2,1,1,3,3,10.9
2/15/2007,Cavaliers,Lakers,W,Starter,SF,39:48,38,10,16,0.625,0,1,0,18,22,0.818,0,4,4,3,3,0,3,4,21.8
2/14/2007,Cavaliers,Jazz,L,Starter,SF,42:39,23,9,25,0.36,0,3,0,5,9,0.556,3,7,10,4,1,3,0,2,16.1
2/11/2007,Cavaliers,Lakers,W,Starter,SF,38:21,18,5,16,0.313,0,2,0,8,12,0.667,1,7,8,5,1,1,1,3,12.3
2/9/2007,Cavaliers,Heat,W,Starter,SF,41:08,29,12,22,0.545,1,4,0.25,4,8,0.5,1,6,7,6,0,0,2,1,18.5
2/7/2007,Cavaliers,Clippers,W,Starter,SF,36:19,11,4,13,0.308,1,2,0.5,2,2,1,0,7,7,3,1,1,2,1,8.3
2/4/2007,Cavaliers,Pistons,L,Starter,SF,43:17,21,9,22,0.409,1,4,0.25,2,3,0.667,0,5,5,6,2,0,3,2,11.1
2/2/2007,Cavaliers,Hornets,W,Starter,SF,35:39,18,7,13,0.538,0,1,0,4,8,0.5,1,9,10,3,2,0,1,1,16.5
2/1/2007,Cavaliers,Heat,L,Starter,SF,35:35,17,6,18,0.333,2,7,0.286,3,8,0.375,1,5,6,9,1,0,2,4,11.3
1/28/2007,Cavaliers,Suns,L,Starter,SF,42:04,30,12,22,0.545,3,6,0.5,3,6,0.5,2,7,9,5,2,0,3,2,21.5
1/24/2007,Cavaliers,Sixers,L,Starter,SF,53:10,39,14,26,0.538,3,8,0.375,8,13,0.615,2,8,10,5,1,0,4,2,23.6
1/22/2007,Cavaliers,Magic,L,Starter,SF,43:23,18,6,15,0.4,0,3,0,6,13,0.462,0,4,4,5,3,0,2,2,9.9
1/20/2007,Cavaliers,Warriors,W,Starter,SF,45:52,32,14,22,0.636,2,7,0.286,2,5,0.4,0,7,7,5,4,0,9,2,17.9
1/19/2007,Cavaliers,Nuggets,L,Starter,SF,43:52,30,9,23,0.391,0,1,0,12,14,0.857,2,8,10,10,2,0,3,2,23.5
1/17/2007,Cavaliers,Trail Blazers,L,Starter,SF,35:07,23,8,21,0.381,1,4,0.25,6,13,0.462,3,3,6,2,1,0,4,0,6.6
1/16/2007,Cavaliers,SuperSonics,L,Starter,SF,43:34,30,8,21,0.381,1,7,0.143,13,15,0.867,1,6,7,8,2,1,4,0,21.1
1/13/2007,Cavaliers,Clippers,W,Starter,SF,42:02,28,10,23,0.435,0,1,0,8,8,1,1,5,6,6,1,0,2,4,15.5
1/11/2007,Cavaliers,Suns,L,Starter,SF,38:49,34,15,28,0.536,3,9,0.333,1,2,0.5,2,4,6,6,1,0,5,2,18.3
1/9/2007,Cavaliers,Kings,W,Starter,SF,43:25,34,14,26,0.538,3,7,0.429,3,3,1,1,3,4,7,2,1,3,3,22.1
1/6/2007,Cavaliers,Nets,W,Starter,SF,44:00,19,9,21,0.429,1,3,0.333,0,0,0,0,13,13,4,3,3,5,4,16.0
1/5/2007,Cavaliers,Bucks,W,Starter,SF,42:50,8,3,13,0.231,0,4,0,2,2,1,0,5,5,9,1,0,2,1,8.8
1/3/2007,Cavaliers,Celtics,W,Starter,SF,44:47,32,11,20,0.55,2,3,0.667,8,10,0.8,1,5,6,4,3,1,3,0,23.0
1/2/2007,Cavaliers,Spurs,W,Starter,SF,40:14,19,7,17,0.412,0,1,0,5,11,0.455,0,5,5,5,2,0,3,1,9.4
12/30/2006,Cavaliers,Bulls,L,Starter,SF,40:19,33,15,26,0.577,3,4,0.75,0,3,0,2,7,9,3,1,0,5,4,16.6
12/29/2006,Cavaliers,Bucks,W,Starter,SF,44:01,32,11,21,0.524,2,6,0.333,8,13,0.615,1,3,4,5,1,1,3,5,16.1
12/27/2006,Cavaliers,Hawks,W,Starter,SF,39:31,27,10,25,0.4,1,2,0.5,6,8,0.75,1,8,9,3,1,2,1,1,16.8
12/23/2006,Cavaliers,Magic,W,Starter,SF,42:54,32,13,21,0.619,2,3,0.667,4,10,0.4,0,7,7,1,0,0,7,1,11.3
12/21/2006,Cavaliers,Pistons,L,Starter,SF,43:00,26,9,20,0.45,0,1,0,8,8,1,2,8,10,5,2,0,1,1,21.5
12/20/2006,Cavaliers,Nets,L,Starter,SF,40:11,37,10,22,0.455,1,3,0.333,16,21,0.762,0,1,1,8,2,1,3,4,19.4
12/16/2006,Cavaliers,Magic,L,Starter,SF,41:03,29,10,19,0.526,2,5,0.4,7,9,0.778,1,4,5,5,0,1,4,4,15.4
12/15/2006,Cavaliers,SuperSonics,W,Starter,SF,33:37,22,9,14,0.643,2,3,0.667,2,3,0.667,0,9,9,7,1,0,4,3,19.6
12/13/2006,Cavaliers,Hornets,W,Starter,SF,41:37,22,6,17,0.353,0,2,0,10,11,0.909,1,7,8,7,1,1,6,1,13.9
12/11/2006,Cavaliers,Pelicans,L,Starter,SF,41:36,15,7,18,0.389,0,3,0,1,1,1,3,4,7,6,4,0,3,1,13.6
12/9/2006,Cavaliers,Pacers,W,Starter,SF,31:52,27,11,16,0.688,1,3,0.333,4,6,0.667,0,7,7,6,1,1,3,0,23.0
12/6/2006,Cavaliers,Raptors,W,Starter,SF,40:30,26,11,18,0.611,1,2,0.5,3,5,0.6,1,5,6,10,1,0,4,1,21.9
12/2/2006,Cavaliers,Rockets,L,Starter,SF,35:44,21,7,22,0.318,2,6,0.333,5,7,0.714,1,4,5,4,0,0,3,2,5.9
12/1/2006,Cavaliers,Hawks,W,Starter,SF,42:55,31,12,23,0.522,1,3,0.333,6,10,0.6,2,5,7,8,3,2,4,4,22.8
11/29/2006,Cavaliers,Knicks,L,Starter,SF,41:11,27,10,22,0.455,0,5,0,7,11,0.636,1,6,7,6,0,1,5,1,13.4
11/25/2006,Cavaliers,Sixers,W,Starter,SF,40:50,25,10,20,0.5,1,4,0.25,4,7,0.571,0,4,4,11,0,1,7,4,13.4
11/24/2006,Cavaliers,Pacers,L,Starter,SF,42:26,30,6,14,0.429,2,2,1,16,20,0.8,1,6,7,5,1,0,3,6,17.5
11/22/2006,Cavaliers,Raptors,L,Starter,SF,39:55,30,11,24,0.458,2,7,0.286,6,9,0.667,0,10,10,8,4,0,2,1,25.6
11/21/2006,Cavaliers,Grizzlies,W,Starter,SF,41:59,15,7,21,0.333,1,5,0.2,0,1,0,0,1,1,9,3,1,3,1,9.1
