Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/14/2004,Cavaliers,Knicks,W,Starter,SF,35:00,17,8,17,0.471,0,3,0,1,1,1,0,1,1,5,3,0,5,1,7.1
4/12/2004,Cavaliers,Bucks,W,Starter,SF,45:00,27,9,20,0.45,1,4,0.25,8,11,0.727,1,6,7,9,2,0,1,1,22.9
4/10/2004,Cavaliers,Heat,W,Starter,SF,32:00,10,4,11,0.364,0,2,0,2,5,0.4,1,2,3,11,0,0,2,3,9.9
4/9/2004,Cavaliers,Heat,L,Starter,SF,42:00,24,6,14,0.429,1,1,1,11,15,0.733,1,6,7,8,1,0,8,2,13.4
4/7/2004,Cavaliers,Grizzlies,L,Starter,SF,36:00,14,4,11,0.364,0,0,0,6,7,0.857,0,3,3,5,3,0,2,4,9.4
4/6/2004,Cavaliers,Raptors,L,Starter,SG,46:00,21,5,17,0.294,0,0,0,11,14,0.786,1,5,6,4,3,0,3,2,10.8
4/3/2004,Cavaliers,Warriors,L,Starter,SG,46:00,34,12,28,0.429,3,5,0.6,7,11,0.636,3,5,8,10,1,1,3,1,24.1
4/2/2004,Cavaliers,Bucks,L,Starter,SG,36:00,20,9,19,0.474,0,0,0,2,2,1,0,7,7,7,5,0,5,3,15.8
3/30/2004,Cavaliers,Mavericks,L,Starter,SG,42:00,28,13,22,0.591,0,2,0,2,4,0.5,1,4,5,6,4,0,3,2,20
3/29/2004,Cavaliers,Spurs,L,Starter,SF,32:00,18,9,20,0.45,0,1,0,0,0,0,0,2,2,4,0,1,2,0,7.5
3/27/2004,Cavaliers,Nets,W,Starter,SF,44:00,41,15,29,0.517,1,2,0.5,10,10,1,2,4,6,13,3,0,2,1,34
3/26/2004,Cavaliers,Sixers,L,Starter,SF,33:00,16,5,13,0.385,1,2,0.5,5,9,0.556,2,1,3,7,0,1,5,1,8.1
3/23/2004,Cavaliers,Suns,L,Starter,SG,42:00,25,8,21,0.381,2,5,0.4,7,9,0.778,1,1,2,6,3,1,5,0,12.6
3/21/2004,Cavaliers,Pistons,L,Starter,SF,36:00,15,5,17,0.294,1,4,0.25,4,5,0.8,2,5,7,3,0,2,4,4,5.1
3/19/2004,Cavaliers,Jazz,L,Starter,SF,33:00,14,4,14,0.286,0,2,0,6,10,0.6,0,0,0,7,2,1,2,3,6.3
3/16/2004,Cavaliers,Bulls,W,Starter,SG,32:00,17,5,16,0.313,2,3,0.667,5,8,0.625,3,2,5,8,0,5,4,1,15
3/14/2004,Cavaliers,Pacers,W,Starter,SF,44:00,26,12,22,0.545,0,2,0,2,4,0.5,0,3,3,4,3,1,4,3,12.8
3/10/2004,Cavaliers,Raptors,W,Starter,SF,34:00,14,4,13,0.308,0,0,0,6,7,0.857,1,2,3,4,1,0,2,2,6.1
3/8/2004,Cavaliers,Hawks,W,Starter,SF,45:00,34,11,23,0.478,1,4,0.25,11,13,0.846,2,4,6,7,1,0,2,1,22.4
3/6/2004,Cavaliers,Bucks,W,Starter,SG,43:00,24,11,24,0.458,0,3,0,2,3,0.667,2,5,7,10,4,1,2,3,22.1
3/5/2004,Cavaliers,Pelicans,W,Starter,SF,37:00,19,7,17,0.412,2,2,1,3,4,0.75,2,4,6,4,2,0,4,5,9.3
3/3/2004,Cavaliers,Hawks,W,Starter,SF,28:00,24,9,17,0.529,1,2,0.5,5,6,0.833,1,6,7,3,1,1,1,0,18.5
3/1/2004,Cavaliers,Bulls,L,Starter,SF,41:00,18,7,17,0.412,0,2,0,4,6,0.667,0,3,3,3,4,1,3,2,9.3
