Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
11/30/2022,Lakers,Trail Blazers,W,Starter,PF,32:30,31,12,18,0.667,6,8,0.75,1,3,0.333,2,5,7,8,0,1,2,1,28.6
11/28/2022,Lakers,Pacers,L,Starter,PF,36:10,21,8,22,0.364,3,10,0.3,2,3,0.667,1,6,7,3,1,0,1,1,11.4
11/26/2022,Lakers,Spurs,W,Starter,PF,35:28,39,11,21,0.524,7,12,0.583,10,10,1,0,11,11,3,1,1,4,3,27.3
11/25/2022,Lakers,Spurs,W,Starter,PF,33:15,21,8,17,0.471,1,4,0.25,4,4,1,0,8,8,5,3,1,9,2,11.8
11/9/2022,Lakers,Clippers,L,Starter,PF,32:21,30,12,22,0.545,4,9,0.444,2,4,0.5,1,7,8,5,2,0,3,2,21.3
11/6/2022,Lakers,Cavaliers,L,Starter,PF,33:49,27,13,23,0.565,1,4,0.25,0,3,0,2,5,7,4,0,0,1,0,17.4
11/4/2022,Lakers,Jazz,L,Starter,PF,34:09,17,7,19,0.368,0,5,0,3,5,0.6,2,8,10,8,0,1,3,3,13.4
11/2/2022,Lakers,Pelicans,W,Starter,PF,39:43,20,9,23,0.391,0,7,0,2,4,0.5,0,10,10,8,0,2,2,3,15.3
10/30/2022,Lakers,Nuggets,W,Starter,PF,34:42,26,10,22,0.455,2,5,0.4,4,5,0.8,0,6,6,8,1,0,3,1,17.6
10/28/2022,Lakers,Timberwolves,L,Starter,PF,37:27,28,10,24,0.417,1,6,0.167,7,8,0.875,3,4,7,5,4,0,3,2,18.0
10/26/2022,Lakers,Nuggets,L,Starter,PF,35:18,19,8,21,0.381,2,8,0.25,1,2,0.5,2,5,7,9,1,0,8,1,9.8
10/23/2022,Lakers,Trail Blazers,L,Starter,PF,37:43,31,12,22,0.545,2,9,0.222,5,7,0.714,1,7,8,8,2,2,4,3,24.6
10/20/2022,Lakers,Clippers,L,Starter,PF,36:40,20,7,17,0.412,2,8,0.25,4,6,0.667,2,8,10,6,1,2,2,3,18.5
10/18/2022,Lakers,Warriors,L,Starter,PF,35:12,31,12,26,0.462,3,10,0.3,4,4,1,5,10,15,8,0,0,5,2,24.5
Totals,,,,55 GP,,1954.2,1590,609,1219,0.5,121,377,0.321,251,327,0.768,65,392,457,375,50,32,178,88,"1,121.3"
Averages,,,,,,35.5,28.9,11.1,22.2,0.5,2.2,6.9,0.321,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,20.4
