Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/14/2024,Lakers,Pelicans,W,Starter,PF,37:41,28,11,20,0.55,0,2,0,6,6,1,2,9,11,17,5,1,4,0,38.5
4/12/2024,Lakers,Grizzlies,W,Starter,PF,40:54,37,13,20,0.65,3,7,0.429,8,11,0.727,2,7,9,5,2,0,8,1,23.6
4/9/2024,Lakers,Warriors,L,Starter,PF,35:32,33,14,22,0.636,1,3,0.333,4,5,0.8,1,6,7,11,2,0,4,0,29.1
4/6/2024,Lakers,Cavaliers,W,Starter,PF,35:54,24,10,18,0.556,1,5,0.2,3,5,0.6,0,5,5,12,1,1,5,1,20.9
4/3/2024,Lakers,Wizards,W,Starter,PF,36:12,25,9,18,0.5,0,1,0,7,9,0.778,2,5,7,9,3,0,4,2,20.9
4/2/2024,Lakers,Raptors,W,Starter,PF,28:47,23,10,12,0.833,1,1,1,2,5,0.4,0,4,4,9,0,0,1,0,23.1
3/31/2024,Lakers,Nets,W,Starter,PF,37:12,40,13,17,0.765,9,10,0.9,5,6,0.833,1,6,7,5,0,0,4,0,31.5
3/29/2024,Lakers,Pacers,L,Starter,PF,34:41,16,6,12,0.5,0,3,0,4,4,1,1,9,10,8,0,0,5,1,15.8
3/27/2024,Lakers,Grizzlies,W,Starter,PF,34:45,23,8,14,0.571,0,1,0,7,11,0.636,0,14,14,12,1,0,4,1,27.4
3/24/2024,Lakers,Pacers,W,Starter,PF,38:08,26,8,19,0.421,2,4,0.5,8,8,1,1,4,5,10,1,1,3,1,21.3
3/22/2024,Lakers,Sixers,W,Starter,PF,37:52,20,7,15,0.467,1,3,0.333,5,7,0.714,0,8,8,6,0,1,8,1,10.6
3/18/2024,Lakers,Hawks,W,Starter,PF,28:39,25,10,14,0.714,2,5,0.4,3,3,1,0,7,7,10,0,0,2,0,26.6
3/16/2024,Lakers,Warriors,L,Starter,PF,37:42,40,15,23,0.652,3,5,0.6,7,8,0.875,3,5,8,9,1,1,4,1,33.0
3/13/2024,Lakers,Kings,L,Starter,PF,40:07,18,6,16,0.375,2,8,0.25,4,6,0.667,1,12,13,9,2,0,5,3,18.3
3/10/2024,Lakers,Timberwolves,W,Starter,PF,37:51,29,10,16,0.625,2,4,0.5,7,9,0.778,0,8,8,9,0,0,4,1,24.1
3/6/2024,Lakers,Kings,L,Starter,PF,36:08,31,10,16,0.625,1,4,0.25,10,10,1,0,5,5,13,1,0,3,0,30.0
3/4/2024,Lakers,Thunder,W,Starter,PF,30:59,19,7,14,0.5,1,3,0.333,4,5,0.8,1,10,11,8,1,0,3,1,20.6
3/2/2024,Lakers,Nuggets,L,Starter,PF,37:07,26,12,20,0.6,2,5,0.4,0,2,0,0,4,4,9,3,0,3,1,21.8
2/29/2024,Lakers,Wizards,W,Starter,PF,38:46,31,12,24,0.5,2,5,0.4,5,7,0.714,0,4,4,9,1,1,4,1,19.9
2/28/2024,Lakers,Clippers,W,Starter,PF,37:01,34,13,21,0.619,7,12,0.583,1,1,1,1,5,6,8,0,2,3,2,28.6
2/25/2024,Lakers,Suns,L,Starter,PF,36:48,28,12,19,0.632,3,6,0.5,1,4,0.25,1,6,7,12,2,1,3,3,28.3
2/23/2024,Lakers,Spurs,W,Starter,PF,34:17,30,13,22,0.591,2,3,0.667,2,2,1,1,6,7,9,1,0,2,0,26.3
2/13/2024,Lakers,Pistons,W,Starter,PF,30:42,25,9,15,0.6,3,6,0.5,4,4,1,0,1,1,8,0,0,4,0,17.0
2/9/2024,Lakers,Pelicans,W,Starter,PF,37:31,21,6,13,0.462,2,2,1,7,8,0.875,1,3,4,14,1,1,2,2,24.5
2/8/2024,Lakers,Nuggets,L,Starter,PF,35:22,25,9,20,0.45,2,6,0.333,5,5,1,1,8,9,7,1,1,2,0,22.1
2/5/2024,Lakers,Hornets,W,Starter,PF,39:32,26,12,22,0.545,0,5,0,2,3,0.667,0,4,4,7,1,1,4,2,15.4
2/3/2024,Lakers,Knicks,W,Starter,PF,40:18,24,10,19,0.526,2,5,0.4,2,2,1,1,4,5,5,2,1,1,1,19.5
1/30/2024,Lakers,Hawks,L,Starter,PF,35:49,20,7,17,0.412,2,6,0.333,4,9,0.444,2,7,9,8,1,1,3,1,17.6
1/29/2024,Lakers,Rockets,L,Starter,PF,36:47,23,9,15,0.6,2,5,0.4,3,8,0.375,0,6,6,10,1,1,1,4,22.3
1/27/2024,Lakers,Warriors,W,Starter,PF,47:40,36,14,25,0.56,2,4,0.5,6,6,1,1,19,20,12,0,0,3,2,38.3
1/25/2024,Lakers,Bulls,W,Starter,PF,35:42,25,10,19,0.526,3,4,0.75,2,2,1,0,4,4,12,2,0,5,2,21.0
1/21/2024,Lakers,Trail Blazers,W,Starter,PF,31:00,28,8,16,0.5,3,8,0.375,9,10,0.9,0,5,5,5,0,0,3,2,17.0
1/19/2024,Lakers,Nets,L,Starter,PF,33:44,24,9,22,0.409,2,5,0.4,4,5,0.8,5,6,11,5,0,0,4,1,15.6
1/17/2024,Lakers,Mavericks,W,Starter,PF,33:03,25,10,19,0.526,3,7,0.429,2,2,1,1,7,8,8,1,0,3,1,21.8
1/15/2024,Lakers,Thunder,W,Starter,PF,38:55,25,12,20,0.6,1,2,0.5,0,1,0,0,7,7,6,0,0,5,1,15.4
1/11/2024,Lakers,Suns,L,Starter,PF,24:16,10,3,11,0.273,0,4,0,4,7,0.571,0,5,5,9,1,0,4,1,8.4
1/9/2024,Lakers,Raptors,W,Starter,PF,35:13,22,8,17,0.471,2,5,0.4,4,6,0.667,0,5,5,12,1,1,3,0,21.8
1/7/2024,Lakers,Clippers,W,Starter,PF,38:07,25,11,19,0.579,1,3,0.333,2,3,0.667,1,7,8,7,1,0,4,2,18.9
1/5/2024,Lakers,Grizzlies,L,Starter,PF,38:50,32,11,24,0.458,4,9,0.444,6,10,0.6,2,3,5,7,5,0,4,0,22.5
1/3/2024,Lakers,Heat,L,Starter,PF,38:10,12,6,18,0.333,0,6,0,0,0,0,0,6,6,9,0,0,2,2,9.0
12/31/2023,Lakers,Pelicans,L,Starter,PG,36:41,34,12,24,0.5,3,7,0.429,7,8,0.875,0,5,5,8,0,1,4,2,20.8
12/30/2023,Lakers,Timberwolves,L,Starter,PG,38:46,26,10,21,0.476,1,4,0.25,5,7,0.714,0,3,3,6,3,1,1,2,17.9
12/28/2023,Lakers,Hornets,W,Starter,PG,24:43,17,7,13,0.538,2,5,0.4,1,1,1,0,4,4,11,0,0,3,0,17.9
12/25/2023,Lakers,Celtics,L,Starter,PG,36:47,16,5,14,0.357,1,2,0.5,5,6,0.833,0,9,9,8,0,0,3,1,14.5
12/23/2023,Lakers,Thunder,W,Starter,PG,37:19,40,13,20,0.65,5,5,1,9,9,1,2,5,7,7,2,2,3,0,35.4
12/20/2023,Lakers,Bulls,L,Starter,PF,36:59,25,10,18,0.556,1,3,0.333,4,4,1,2,8,10,9,1,2,5,0,25.0
12/18/2023,Lakers,Knicks,L,Starter,PF,39:05,25,10,23,0.435,2,8,0.25,3,4,0.75,1,10,11,11,1,0,2,1,24.3
12/15/2023,Lakers,Spurs,L,Starter,PF,35:56,23,7,17,0.412,2,6,0.333,7,10,0.7,2,5,7,14,2,0,2,1,25.8
12/12/2023,Lakers,Mavericks,L,Starter,PF,40:07,33,14,27,0.519,3,8,0.375,2,3,0.667,2,6,8,9,3,1,4,1,26.6
12/7/2023,Lakers,Pelicans,W,Starter,PF,22:32,30,9,12,0.75,4,4,1,8,8,1,0,5,5,8,0,0,0,1,29.3
12/5/2023,Lakers,Suns,W,Starter,PF,40:10,31,12,25,0.48,2,4,0.5,5,6,0.833,3,5,8,11,5,0,2,3,29.3
12/2/2023,Lakers,Rockets,W,Starter,PF,35:22,16,7,17,0.412,0,4,0,2,5,0.4,0,4,4,7,1,1,5,0,8.4
11/30/2023,Lakers,Thunder,L,Starter,PF,35:03,21,7,12,0.583,4,8,0.5,3,4,0.75,2,10,12,6,1,1,5,1,22.5
11/29/2023,Lakers,Pistons,W,Starter,PF,28:42,25,9,19,0.474,2,6,0.333,5,5,1,2,6,8,3,0,0,1,0,17.4
11/27/2023,Lakers,Sixers,L,Starter,PF,29:32,18,8,12,0.667,1,1,1,1,2,0.5,0,0,0,5,1,1,1,0,14.3
11/25/2023,Lakers,Cavaliers,W,Starter,PF,35:36,22,8,23,0.348,1,9,0.111,5,7,0.714,1,5,6,6,2,2,4,1,12.4
11/22/2023,Lakers,Mavericks,L,Starter,PF,36:01,26,9,19,0.474,4,9,0.444,4,7,0.571,2,7,9,7,0,0,3,0,20.4
11/21/2023,Lakers,Jazz,W,Starter,PF,24:01,17,6,10,0.6,3,5,0.6,2,2,1,1,6,7,9,0,0,2,0,21.3
11/19/2023,Lakers,Rockets,W,Starter,PF,39:36,37,14,19,0.737,2,5,0.4,7,9,0.778,1,5,6,8,3,0,2,0,33.1
11/17/2023,Lakers,Trail Blazers,W,Starter,PF,34:32,35,13,22,0.591,5,9,0.556,4,6,0.667,0,5,5,9,2,0,3,3,26.5
11/15/2023,Lakers,Kings,L,Starter,PF,35:18,28,9,15,0.6,3,7,0.429,7,8,0.875,2,8,10,12,4,1,6,1,32.3
11/14/2023,Lakers,Grizzlies,W,Starter,PF,22:39,16,6,11,0.545,3,6,0.5,1,2,0.5,0,9,9,6,1,0,4,1,16.3
11/10/2023,Lakers,Suns,W,Starter,PF,36:23,32,11,17,0.647,3,4,0.75,7,11,0.636,1,10,11,6,1,1,4,1,27.1
11/8/2023,Lakers,Rockets,L,Starter,PF,27:12,18,7,13,0.538,0,2,0,4,5,0.8,1,5,6,2,0,0,3,1,9.6
11/6/2023,Lakers,Heat,L,Starter,PF,37:24,30,13,23,0.565,0,4,0,4,4,1,0,4,4,3,1,3,5,4,14.3
11/4/2023,Lakers,Magic,L,Starter,PF,35:13,24,8,15,0.533,2,5,0.4,6,7,0.857,1,8,9,5,3,0,3,1,21.6
11/1/2023,Lakers,Clippers,W,Starter,PF,42:29,35,13,19,0.684,4,8,0.5,5,10,0.5,0,12,12,7,1,2,4,3,30.5
10/30/2023,Lakers,Magic,W,Starter,PF,32:47,19,7,17,0.412,2,6,0.333,3,4,0.75,0,3,3,4,3,1,5,0,10.0
10/29/2023,Lakers,Kings,L,Starter,PF,39:05,27,11,19,0.579,3,8,0.375,2,6,0.333,0,15,15,8,0,0,8,2,20.8
10/26/2023,Lakers,Suns,W,Starter,PF,35:00,21,7,14,0.5,1,5,0.2,6,8,0.75,1,7,8,9,2,2,5,1,21.3
10/24/2023,Lakers,Nuggets,L,Starter,PF,29:01,21,10,16,0.625,1,4,0.25,0,1,0,1,7,8,5,1,0,0,1,20.4
Totals,,,,71 GP,,2503.8,1822,685,1269,0.54,149,363,0.41,303,404,0.75,61,457,518,589,89,38,245,78,"1,525.5"
Averages,,,,,,35.3,25.7,9.6,17.9,0.54,2.1,5.1,0.41,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,21.5
