Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/11/2018,Cavaliers,Knicks,L,Starter,SF,10:33,10,4,9,0.444,0,2,0,2,3,0.667,1,4,5,2,1,0,3,0,6.1
4/9/2018,Cavaliers,Knicks,W,Starter,SF,38:38,26,7,16,0.438,3,6,0.5,9,10,0.9,0,6,6,11,1,0,4,2,21.8
4/6/2018,Cavaliers,Sixers,L,Starter,PF,40:11,44,17,29,0.586,4,8,0.5,6,11,0.545,1,10,11,11,2,1,8,0,32.6
4/5/2018,Cavaliers,Wizards,W,Starter,SF,38:49,33,12,20,0.6,2,7,0.286,7,10,0.7,2,7,9,14,0,0,6,2,28.5
4/3/2018,Cavaliers,Raptors,W,Starter,SF,37:16,27,8,14,0.571,3,6,0.5,8,11,0.727,0,10,10,6,0,0,5,2,19.9
4/1/2018,Cavaliers,Mavericks,W,Starter,SF,38:33,16,5,21,0.238,2,3,0.667,4,4,1,3,10,13,12,0,0,2,1,18.8
3/30/2018,Cavaliers,Pelicans,W,Starter,SF,41:45,27,12,24,0.5,0,4,0,3,3,1,1,8,9,11,1,0,1,0,25.9
3/28/2018,Cavaliers,Hornets,W,Starter,SF,36:53,41,14,26,0.538,4,8,0.5,9,11,0.818,2,8,10,8,1,0,4,1,29.9
3/27/2018,Cavaliers,Heat,L,Starter,SF,37:59,18,7,18,0.389,0,4,0,4,5,0.8,1,5,6,7,0,0,6,1,7.9
3/25/2018,Cavaliers,Nets,W,Starter,SF,38:03,37,14,19,0.737,1,4,0.25,8,10,0.8,2,8,10,8,1,0,2,3,32.5
3/23/2018,Cavaliers,Suns,W,Starter,SF,29:16,27,11,16,0.688,1,4,0.25,4,6,0.667,0,6,6,9,1,1,4,3,22.8
3/21/2018,Cavaliers,Raptors,W,Starter,SF,39:24,35,11,19,0.579,1,3,0.333,12,14,0.857,1,6,7,17,1,0,0,2,38.0
3/19/2018,Cavaliers,Bucks,W,Starter,SF,40:01,40,16,29,0.552,3,7,0.429,5,8,0.625,5,7,12,10,2,1,6,2,31.5
3/17/2018,Cavaliers,Bulls,W,Starter,SF,39:53,33,15,26,0.577,2,8,0.25,1,4,0.25,1,12,13,12,1,2,6,3,29.5
3/15/2018,Cavaliers,Trail Blazers,L,Starter,PF,41:05,35,15,25,0.6,1,4,0.25,4,9,0.444,0,14,14,6,2,3,6,4,26.4
3/13/2018,Cavaliers,Suns,W,Starter,SF,33:13,28,7,14,0.5,1,2,0.5,13,15,0.867,0,12,12,11,3,2,5,2,30.9
3/11/2018,Cavaliers,Lakers,L,Starter,SF,31:27,24,9,20,0.45,2,8,0.25,4,5,0.8,2,8,10,7,1,1,2,0,22.1
3/9/2018,Cavaliers,Clippers,L,Starter,PF,38:53,25,11,20,0.55,3,7,0.429,0,2,0,0,10,10,6,2,3,5,2,21.8
3/7/2018,Cavaliers,Nuggets,W,Starter,PF,39:08,39,15,25,0.6,5,8,0.625,4,8,0.5,1,7,8,10,1,0,3,2,30.5
3/5/2018,Cavaliers,Pistons,W,Starter,PF,28:44,31,11,17,0.647,5,7,0.714,4,6,0.667,2,5,7,7,1,0,3,2,25.8
3/3/2018,Cavaliers,Nuggets,L,Starter,PF,42:24,25,8,19,0.421,1,4,0.25,8,11,0.727,1,9,10,15,2,0,3,2,27.4
3/1/2018,Cavaliers,Sixers,L,Starter,PF,39:02,30,12,24,0.5,2,6,0.333,4,6,0.667,1,8,9,8,1,0,3,2,21.8
2/27/2018,Cavaliers,Nets,W,Starter,PF,38:47,31,13,25,0.52,2,4,0.5,3,3,1,4,8,12,11,1,0,1,1,31.6
2/25/2018,Cavaliers,Spurs,L,Starter,PF,39:58,33,14,25,0.56,2,5,0.4,3,4,0.75,2,11,13,9,1,0,6,3,25.5
2/23/2018,Cavaliers,Grizzlies,W,Starter,PF,36:40,18,7,16,0.438,0,2,0,4,4,1,0,14,14,11,1,0,3,0,24.0
2/22/2018,Cavaliers,Wizards,L,Starter,PF,36:36,32,13,18,0.722,1,4,0.25,5,9,0.556,1,8,9,8,2,0,4,2,27.1
2/13/2018,Cavaliers,Thunder,W,Starter,PF,39:44,37,14,23,0.609,3,7,0.429,6,10,0.6,0,8,8,8,0,1,5,1,25.5
2/11/2018,Cavaliers,Celtics,W,Starter,PF,27:54,24,9,20,0.45,2,5,0.4,4,7,0.571,0,8,8,10,1,1,2,1,21.9
2/9/2018,Cavaliers,Hawks,W,Starter,PF,40:43,22,8,20,0.4,0,3,0,6,7,0.857,2,10,12,19,0,0,3,2,28.9
2/7/2018,Cavaliers,Timberwolves,W,Starter,PF,48:19,37,16,22,0.727,5,7,0.714,0,2,0,1,9,10,15,1,1,5,3,38.0
2/6/2018,Cavaliers,Magic,L,Starter,PF,33:04,25,10,17,0.588,2,4,0.5,3,4,0.75,1,9,10,5,1,0,6,4,16.5
2/3/2018,Cavaliers,Rockets,L,Starter,PF,31:22,11,3,10,0.3,1,2,0.5,4,4,1,1,8,9,9,2,1,2,0,19.0
1/31/2018,Cavaliers,Heat,W,Starter,PF,38:17,24,8,21,0.381,1,6,0.167,7,11,0.636,2,9,11,5,1,0,7,1,11.4
1/30/2018,Cavaliers,Pistons,L,Starter,SF,37:45,21,9,20,0.45,2,7,0.286,1,2,0.5,0,6,6,7,0,1,4,2,12.8
1/28/2018,Cavaliers,Pistons,W,Starter,SF,37:49,25,8,15,0.533,1,4,0.25,8,9,0.889,1,7,8,14,1,0,3,0,28.6
1/26/2018,Cavaliers,Pacers,W,Starter,SF,39:56,26,11,17,0.647,0,2,0,4,5,0.8,0,10,10,11,4,1,11,0,23.9
1/23/2018,Cavaliers,Spurs,L,Starter,PF,37:57,28,10,23,0.435,2,6,0.333,6,10,0.6,2,7,9,7,0,1,5,0,17.3
1/20/2018,Cavaliers,Thunder,L,Starter,PF,38:22,18,8,17,0.471,0,4,0,2,4,0.5,0,3,3,7,0,1,2,2,11.0
1/18/2018,Cavaliers,Magic,W,Starter,PF,34:47,16,7,16,0.438,0,4,0,2,8,0.25,1,4,5,6,1,0,6,1,5.5
1/15/2018,Cavaliers,Warriors,L,Starter,PF,36:15,32,12,18,0.667,0,2,0,8,13,0.615,2,6,8,6,3,4,8,3,23.6
1/12/2018,Cavaliers,Pacers,L,Starter,PF,40:28,27,11,25,0.44,2,9,0.222,3,4,0.75,2,6,8,11,3,1,5,2,22.3
1/11/2018,Cavaliers,Raptors,L,Starter,PF,32:14,26,9,16,0.563,0,1,0,8,10,0.8,0,3,3,1,1,2,2,1,14.0
1/8/2018,Cavaliers,Timberwolves,L,Starter,PF,26:35,10,4,8,0.5,1,3,0.333,1,3,0.333,1,7,8,5,0,2,3,2,12.1
1/6/2018,Cavaliers,Magic,W,Starter,PF,37:17,33,12,23,0.522,4,7,0.571,5,7,0.714,3,7,10,9,6,1,3,1,33.9
1/3/2018,Cavaliers,Celtics,L,Starter,PF,32:42,19,8,15,0.533,0,2,0,3,3,1,0,7,7,6,1,1,4,1,15.4
1/2/2018,Cavaliers,Trail Blazers,W,Starter,PF,33:51,24,10,17,0.588,0,2,0,4,4,1,1,5,6,8,4,1,3,2,23.5
12/30/2017,Cavaliers,Jazz,L,Starter,PF,37:27,29,12,22,0.545,1,7,0.143,4,5,0.8,1,7,8,6,2,1,6,1,19.4
12/27/2017,Cavaliers,Kings,L,Starter,PF,37:42,16,6,17,0.353,0,2,0,4,5,0.8,2,8,10,14,5,0,4,2,23.4
12/25/2017,Cavaliers,Warriors,L,Starter,PF,40:03,20,7,18,0.389,2,7,0.286,4,7,0.571,1,5,6,6,0,0,7,2,6.6
12/21/2017,Cavaliers,Bulls,W,Starter,SF,39:06,34,12,23,0.522,2,5,0.4,8,8,1,1,5,6,9,3,0,4,1,26.0
12/19/2017,Cavaliers,Bucks,L,Starter,PF,34:14,39,14,22,0.636,6,11,0.545,5,5,1,0,1,1,7,3,2,7,1,25.9
12/17/2017,Cavaliers,Wizards,W,Starter,PF,41:21,20,8,23,0.348,2,7,0.286,2,3,0.667,2,9,11,15,0,1,6,4,18.4
12/16/2017,Cavaliers,Jazz,W,Starter,PF,36:48,29,9,15,0.6,1,4,0.25,10,10,1,0,11,11,10,1,0,5,2,27.3
12/14/2017,Cavaliers,Lakers,W,Starter,PF,38:43,25,8,18,0.444,1,6,0.167,8,12,0.667,1,11,12,12,2,2,5,0,27.3
12/12/2017,Cavaliers,Hawks,W,Starter,PF,35:01,25,11,13,0.846,2,3,0.667,1,2,0.5,0,7,7,17,2,0,2,4,34.8
12/9/2017,Cavaliers,Sixers,W,Starter,PF,38:44,30,9,23,0.391,2,6,0.333,10,12,0.833,3,10,13,13,3,0,6,1,28.3
12/8/2017,Cavaliers,Pacers,L,Starter,PF,39:25,29,12,22,0.545,1,5,0.2,4,5,0.8,2,8,10,8,1,2,3,1,26.1
12/6/2017,Cavaliers,Kings,W,Starter,PF,41:04,32,12,18,0.667,5,8,0.625,3,6,0.5,2,9,11,9,3,2,7,0,32.0
12/4/2017,Cavaliers,Bulls,W,Starter,PF,34:16,23,9,15,0.6,2,4,0.5,3,4,0.75,0,7,7,6,2,0,2,1,21.0
12/2/2017,Cavaliers,Grizzlies,W,Starter,PF,39:09,34,13,22,0.591,0,3,0,8,8,1,0,2,2,12,0,1,5,1,23.5
11/30/2017,Cavaliers,Hawks,W,Starter,PF,37:34,24,8,11,0.727,3,6,0.5,5,7,0.714,1,5,6,12,2,2,3,3,29.4
11/28/2017,Cavaliers,Heat,W,Starter,PF,28:26,21,10,16,0.625,1,3,0.333,0,1,0,2,10,12,6,5,1,2,1,27.6
11/27/2017,Cavaliers,Sixers,W,Starter,PF,31:02,30,12,23,0.522,3,7,0.429,3,4,0.75,3,11,14,6,0,0,3,0,25.5
11/24/2017,Cavaliers,Hornets,W,Starter,PF,39:34,27,10,20,0.5,3,8,0.375,4,7,0.571,1,15,16,13,0,3,3,2,33.6
11/22/2017,Cavaliers,Nets,W,Starter,PF,33:26,33,11,17,0.647,4,7,0.571,7,9,0.778,1,5,6,5,2,0,3,2,24.6
11/20/2017,Cavaliers,Pistons,W,Starter,PF,27:17,18,7,14,0.5,3,5,0.6,1,1,1,0,2,2,8,1,1,0,2,17.6
11/17/2017,Cavaliers,Clippers,W,Starter,PF,46:08,39,17,26,0.654,4,9,0.444,1,5,0.2,1,13,14,6,0,0,6,0,28.4
11/15/2017,Cavaliers,Hornets,W,Starter,PF,36:38,31,12,24,0.5,4,7,0.571,3,3,1,2,4,6,8,2,1,3,4,22.9
11/13/2017,Cavaliers,Knicks,W,Starter,PF,36:16,23,7,14,0.5,2,4,0.5,7,10,0.7,3,6,9,12,0,3,5,1,25.8
11/11/2017,Cavaliers,Mavericks,W,Starter,PF,41:47,19,6,14,0.429,1,3,0.333,6,8,0.75,1,10,11,4,0,1,6,3,11.5
11/9/2017,Cavaliers,Rockets,L,Starter,PF,40:01,33,15,24,0.625,1,4,0.25,2,3,0.667,0,4,4,7,1,1,8,4,15.9
11/7/2017,Cavaliers,Bucks,W,Starter,PF,36:42,30,10,20,0.5,2,4,0.5,8,10,0.8,1,7,8,9,3,0,1,1,28.0
11/5/2017,Cavaliers,Hawks,L,Starter,PF,40:35,26,10,17,0.588,0,3,0,6,6,1,2,3,5,13,1,2,6,4,23.3
11/3/2017,Cavaliers,Wizards,W,Starter,PF,42:42,57,23,34,0.676,2,4,0.5,9,9,1,5,6,11,7,3,2,3,2,45.6
11/1/2017,Cavaliers,Pacers,L,Starter,SF,37:28,33,14,22,0.636,1,5,0.2,4,5,0.8,1,5,6,11,2,1,8,1,24.9
10/29/2017,Cavaliers,Knicks,L,Starter,SF,39:28,16,7,15,0.467,1,4,0.25,1,1,1,1,9,10,7,2,0,4,2,16.1
10/28/2017,Cavaliers,Pelicans,L,Starter,PG,30:46,18,6,11,0.545,1,3,0.333,5,6,0.833,0,3,3,8,0,0,4,3,12.3
