Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
3/29/2019,Lakers,Hornets,W,Starter,SF,31:58,27,11,19,0.579,4,7,0.571,1,2,0.5,0,3,3,9,0,0,6,1,16.8
3/26/2019,Lakers,Wizards,W,Starter,SF,33:54,23,11,20,0.55,1,6,0.167,0,2,0,0,7,7,14,1,0,3,1,24.0
3/24/2019,Lakers,Kings,W,Starter,SF,35:16,29,9,22,0.409,3,6,0.5,8,9,0.889,2,9,11,11,2,1,4,1,27.4
3/22/2019,Lakers,Nets,L,Starter,SF,36:42,25,8,25,0.32,1,7,0.143,8,12,0.667,3,6,9,14,1,1,8,3,15.8
3/17/2019,Lakers,Knicks,L,Starter,SF,35:00,33,11,26,0.423,0,6,0,11,13,0.846,2,4,6,8,0,1,2,2,19.6
3/14/2019,Lakers,Raptors,L,Starter,SF,31:47,29,12,23,0.522,1,5,0.2,4,7,0.571,0,4,4,6,1,0,4,2,14.1
3/12/2019,Lakers,Bulls,W,Starter,SF,33:24,36,15,23,0.652,2,4,0.5,4,5,0.8,1,9,10,4,2,0,5,2,24.6
3/9/2019,Lakers,Celtics,L,Starter,SF,27:46,30,13,23,0.565,1,5,0.2,3,7,0.429,2,8,10,12,0,0,3,0,27.1
3/6/2019,Lakers,Nuggets,L,Starter,PF,31:07,31,13,22,0.591,2,7,0.286,3,8,0.375,0,7,7,7,1,1,4,4,19.8
3/4/2019,Lakers,Clippers,L,Starter,SF,42:24,27,9,18,0.5,1,6,0.167,8,12,0.667,0,8,8,6,1,1,2,3,19.5
3/2/2019,Lakers,Suns,L,Starter,PF,40:46,27,10,21,0.476,4,9,0.444,3,7,0.429,0,9,9,16,0,0,3,2,27.4
3/1/2019,Lakers,Bucks,L,Starter,PF,38:49,31,10,19,0.526,3,8,0.375,8,10,0.8,2,5,7,10,1,0,3,2,25.8
2/27/2019,Lakers,Pelicans,W,Starter,PF,37:19,33,13,24,0.542,4,9,0.444,3,8,0.375,1,5,6,10,2,1,2,2,26.8
2/25/2019,Lakers,Grizzlies,L,Starter,SF,39:44,24,8,23,0.348,0,4,0,8,10,0.8,3,9,12,11,3,0,5,3,20.3
2/23/2019,Lakers,Pelicans,L,Starter,SF,38:31,27,11,17,0.647,3,6,0.5,2,6,0.333,0,7,7,12,4,1,4,0,30.3
2/21/2019,Lakers,Rockets,W,Starter,SF,40:08,29,11,23,0.478,0,4,0,7,10,0.7,4,8,12,6,1,1,4,1,21.5
2/12/2019,Lakers,Hawks,L,Starter,SF,43:03,28,8,20,0.4,3,10,0.3,9,11,0.818,2,9,11,16,3,1,2,3,34.1
2/10/2019,Lakers,Sixers,L,Starter,SF,33:09,18,8,16,0.5,2,6,0.333,0,0,0,0,10,10,9,0,0,4,3,17.0
2/7/2019,Lakers,Celtics,W,Starter,SF,37:44,28,11,21,0.524,5,10,0.5,1,5,0.2,2,10,12,12,3,0,3,4,29.9
2/5/2019,Lakers,Pacers,L,Starter,SF,30:13,18,7,12,0.583,2,5,0.4,2,3,0.667,0,7,7,9,1,0,6,1,16.6
1/31/2019,Lakers,Clippers,W,Starter,SF,40:26,24,9,22,0.409,1,6,0.167,5,7,0.714,1,13,14,9,1,0,4,0,21.6
12/25/2018,Lakers,Warriors,W,Starter,SF,21:15,17,6,11,0.545,0,2,0,5,8,0.625,2,11,13,5,1,0,2,1,19.5
12/23/2018,Lakers,Grizzlies,L,Starter,SF,35:37,22,8,14,0.571,2,5,0.4,4,4,1,1,13,14,7,1,1,4,0,25.8
12/21/2018,Lakers,Pelicans,W,Starter,SF,38:45,22,8,20,0.4,0,4,0,6,9,0.667,2,10,12,14,2,0,2,3,25.6
12/18/2018,Lakers,Nets,L,Starter,SF,41:12,36,13,23,0.565,2,7,0.286,8,13,0.615,1,12,13,8,1,1,5,1,28.4
12/16/2018,Lakers,Wizards,L,Starter,SF,32:00,13,5,16,0.313,0,2,0,3,6,0.5,0,6,6,3,0,1,4,0,3.3
12/15/2018,Lakers,Hornets,W,Starter,SF,30:13,24,7,15,0.467,2,6,0.333,8,12,0.667,1,11,12,11,1,0,3,0,26.5
12/13/2018,Lakers,Rockets,L,Starter,SF,36:26,29,12,18,0.667,3,6,0.5,2,6,0.333,0,5,5,4,2,0,3,1,19.5
12/10/2018,Lakers,Heat,W,Starter,SF,37:31,28,10,19,0.526,4,7,0.571,4,8,0.5,0,9,9,12,1,0,2,0,28.5
12/8/2018,Lakers,Grizzlies,W,Starter,SF,31:38,20,9,18,0.5,0,3,0,2,3,0.667,1,7,8,9,2,0,5,2,16.6
12/7/2018,Lakers,Spurs,L,Starter,SF,37:21,35,13,28,0.464,3,8,0.375,6,9,0.667,2,6,8,11,2,0,1,4,27.1
12/5/2018,Lakers,Spurs,W,Starter,SF,39:42,42,15,24,0.625,3,7,0.429,9,13,0.692,0,5,5,6,2,0,2,1,28.4
12/2/2018,Lakers,Suns,W,Starter,SF,30:59,22,9,17,0.529,1,5,0.2,3,4,0.75,0,6,6,8,0,1,5,0,16.3
11/30/2018,Lakers,Mavericks,W,Starter,SF,31:19,28,12,21,0.571,2,4,0.5,2,4,0.5,2,3,5,4,0,1,4,3,14.5
11/29/2018,Lakers,Pacers,W,Starter,SF,38:09,38,15,27,0.556,2,7,0.286,6,10,0.6,1,8,9,7,2,0,4,2,25.0
11/27/2018,Lakers,Nuggets,L,Starter,SF,30:04,14,5,15,0.333,0,4,0,4,6,0.667,0,7,7,2,2,2,4,0,7.8
11/25/2018,Lakers,Magic,L,Starter,SF,40:27,24,8,14,0.571,2,7,0.286,6,11,0.545,0,4,4,7,0,1,6,4,12.4
11/23/2018,Lakers,Jazz,W,Starter,SF,35:04,22,8,17,0.471,2,5,0.4,4,6,0.667,1,9,10,7,2,1,5,1,19.3
11/21/2018,Lakers,Cavaliers,W,Starter,SF,35:30,32,11,20,0.55,2,6,0.333,8,12,0.667,2,12,14,7,0,1,4,3,26.0
11/18/2018,Lakers,Heat,W,Starter,SF,38:29,51,19,31,0.613,6,8,0.75,7,10,0.7,1,7,8,3,2,1,2,3,32.8
11/17/2018,Lakers,Magic,L,Starter,SF,25:53,22,8,19,0.421,3,6,0.5,3,4,0.75,0,4,4,7,0,1,3,0,14.3
11/14/2018,Lakers,Trail Blazers,W,Starter,SF,36:00,44,13,19,0.684,5,6,0.833,13,15,0.867,2,8,10,9,1,3,4,0,41.1
11/11/2018,Lakers,Hawks,W,Starter,SF,34:18,26,10,20,0.5,3,9,0.333,3,7,0.429,3,4,7,4,2,0,4,1,15.9
11/10/2018,Lakers,Kings,W,Starter,SF,31:17,25,10,18,0.556,3,6,0.5,2,3,0.667,1,6,7,2,1,0,3,2,14.9
11/7/2018,Lakers,Timberwolves,W,Starter,SF,38:32,24,10,21,0.476,3,9,0.333,1,2,0.5,1,10,11,9,0,2,3,1,23.5
11/4/2018,Lakers,Raptors,L,Starter,SF,28:17,18,6,12,0.5,2,3,0.667,4,7,0.571,0,2,2,6,0,1,3,3,10.4
11/3/2018,Lakers,Trail Blazers,W,Starter,SF,31:21,28,9,20,0.45,1,5,0.2,9,11,0.818,0,5,5,7,0,2,3,1,18.1
10/31/2018,Lakers,Mavericks,W,Starter,SF,38:34,29,11,19,0.579,2,3,0.667,5,7,0.714,0,5,5,6,3,0,3,3,20.4
