Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/14/2013,Heat,Bulls,W,Starter,PF,34:51,24,7,12,0.583,1,1,1,9,12,0.75,0,7,7,6,1,0,3,2,18.8
4/12/2013,Heat,Celtics,W,Starter,PF,28:51,20,8,10,0.8,0,0,0,4,4,1,1,5,6,9,0,0,1,1,23.3
4/9/2013,Heat,Bucks,W,Starter,SF,30:04,28,11,16,0.688,0,1,0,6,6,1,1,6,7,7,2,1,3,0,26.3
4/6/2013,Heat,Sixers,W,Starter,SF,29:42,27,12,17,0.706,1,2,0.5,2,2,1,0,4,4,5,1,0,1,1,21.0
3/29/2013,Heat,Pelicans,W,Starter,SF,32:13,36,13,20,0.65,7,10,0.7,3,5,0.6,0,4,4,6,2,0,3,0,27.1
3/27/2013,Heat,Bulls,L,Starter,SF,39:56,32,11,17,0.647,2,5,0.4,8,11,0.727,0,7,7,3,2,4,4,1,24.9
3/25/2013,Heat,Magic,W,Starter,SF,38:45,24,9,16,0.563,0,0,0,6,10,0.6,1,8,9,11,1,0,3,2,23.3
3/24/2013,Heat,Hornets,W,Starter,SF,34:10,32,11,14,0.786,0,1,0,10,11,0.909,0,8,8,10,3,3,4,0,35.4
3/22/2013,Heat,Pistons,W,Starter,SF,39:53,29,12,15,0.8,1,1,1,4,6,0.667,1,7,8,8,2,1,3,1,29.3
3/20/2013,Heat,Cavaliers,W,Starter,SF,42:19,25,8,22,0.364,3,7,0.429,6,8,0.75,7,5,12,10,3,2,4,1,26.8
3/18/2013,Heat,Celtics,W,Starter,SF,42:15,37,16,29,0.552,1,4,0.25,4,6,0.667,1,6,7,12,2,2,5,3,28.0
3/17/2013,Heat,Raptors,W,Starter,SF,33:50,22,6,12,0.5,2,6,0.333,8,11,0.727,1,11,12,8,2,0,3,1,24.6
3/15/2013,Heat,Bucks,W,Starter,SF,38:14,28,12,24,0.5,0,2,0,4,5,0.8,1,9,10,7,0,1,2,1,21.4
3/13/2013,Heat,Sixers,W,Starter,SF,37:14,27,8,19,0.421,1,4,0.25,10,12,0.833,2,5,7,8,2,1,4,1,20.5
3/12/2013,Heat,Hawks,W,Starter,SF,30:07,15,3,11,0.273,0,2,0,9,12,0.75,3,4,7,7,2,0,4,1,12.8
3/10/2013,Heat,Pacers,W,Starter,SF,36:21,13,5,10,0.5,0,0,0,3,5,0.6,1,5,6,7,1,1,4,1,12.9
3/8/2013,Heat,Sixers,W,Starter,SF,34:14,25,10,17,0.588,2,3,0.667,3,5,0.6,3,7,10,5,1,2,3,2,22.6
3/6/2013,Heat,Magic,W,Starter,SF,38:13,26,7,14,0.5,1,6,0.167,11,12,0.917,0,3,3,2,0,1,2,0,14.3
3/4/2013,Heat,Timberwolves,W,Starter,SF,34:53,20,9,16,0.563,1,4,0.25,1,1,1,1,9,10,4,3,2,7,3,15.9
3/3/2013,Heat,Knicks,W,Starter,SF,42:50,29,12,23,0.522,2,6,0.333,3,6,0.5,3,8,11,7,3,1,2,1,27.0
3/1/2013,Heat,Grizzlies,W,Starter,SF,42:06,18,4,14,0.286,2,4,0.5,8,12,0.667,1,7,8,10,2,1,1,1,20.8
2/26/2013,Heat,Kings,W,Starter,SF,47:45,40,14,23,0.609,1,2,0.5,11,12,0.917,3,5,8,16,2,1,2,1,41.5
2/24/2013,Heat,Cavaliers,W,Starter,SF,38:51,28,10,19,0.526,0,1,0,8,11,0.727,2,1,3,8,1,0,2,0,19.4
2/23/2013,Heat,Sixers,W,Starter,SF,31:30,16,7,12,0.583,1,4,0.25,1,2,0.5,1,9,10,11,2,0,2,1,24.5
2/21/2013,Heat,Bulls,W,Starter,SF,34:29,26,11,15,0.733,1,4,0.25,3,3,1,1,11,12,7,2,0,4,2,26.9
2/20/2013,Heat,Hawks,W,Starter,SF,39:31,24,8,15,0.533,1,4,0.25,7,8,0.875,0,6,6,11,4,0,2,1,26.8
2/14/2013,Heat,Thunder,W,Starter,SF,40:02,39,14,24,0.583,4,8,0.5,7,9,0.778,3,9,12,7,2,0,4,3,30.9
2/12/2013,Heat,Trail Blazers,W,Starter,SF,38:45,30,11,15,0.733,1,3,0.333,7,8,0.875,0,6,6,9,3,2,1,0,33.3
2/10/2013,Heat,Lakers,W,Starter,SF,36:15,32,12,18,0.667,1,2,0.5,7,8,0.875,1,6,7,4,3,0,4,4,22.0
2/8/2013,Heat,Clippers,W,Starter,SF,30:59,30,9,11,0.818,4,5,0.8,8,11,0.727,1,4,5,6,0,2,5,3,23.1
2/6/2013,Heat,Rockets,W,Starter,SF,36:37,32,11,18,0.611,3,6,0.5,7,10,0.7,1,5,6,5,0,2,4,2,21.5
2/4/2013,Heat,Hornets,W,Starter,SF,38:00,31,13,14,0.929,0,0,0,5,6,0.833,0,8,8,8,2,0,5,1,28.8
2/3/2013,Heat,Raptors,W,Starter,SF,39:44,30,10,16,0.625,1,2,0.5,9,11,0.818,0,8,8,7,2,0,3,1,25.4
2/1/2013,Heat,Pacers,L,Starter,SF,41:58,28,9,17,0.529,1,3,0.333,9,11,0.818,1,5,6,3,1,1,3,4,15.9
1/30/2013,Heat,Nets,W,Starter,SF,34:17,24,10,18,0.556,3,4,0.75,1,4,0.25,2,7,9,7,2,0,4,2,20.3
1/27/2013,Heat,Celtics,L,Starter,SF,51:56,34,14,31,0.452,3,6,0.5,3,5,0.6,4,12,16,7,3,1,3,3,28.4
1/25/2013,Heat,Pistons,W,Starter,SF,33:01,23,9,14,0.643,0,1,0,5,6,0.833,1,6,7,7,1,0,2,0,21.8
1/23/2013,Heat,Raptors,W,Starter,SF,44:50,31,12,23,0.522,1,5,0.2,6,7,0.857,1,9,10,11,0,0,3,1,26.4
1/17/2013,Heat,Lakers,W,Starter,SF,42:04,39,17,25,0.68,1,2,0.5,4,4,1,0,7,7,8,3,1,2,2,33.0
1/16/2013,Heat,Warriors,W,Starter,SF,30:32,25,11,20,0.55,1,5,0.2,2,3,0.667,1,6,7,10,1,0,1,2,23.4
1/14/2013,Heat,Jazz,L,Starter,SF,43:41,32,13,19,0.684,2,4,0.5,4,4,1,1,3,4,6,3,2,3,5,25.0
1/12/2013,Heat,Kings,W,Starter,SF,29:08,20,7,10,0.7,0,1,0,6,7,0.857,1,4,5,7,5,2,1,0,26.9
1/10/2013,Heat,Trail Blazers,L,Starter,SF,42:39,15,6,16,0.375,1,5,0.2,2,5,0.4,0,10,10,9,2,1,4,3,15.1
1/8/2013,Heat,Pacers,L,Starter,SF,42:36,22,10,20,0.5,1,1,1,1,4,0.25,3,7,10,4,1,2,7,2,12.8
1/6/2013,Heat,Wizards,W,Starter,SF,34:57,24,9,17,0.529,2,3,0.667,4,4,1,1,1,2,7,0,1,1,0,18.5
1/4/2013,Heat,Bulls,L,Starter,SF,41:05,30,8,14,0.571,1,5,0.2,13,16,0.813,0,6,6,2,1,0,2,2,18.0
1/2/2013,Heat,Mavericks,W,Starter,SF,42:01,32,11,20,0.55,1,3,0.333,9,11,0.818,1,11,12,9,3,1,4,0,31.1
12/31/2012,Heat,Magic,W,Starter,SF,47:53,36,10,22,0.455,1,6,0.167,15,16,0.938,1,7,8,11,1,0,3,2,27.8
12/29/2012,Heat,Bucks,L,Starter,SF,36:29,26,11,20,0.55,1,2,0.5,3,5,0.6,1,5,6,7,2,1,6,2,16.9
12/28/2012,Heat,Pistons,L,Starter,SF,44:19,35,15,22,0.682,2,4,0.5,3,4,0.75,1,5,6,5,6,1,3,1,30.3
12/26/2012,Heat,Hornets,W,Starter,SF,38:35,27,9,19,0.474,2,4,0.5,7,8,0.875,2,10,12,8,4,2,3,1,29.8
12/25/2012,Heat,Thunder,W,Starter,SF,41:52,29,12,20,0.6,0,3,0,5,5,1,3,5,8,9,2,1,3,3,26.4
12/22/2012,Heat,Jazz,W,Starter,SF,37:30,30,11,20,0.55,1,1,1,7,10,0.7,1,8,9,7,0,0,4,0,21.3
12/20/2012,Heat,Mavericks,W,Starter,SF,30:55,24,9,13,0.692,3,5,0.6,3,4,0.75,0,9,9,5,1,1,5,0,21.5
12/18/2012,Heat,Timberwolves,W,Starter,SF,41:59,22,8,18,0.444,2,5,0.4,4,5,0.8,0,6,6,11,1,4,0,0,27.1
12/15/2012,Heat,Wizards,W,Starter,SF,30:33,23,8,15,0.533,0,3,0,7,11,0.636,0,10,10,5,1,0,2,0,19.1
12/12/2012,Heat,Warriors,L,Starter,SF,42:21,31,12,23,0.522,2,4,0.5,5,5,1,1,2,3,5,1,0,4,0,16.4
12/10/2012,Heat,Hawks,W,Starter,SF,40:21,27,10,16,0.625,1,2,0.5,6,7,0.857,1,6,7,6,2,0,3,0,22.9
12/8/2012,Heat,Pelicans,W,Starter,SF,35:55,24,11,16,0.688,0,0,0,2,3,0.667,1,4,5,7,2,0,4,2,18.9
12/6/2012,Heat,Knicks,L,Starter,SF,38:35,31,11,20,0.55,3,5,0.6,6,9,0.667,2,8,10,9,3,0,2,0,30.6
12/4/2012,Heat,Wizards,L,Starter,SF,42:53,26,12,24,0.5,1,4,0.25,1,3,0.333,2,11,13,11,3,2,3,1,29.6
12/1/2012,Heat,Nets,W,Starter,SF,36:57,21,8,15,0.533,1,2,0.5,4,6,0.667,1,8,9,6,1,0,2,3,18.0
11/29/2012,Heat,Spurs,W,Starter,SF,39:06,23,9,16,0.563,2,5,0.4,3,6,0.5,3,6,9,7,4,0,4,2,22.3
11/24/2012,Heat,Cavaliers,W,Starter,SF,39:58,30,10,16,0.625,2,5,0.4,8,9,0.889,1,5,6,5,0,1,7,3,16.9
11/21/2012,Heat,Bucks,W,Starter,SF,42:32,28,11,21,0.524,2,4,0.5,4,8,0.5,2,8,10,8,1,1,1,3,24.8
11/17/2012,Heat,Suns,W,Starter,SF,40:43,21,8,20,0.4,1,3,0.333,4,7,0.571,0,7,7,3,2,0,1,1,12.1
11/15/2012,Heat,Nuggets,W,Starter,SF,41:57,27,11,23,0.478,0,1,0,5,6,0.833,1,6,7,12,1,3,4,0,25.0
11/14/2012,Heat,Clippers,L,Starter,SF,41:13,30,12,23,0.522,0,3,0,6,9,0.667,0,5,5,7,1,2,4,3,17.6
11/12/2012,Heat,Rockets,W,Starter,SF,39:55,38,14,26,0.538,5,8,0.625,5,8,0.625,1,9,10,6,0,0,0,1,28.8
11/11/2012,Heat,Grizzlies,L,Starter,SF,35:43,20,10,19,0.526,0,1,0,0,4,0,3,7,10,6,2,1,2,2,18.5
11/9/2012,Heat,Hawks,W,Starter,SF,35:40,21,10,17,0.588,0,2,0,1,3,0.333,2,9,11,9,1,0,2,2,22.9
11/7/2012,Heat,Nets,W,Starter,SF,29:59,20,7,12,0.583,2,3,0.667,4,4,1,4,8,12,8,1,0,2,1,26.0
11/5/2012,Heat,Suns,W,Starter,SF,30:11,23,10,17,0.588,2,3,0.667,1,3,0.333,3,8,11,1,0,0,3,2,15.1
11/3/2012,Heat,Nuggets,W,Starter,SF,39:12,20,8,17,0.471,0,1,0,4,4,1,1,8,9,11,0,2,0,2,24.8
11/2/2012,Heat,Knicks,L,Starter,SF,36:41,23,8,16,0.5,2,3,0.667,5,6,0.833,0,7,7,5,0,3,5,2,16.0
10/30/2012,Heat,Celtics,W,Starter,SF,28:52,26,10,16,0.625,2,4,0.5,4,5,0.8,1,9,10,3,2,0,0,2,23.9
Totals,,,,76 GP,,2877.1,2036,765,1354,0.565,103,254,0.406,403,535,0.753,97,513,610,551,129,67,226,110,"1,733.8"
Averages,,,,,,37.9,26.8,10.1,17.8,0.565,1.4,3.3,0.406,5.3,7,0.753,1.3,6.8,8,7.2,1.7,0.9,3,1.4,22.8
