Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/6/2010,Cavaliers,Raptors,W,Starter,SF,35:34,19,5,13,0.385,0,2,0,9,10,0.9,0,6,6,13,0,1,4,1,19.5
4/4/2010,Cavaliers,Celtics,L,Starter,SF,44:32,42,14,31,0.452,0,9,0,14,22,0.636,1,6,7,9,1,1,3,0,24.0
4/2/2010,Cavaliers,Hawks,W,Starter,SF,38:22,27,11,20,0.55,1,3,0.333,4,7,0.571,0,13,13,6,2,0,2,1,24.6
3/31/2010,Cavaliers,Bucks,W,Starter,SF,39:04,23,7,17,0.412,0,1,0,9,13,0.692,1,8,9,7,1,1,4,2,16.4
3/28/2010,Cavaliers,Kings,W,Starter,SF,39:05,34,13,22,0.591,3,6,0.5,5,6,0.833,1,6,7,8,3,0,3,2,27.8
3/26/2010,Cavaliers,Spurs,L,Starter,SF,39:18,27,11,21,0.524,1,6,0.167,4,7,0.571,0,5,5,10,2,0,5,2,18.4
3/24/2010,Cavaliers,Pelicans,W,Starter,SF,40:45,38,15,22,0.682,1,5,0.2,7,8,0.875,2,4,6,9,1,0,3,2,29.5
3/21/2010,Cavaliers,Pistons,W,Starter,SF,30:48,15,5,9,0.556,2,3,0.667,3,3,1,0,3,3,7,0,1,0,0,17.4
3/19/2010,Cavaliers,Bulls,W,Starter,SF,37:31,29,9,21,0.429,0,3,0,11,12,0.917,1,10,11,7,2,2,5,1,22.8
3/17/2010,Cavaliers,Pacers,W,Starter,SF,38:43,32,11,24,0.458,2,4,0.5,8,10,0.8,1,8,9,9,3,2,6,2,24.3
3/16/2010,Cavaliers,Pistons,W,Starter,SF,43:07,29,10,22,0.455,1,3,0.333,8,11,0.727,2,10,12,12,1,1,4,0,27.9
3/14/2010,Cavaliers,Celtics,W,Starter,SF,38:52,30,9,21,0.429,1,3,0.333,11,16,0.688,3,5,8,7,2,3,2,2,24.0
