Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/16/2006,Cavaliers,Wizards,L,Starter,SF,29:32,17,8,16,0.5,0,0,0,1,2,0.5,0,5,5,4,1,1,3,2,10.0
4/12/2006,Cavaliers,Pistons,L,Starter,SF,31:21,22,8,18,0.444,0,3,0,6,8,0.75,0,3,3,1,0,0,2,0,6.8
4/10/2006,Cavaliers,Pelicans,W,Starter,SF,42:07,32,12,24,0.5,0,3,0,8,12,0.667,1,3,4,6,0,0,2,1,16.3
4/8/2006,Cavaliers,Nets,W,Starter,SF,44:09,37,12,26,0.462,0,3,0,13,16,0.813,1,4,5,7,1,0,6,5,15.0
4/5/2006,Cavaliers,Knicks,L,Starter,SF,44:48,36,12,24,0.5,4,7,0.571,8,14,0.571,0,2,2,7,3,0,5,3,17.8
4/4/2006,Cavaliers,Sixers,W,Starter,SF,34:40,37,13,22,0.591,4,10,0.4,7,9,0.778,1,3,4,7,4,0,3,4,26.4
4/2/2006,Cavaliers,Hornets,W,Starter,SF,41:17,35,13,24,0.542,2,5,0.4,7,9,0.778,1,11,12,8,1,2,3,5,28.4
4/1/2006,Cavaliers,Heat,W,Starter,SF,45:29,47,16,25,0.64,2,6,0.333,13,14,0.929,4,8,12,9,2,0,4,3,38.5
3/29/2006,Cavaliers,Mavericks,W,Starter,SF,43:26,46,16,23,0.696,4,7,0.571,10,13,0.769,0,5,5,4,3,0,2,3,31.1
3/26/2006,Cavaliers,Rockets,W,Starter,SF,48:56,36,14,34,0.412,0,4,0,8,11,0.727,3,3,6,5,2,0,2,2,15.6
3/24/2006,Cavaliers,Celtics,W,Starter,SF,44:51,36,13,26,0.5,4,8,0.5,6,8,0.75,3,4,7,8,2,3,0,2,31.5
3/22/2006,Cavaliers,Hornets,W,Starter,SF,50:11,37,10,21,0.476,1,5,0.2,16,23,0.696,0,11,11,12,0,1,5,4,26.9
3/19/2006,Cavaliers,Lakers,W,Starter,SF,46:52,29,10,24,0.417,3,4,0.75,6,10,0.6,1,7,8,7,1,0,7,3,13.0
3/17/2006,Cavaliers,Trail Blazers,W,Starter,SF,44:10,27,9,23,0.391,1,6,0.167,8,10,0.8,2,7,9,5,6,0,1,2,22.3
3/14/2006,Cavaliers,Mavericks,L,Starter,SF,44:58,36,14,27,0.519,0,2,0,8,8,1,1,11,12,5,0,2,4,1,24.5
3/12/2006,Cavaliers,Heat,L,Starter,SF,45:17,47,11,27,0.407,1,6,0.167,24,28,0.857,2,5,7,4,0,1,5,2,21.0
