Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/13/2009,Cavaliers,Pacers,W,Starter,SF,38:42,37,12,23,0.522,2,7,0.286,11,14,0.786,0,5,5,5,1,0,5,1,18.8
4/12/2009,Cavaliers,Celtics,W,Starter,SF,30:22,29,9,14,0.643,5,8,0.625,6,6,1,0,4,4,7,1,1,5,1,22.8
4/10/2009,Cavaliers,Sixers,W,Starter,SF,36:34,27,8,17,0.471,1,4,0.25,10,12,0.833,0,2,2,10,0,1,1,4,19.3
4/8/2009,Cavaliers,Wizards,W,Starter,SF,30:51,21,7,15,0.467,0,2,0,7,8,0.875,0,6,6,7,3,0,2,1,18.8
4/5/2009,Cavaliers,Spurs,W,Starter,SF,36:43,38,14,21,0.667,2,5,0.4,8,8,1,0,7,7,6,1,0,2,1,29.0
4/3/2009,Cavaliers,Magic,L,Starter,SF,32:00,26,7,20,0.35,2,5,0.4,10,10,1,1,8,9,5,1,0,2,1,17.8
4/2/2009,Cavaliers,Wizards,L,Starter,SF,38:20,31,11,18,0.611,4,8,0.5,5,7,0.714,1,8,9,6,0,0,6,1,21.4
3/31/2009,Cavaliers,Pistons,W,Starter,SF,40:36,25,9,24,0.375,0,2,0,7,8,0.875,1,11,12,3,3,1,1,0,19.3
3/29/2009,Cavaliers,Mavericks,W,Starter,SF,31:19,24,9,22,0.409,2,4,0.5,4,5,0.8,1,5,6,12,1,2,0,0,25.4
3/27/2009,Cavaliers,Timberwolves,W,Starter,SF,33:36,25,8,14,0.571,2,3,0.667,7,10,0.7,2,10,12,7,0,0,5,0,22.3
3/25/2009,Cavaliers,Nets,W,Starter,SF,39:06,22,7,14,0.5,1,1,1,7,7,1,1,7,8,11,1,0,1,0,26.1
3/22/2009,Cavaliers,Nets,W,Starter,SF,39:09,30,9,17,0.529,1,4,0.25,11,15,0.733,2,9,11,8,1,0,1,0,28.4
3/21/2009,Cavaliers,Hawks,W,Starter,SF,40:03,22,9,21,0.429,1,4,0.25,3,5,0.6,1,6,7,5,3,1,2,2,15.9
3/19/2009,Cavaliers,Trail Blazers,W,Starter,SF,46:47,26,10,22,0.455,0,3,0,6,11,0.545,0,11,11,10,1,2,0,4,24.6
3/17/2009,Cavaliers,Magic,W,Starter,SF,42:40,43,15,27,0.556,4,7,0.571,9,10,0.9,2,10,12,8,4,1,6,1,35.0
3/15/2009,Cavaliers,Knicks,W,Starter,SF,39:52,19,9,17,0.529,0,3,0,1,3,0.333,1,7,8,10,4,3,3,1,24.9
3/13/2009,Cavaliers,Kings,W,Starter,SF,46:59,51,16,30,0.533,4,11,0.364,15,17,0.882,0,4,4,9,2,3,3,2,35.1
3/12/2009,Cavaliers,Suns,W,Starter,SF,43:27,34,10,24,0.417,3,8,0.375,11,13,0.846,6,4,10,13,3,3,3,0,36.1
3/10/2009,Cavaliers,Clippers,W,Starter,SF,43:42,32,10,23,0.435,0,6,0,12,16,0.75,4,9,13,11,2,2,4,2,29.5
3/7/2009,Cavaliers,Heat,W,Starter,SF,43:19,14,5,15,0.333,0,3,0,4,7,0.571,2,8,10,12,1,1,2,0,20.1
3/6/2009,Cavaliers,Celtics,L,Starter,SF,38:17,21,5,15,0.333,2,5,0.4,9,12,0.75,0,6,6,5,1,0,4,1,11.3
3/4/2009,Cavaliers,Bucks,W,Starter,SF,33:12,23,7,11,0.636,4,5,0.8,5,7,0.714,1,7,8,4,1,0,3,2,19.4
3/2/2009,Cavaliers,Heat,W,Starter,SF,43:40,42,13,21,0.619,6,7,0.857,10,10,1,1,7,8,4,1,1,6,4,26.8
3/1/2009,Cavaliers,Hawks,W,Starter,SF,43:43,26,8,20,0.4,2,7,0.286,8,14,0.571,1,5,6,11,1,2,0,3,23.0
2/27/2009,Cavaliers,Spurs,W,Starter,SF,32:08,30,12,23,0.522,3,6,0.5,3,3,1,4,10,14,4,2,0,1,2,27.1
2/26/2009,Cavaliers,Rockets,L,Starter,SF,33:51,21,7,21,0.333,2,5,0.4,5,6,0.833,0,1,1,0,1,2,3,4,1.8
2/24/2009,Cavaliers,Grizzlies,W,Starter,SF,29:40,15,4,10,0.4,1,2,0.5,6,8,0.75,0,5,5,8,0,1,2,1,14.8
2/22/2009,Cavaliers,Pistons,W,Starter,SF,30:34,20,6,13,0.462,0,3,0,8,10,0.8,0,5,5,9,2,1,0,0,22.3
2/20/2009,Cavaliers,Bucks,W,Starter,SF,40:04,55,16,29,0.552,8,11,0.727,15,22,0.682,1,4,5,9,0,0,6,3,30.5
2/18/2009,Cavaliers,Raptors,W,Starter,SF,33:12,20,9,17,0.529,0,3,0,2,2,1,1,8,9,9,1,1,5,1,19.0
2/11/2009,Cavaliers,Suns,W,Starter,SF,33:17,26,9,18,0.5,1,5,0.2,7,8,0.875,2,4,6,6,2,1,3,1,20.0
2/10/2009,Cavaliers,Pacers,L,Starter,SF,41:10,47,15,21,0.714,4,7,0.571,13,14,0.929,0,7,7,4,1,1,7,1,29.8
2/8/2009,Cavaliers,Lakers,L,Starter,SF,40:08,16,5,20,0.25,2,8,0.25,4,8,0.5,3,5,8,12,0,0,1,1,15.3
2/4/2009,Cavaliers,Knicks,W,Starter,SF,44:03,52,17,33,0.515,2,7,0.286,16,19,0.842,0,9,9,11,0,2,3,1,36.4
2/3/2009,Cavaliers,Raptors,W,Starter,SF,37:31,33,9,20,0.45,2,5,0.4,13,13,1,1,6,7,4,1,2,3,3,21.1
2/1/2009,Cavaliers,Pistons,W,Starter,SF,38:50,33,12,25,0.48,3,8,0.375,6,11,0.545,4,0,4,8,1,1,5,3,17.6
1/30/2009,Cavaliers,Clippers,W,Starter,SF,37:08,25,9,17,0.529,2,4,0.5,5,6,0.833,0,7,7,6,3,1,3,2,21.3
1/29/2009,Cavaliers,Magic,L,Starter,SF,37:41,23,10,27,0.37,0,2,0,3,6,0.5,1,7,8,8,1,1,2,1,14.3
1/27/2009,Cavaliers,Kings,W,Starter,SF,37:31,23,5,10,0.5,0,2,0,13,15,0.867,5,10,15,11,0,3,2,1,33.9
1/24/2009,Cavaliers,Jazz,W,Starter,SF,41:08,33,14,27,0.519,1,6,0.167,4,6,0.667,4,10,14,9,1,0,2,1,29.5
1/23/2009,Cavaliers,Warriors,W,Starter,SF,40:39,32,10,24,0.417,2,5,0.4,10,16,0.625,2,7,9,8,3,2,2,2,25.3
1/21/2009,Cavaliers,Trail Blazers,W,Starter,SF,42:02,34,14,30,0.467,3,6,0.5,3,4,0.75,0,7,7,14,1,0,2,1,27.8
1/19/2009,Cavaliers,Lakers,L,Starter,SF,42:10,23,9,25,0.36,1,5,0.2,4,8,0.5,2,7,9,4,4,1,6,1,11.0
1/16/2009,Cavaliers,Pelicans,W,Starter,SF,42:59,29,12,24,0.5,0,2,0,5,6,0.833,3,11,14,7,3,1,4,3,25.5
1/15/2009,Cavaliers,Bulls,L,Starter,SF,44:19,28,8,28,0.286,1,6,0.167,11,16,0.688,3,11,14,7,1,1,8,4,11.3
