Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/14/2008,Cavaliers,Sixers,W,Starter,SF,41:41,27,10,18,0.556,1,2,0.5,6,12,0.5,1,3,4,5,2,1,5,3,13.8
4/13/2008,Cavaliers,Heat,W,Starter,SF,35:15,13,3,9,0.333,0,1,0,7,9,0.778,0,11,11,7,1,2,5,1,15.6
4/11/2008,Cavaliers,Bulls,L,Starter,SF,38:11,34,13,21,0.619,2,6,0.333,6,12,0.5,0,6,6,2,3,0,3,2,19.3
4/9/2008,Cavaliers,Nets,W,Starter,SF,35:22,33,11,21,0.524,1,4,0.25,10,13,0.769,4,3,7,8,1,2,0,2,28.6
4/5/2008,Cavaliers,Magic,L,Starter,SF,42:22,17,6,22,0.273,1,5,0.2,4,8,0.5,5,2,7,9,2,2,5,1,11.5
4/3/2008,Cavaliers,Bulls,L,Starter,SF,38:30,33,10,24,0.417,3,7,0.429,10,14,0.714,0,5,5,4,2,2,3,4,16.5
4/2/2008,Cavaliers,Hornets,W,Starter,SF,31:13,29,11,19,0.579,1,4,0.25,6,6,1,2,2,4,5,3,2,4,6,19.0
3/30/2008,Cavaliers,Sixers,W,Starter,SF,41:47,26,11,18,0.611,1,2,0.5,3,3,1,3,6,9,9,3,1,1,4,28.9
3/29/2008,Cavaliers,Pistons,L,Starter,SF,35:18,13,4,17,0.235,1,5,0.2,4,6,0.667,0,4,4,5,0,0,5,0,1.0
3/26/2008,Cavaliers,Pelicans,L,Starter,SF,40:33,21,6,14,0.429,1,2,0.5,8,10,0.8,0,3,3,8,2,2,2,2,18.0
3/22/2008,Cavaliers,Bucks,L,Starter,SF,38:35,29,9,25,0.36,3,9,0.333,8,10,0.8,4,7,11,4,2,0,4,3,16.3
3/21/2008,Cavaliers,Raptors,W,Starter,SF,41:24,29,14,22,0.636,1,3,0.333,0,0,0,0,12,12,5,1,0,5,1,22.0
