Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2023-04-09,Lakers,Jazz,W,Starter,SF,33:14,36,13,25,0.52,8,14,0.571,2,2,1,1,5,6,6,1,1,2,0,27.3,Home,LAL
2023-04-07,Lakers,Suns,W,Starter,SF,29:21,16,6,19,0.316,3,7,0.429,1,2,0.5,0,6,6,6,0,0,5,1,6,Home,LAL
2023-04-05,Lakers,Clippers,L,Starter,SF,35:06,33,13,20,0.65,4,6,0.667,3,5,0.6,0,8,8,7,1,1,6,0,25.1,Away,LAL
2023-04-04,Lakers,Jazz,W,Starter,SF,38:28,37,14,27,0.519,3,10,0.3,6,6,1,0,5,5,6,1,1,5,2,20.3,Away,LAL
2023-04-02,Lakers,Rockets,W,Starter,SF,29:21,18,8,18,0.444,1,7,0.143,1,1,1,2,8,10,11,0,1,1,1,22.6,Away,LAL
2023-03-31,Lakers,Timberwolves,W,Starter,SF,32:29,18,7,19,0.368,1,3,0.333,3,4,0.75,1,9,10,6,1,2,3,1,15.5,Away,LAL
2023-03-29,Lakers,Bulls,W,Starter,SF,31:16,25,10,19,0.526,1,3,0.333,4,4,1,3,5,8,4,2,0,4,2,17,Away,LAL
2023-03-26,Lakers,Bulls,L,Bench,PF,29:32,19,6,11,0.545,0,2,0,7,8,0.875,1,7,8,3,0,0,5,2,11,Home,LAL
2023-02-26,Lakers,Mavericks,W,Starter,SF,36:51,26,10,23,0.435,1,6,0.167,5,7,0.714,3,5,8,3,1,1,3,4,12.9,Away,LAL
2023-02-23,Lakers,Warriors,W,Starter,SF,26:19,13,5,20,0.25,2,6,0.333,1,2,0.5,3,6,9,8,0,0,2,2,9.8,Home,LAL
2023-02-15,Lakers,Pelicans,W,Starter,SF,29:13,21,7,14,0.5,0,5,0,7,10,0.7,0,6,6,6,0,1,4,1,13.8,Home,LAL
