Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2024-04-14,Lakers,Pelicans,W,Starter,PF,37:41,28,11,20,0.55,0,2,0,6,6,1,2,9,11,17,5,1,4,0,38.5,Away,LAL
2024-04-12,Lakers,Grizzlies,W,Starter,PF,40:54,37,13,20,0.65,3,7,0.429,8,11,0.727,2,7,9,5,2,0,8,1,23.6,Away,LAL
2024-04-09,Lakers,Warriors,L,Starter,PF,35:32,33,14,22,0.636,1,3,0.333,4,5,0.8,1,6,7,11,2,0,4,0,29.1,Home,LAL
2024-04-06,Lakers,Cavaliers,W,Starter,PF,35:54,24,10,18,0.556,1,5,0.2,3,5,0.6,0,5,5,12,1,1,5,1,20.9,Home,LAL
2024-04-03,Lakers,Wizards,W,Starter,PF,36:12,25,9,18,0.5,0,1,0,7,9,0.778,2,5,7,9,3,0,4,2,20.9,Away,LAL
2024-04-02,Lakers,Raptors,W,Starter,PF,28:47,23,10,12,0.833,1,1,1,2,5,0.4,0,4,4,9,0,0,1,0,23.1,Away,LAL
2024-03-31,Lakers,Nets,W,Starter,PF,37:12,40,13,17,0.765,9,10,0.9,5,6,0.833,1,6,7,5,0,0,4,0,31.5,Away,LAL
2024-03-29,Lakers,Pacers,L,Starter,PF,34:41,16,6,12,0.5,0,3,0,4,4,1,1,9,10,8,0,0,5,1,15.8,Away,LAL
2024-03-27,Lakers,Grizzlies,W,Starter,PF,34:45,23,8,14,0.571,0,1,0,7,11,0.636,0,14,14,12,1,0,4,1,27.4,Away,LAL
2024-03-24,Lakers,Pacers,W,Starter,PF,38:08,26,8,19,0.421,2,4,0.5,8,8,1,1,4,5,10,1,1,3,1,21.3,Home,LAL
2024-03-22,Lakers,Sixers,W,Starter,PF,37:52,20,7,15,0.467,1,3,0.333,5,7,0.714,0,8,8,6,0,1,8,1,10.6,Home,LAL
2024-03-18,Lakers,Hawks,W,Starter,PF,28:39,25,10,14,0.714,2,5,0.4,3,3,1,0,7,7,10,0,0,2,0,26.6,Home,LAL
2024-03-16,Lakers,Warriors,L,Starter,PF,37:42,40,15,23,0.652,3,5,0.6,7,8,0.875,3,5,8,9,1,1,4,1,33,Home,LAL
2024-03-13,Lakers,Kings,L,Starter,PF,40:07,18,6,16,0.375,2,8,0.25,4,6,0.667,1,12,13,9,2,0,5,3,18.3,Away,LAL
2024-03-10,Lakers,Timberwolves,W,Starter,PF,37:51,29,10,16,0.625,2,4,0.5,7,9,0.778,0,8,8,9,0,0,4,1,24.1,Home,LAL
2024-03-06,Lakers,Kings,L,Starter,PF,36:08,31,10,16,0.625,1,4,0.25,10,10,1,0,5,5,13,1,0,3,0,30,Home,LAL
2024-03-04,Lakers,Thunder,W,Starter,PF,30:59,19,7,14,0.5,1,3,0.333,4,5,0.8,1,10,11,8,1,0,3,1,20.6,Home,LAL
2024-03-02,Lakers,Nuggets,L,Starter,PF,37:07,26,12,20,0.6,2,5,0.4,0,2,0,0,4,4,9,3,0,3,1,21.8,Home,LAL
2024-02-29,Lakers,Wizards,W,Starter,PF,38:46,31,12,24,0.5,2,5,0.4,5,7,0.714,0,4,4,9,1,1,4,1,19.9,Home,LAL
2024-02-28,Lakers,Clippers,W,Starter,PF,37:01,34,13,21,0.619,7,12,0.583,1,1,1,1,5,6,8,0,2,3,2,28.6,Away,LAL
2024-02-25,Lakers,Suns,L,Starter,PF,36:48,28,12,19,0.632,3,6,0.5,1,4,0.25,1,6,7,12,2,1,3,3,28.3,Away,LAL
2024-02-23,Lakers,Spurs,W,Starter,PF,34:17,30,13,22,0.591,2,3,0.667,2,2,1,1,6,7,9,1,0,2,0,26.3,Home,LAL
2024-02-13,Lakers,Pistons,W,Starter,PF,30:42,25,9,15,0.6,3,6,0.5,4,4,1,0,1,1,8,0,0,4,0,17,Home,LAL
2024-02-09,Lakers,Pelicans,W,Starter,PF,37:31,21,6,13,0.462,2,2,1,7,8,0.875,1,3,4,14,1,1,2,2,24.5,Home,LAL
2024-02-08,Lakers,Nuggets,L,Starter,PF,35:22,25,9,20,0.45,2,6,0.333,5,5,1,1,8,9,7,1,1,2,0,22.1,Home,LAL
2024-02-05,Lakers,Hornets,W,Starter,PF,39:32,26,12,22,0.545,0,5,0,2,3,0.667,0,4,4,7,1,1,4,2,15.4,Away,LAL
2024-02-03,Lakers,Knicks,W,Starter,PF,40:18,24,10,19,0.526,2,5,0.4,2,2,1,1,4,5,5,2,1,1,1,19.5,Away,LAL
2024-01-30,Lakers,Hawks,L,Starter,PF,35:49,20,7,17,0.412,2,6,0.333,4,9,0.444,2,7,9,8,1,1,3,1,17.6,Away,LAL
2024-01-29,Lakers,Rockets,L,Starter,PF,36:47,23,9,15,0.6,2,5,0.4,3,8,0.375,0,6,6,10,1,1,1,4,22.3,Away,LAL
