Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2011-04-11,Heat,Hawks,W,Starter,SF,42:39,34,10,21,0.476,2,4,0.5,12,14,0.857,1,9,10,7,3,0,7,1,23.3,Away,MIA
2011-04-10,Heat,Celtics,W,Starter,SF,37:11,27,11,19,0.579,0,2,0,5,9,0.556,0,5,5,7,4,1,4,1,20.6,Home,MIA
2011-04-08,Heat,Hornets,W,Starter,SF,37:23,23,9,15,0.6,0,1,0,5,6,0.833,1,6,7,9,2,1,1,2,25,Home,MIA
2011-04-06,Heat,Bucks,L,Starter,SF,39:25,29,10,22,0.455,3,7,0.429,6,8,0.75,1,1,2,8,2,2,4,2,18.3,Home,MIA
2011-04-03,Heat,Nets,W,Starter,SF,38:55,31,13,18,0.722,0,2,0,5,8,0.625,2,9,11,7,3,0,7,2,25.3,Away,MIA
2011-04-01,Heat,Timberwolves,W,Starter,SF,42:53,27,11,20,0.55,0,1,0,5,7,0.714,2,4,6,10,3,1,3,2,24.4,Away,MIA
2011-03-30,Heat,Wizards,W,Starter,SF,43:49,35,12,16,0.75,1,3,0.333,10,13,0.769,1,7,8,8,5,0,5,3,30.9,Away,MIA
2011-03-29,Heat,Cavaliers,L,Starter,SF,43:17,27,10,21,0.476,1,5,0.2,6,10,0.6,0,10,10,12,0,0,3,3,22.5,Away,MIA
2011-03-27,Heat,Rockets,W,Starter,SF,40:27,33,13,21,0.619,0,1,0,7,9,0.778,1,9,10,7,0,0,2,1,26.1,Home,MIA
2011-03-25,Heat,Sixers,W,Starter,SF,41:01,32,11,17,0.647,1,4,0.25,9,9,1,2,8,10,2,3,1,4,3,24.4,Home,MIA
2011-03-23,Heat,Pistons,W,Starter,SF,42:05,19,8,16,0.5,0,3,0,3,4,0.75,3,5,8,7,0,0,3,3,14.8,Away,MIA
2011-03-19,Heat,Nuggets,W,Starter,SF,40:40,33,15,25,0.6,1,4,0.25,2,2,1,0,6,6,2,2,0,5,3,15.5,Home,MIA
2011-03-18,Heat,Hawks,W,Starter,SF,30:54,43,16,21,0.762,5,7,0.714,6,7,0.857,0,2,2,3,0,0,4,2,24.1,Away,MIA
2011-03-16,Heat,Thunder,L,Starter,SF,39:30,19,8,21,0.381,0,3,0,3,3,1,0,8,8,3,1,1,1,0,12.1,Home,MIA
2011-03-14,Heat,Spurs,W,Starter,SF,41:31,21,8,19,0.421,0,1,0,5,5,1,0,6,6,8,0,2,2,3,15.9,Home,MIA
2011-03-12,Heat,Grizzlies,W,Starter,SF,31:55,27,10,16,0.625,2,4,0.5,5,6,0.833,1,4,5,5,1,2,3,1,21.3,Home,MIA
2011-03-10,Heat,Lakers,W,Starter,SF,42:16,19,7,17,0.412,0,3,0,5,7,0.714,1,7,8,9,1,0,1,1,18.4,Home,MIA
2011-03-08,Heat,Trail Blazers,L,Starter,SF,45:32,31,14,20,0.7,2,4,0.5,1,4,0.25,1,10,11,8,1,0,4,3,26.5,Home,MIA
2011-03-06,Heat,Bulls,L,Starter,SF,41:50,26,10,18,0.556,1,2,0.5,5,6,0.833,3,5,8,6,2,0,2,2,22,Home,MIA
2011-03-04,Heat,Spurs,L,Starter,SF,36:08,26,11,19,0.579,1,3,0.333,3,7,0.429,3,5,8,7,1,0,4,2,18.9,Away,MIA
2011-03-03,Heat,Magic,L,Starter,SF,39:56,29,11,16,0.688,0,2,0,7,7,1,2,4,6,4,0,2,2,2,22.4,Home,MIA
2011-02-27,Heat,Knicks,L,Starter,SF,39:08,27,10,20,0.5,1,5,0.2,6,8,0.75,0,7,7,5,3,1,5,2,17.3,Home,MIA
2011-02-25,Heat,Wizards,W,Starter,SF,42:46,25,5,11,0.455,0,1,0,15,19,0.789,1,8,9,7,1,3,1,2,25.6,Home,MIA
2011-02-24,Heat,Bulls,L,Starter,SF,41:26,29,12,21,0.571,0,4,0,5,6,0.833,0,10,10,5,2,1,2,1,24,Away,MIA
2011-02-22,Heat,Kings,W,Starter,SF,30:24,31,14,26,0.538,3,6,0.5,0,3,0,2,6,8,3,0,0,3,4,14.9,Home,MIA
2011-02-16,Heat,Raptors,W,Starter,SF,37:38,23,8,18,0.444,0,2,0,7,10,0.7,3,10,13,8,0,0,5,1,18.8,Away,MIA
2011-02-15,Heat,Pacers,W,Starter,SF,40:55,27,11,20,0.55,1,3,0.333,4,6,0.667,1,5,6,5,2,2,5,1,18,Away,MIA
2011-02-13,Heat,Celtics,L,Starter,SF,43:28,22,10,21,0.476,0,2,0,2,3,0.667,1,6,7,7,1,0,4,2,13.6,Away,MIA
2011-02-11,Heat,Pistons,W,Starter,SF,34:43,16,7,17,0.412,0,2,0,2,3,0.667,0,8,8,10,4,0,3,0,19.1,Away,MIA
2011-02-08,Heat,Pacers,W,Starter,SF,41:44,41,15,23,0.652,2,5,0.4,9,13,0.692,3,10,13,8,3,1,4,1,36.9,Home,MIA
2011-02-06,Heat,Clippers,W,Starter,SF,35:37,12,6,15,0.4,0,2,0,0,2,0,1,5,6,4,4,0,6,2,5.8,Home,MIA
2011-02-04,Heat,Hornets,W,Starter,SF,36:39,19,7,13,0.538,0,3,0,5,6,0.833,1,7,8,9,0,0,3,3,17.8,Away,MIA
2011-02-03,Heat,Magic,W,Starter,SF,42:39,51,17,25,0.68,3,5,0.6,14,17,0.824,2,9,11,8,1,1,3,2,40.6,Away,MIA
2011-01-31,Heat,Cavaliers,W,Starter,SF,31:22,24,7,14,0.5,0,0,0,10,11,0.909,1,3,4,8,0,2,2,1,20.1,Home,MIA
2011-01-30,Heat,Thunder,W,Starter,SF,40:13,23,7,14,0.5,2,5,0.4,7,11,0.636,0,4,4,13,4,3,4,3,25.9,Away,MIA
2011-01-28,Heat,Pistons,W,Starter,PF,44:19,39,15,25,0.6,2,4,0.5,7,10,0.7,0,8,8,9,1,2,3,1,31,Home,MIA
2011-01-27,Heat,Knicks,L,Starter,PF,42:32,24,7,24,0.292,0,2,0,10,12,0.833,2,9,11,5,2,2,4,3,13.8,Away,MIA
2011-01-22,Heat,Raptors,W,Starter,PF,38:00,38,14,29,0.483,1,3,0.333,9,14,0.643,1,10,11,6,2,1,1,2,26.5,Home,MIA
2011-01-18,Heat,Hawks,L,Starter,SF,44:16,34,11,30,0.367,2,10,0.2,10,11,0.909,2,8,10,7,2,0,6,3,16.9,Home,MIA
2011-01-12,Heat,Clippers,L,Starter,SF,39:44,27,11,24,0.458,3,6,0.5,2,5,0.4,2,6,8,6,0,0,3,1,16.1,Away,MIA
2011-01-09,Heat,Trail Blazers,W,Starter,SF,46:11,44,17,26,0.654,3,5,0.6,7,10,0.7,3,10,13,6,2,0,6,4,31.3,Away,MIA
2011-01-07,Heat,Bucks,W,Starter,SF,45:16,26,8,23,0.348,1,4,0.25,9,11,0.818,1,9,10,5,6,1,5,2,18.4,Away,MIA
2011-01-04,Heat,Bucks,W,Starter,SF,36:35,25,8,15,0.533,0,0,0,9,11,0.818,1,5,6,9,0,2,2,2,22.4,Home,MIA
2011-01-03,Heat,Hornets,W,Starter,SF,36:34,38,15,26,0.577,2,4,0.5,6,6,1,0,9,9,5,1,0,3,3,24.5,Away,MIA
2011-01-01,Heat,Warriors,W,Starter,SF,41:31,25,7,15,0.467,0,3,0,11,17,0.647,2,5,7,10,1,1,3,1,21.6,Home,MIA
2010-12-29,Heat,Rockets,W,Starter,SF,39:09,20,8,15,0.533,0,4,0,4,4,1,0,6,6,9,1,0,3,3,17.3,Away,MIA
2010-12-28,Heat,Knicks,W,Starter,SF,40:25,18,8,17,0.471,1,2,0.5,1,3,0.333,0,10,10,8,0,0,3,3,15.1,Home,MIA
2010-12-25,Heat,Lakers,W,Starter,SF,38:11,27,8,14,0.571,5,6,0.833,6,6,1,1,10,11,10,4,0,1,2,34.8,Away,MIA
2010-12-23,Heat,Suns,W,Starter,SF,37:23,36,13,22,0.591,2,5,0.4,8,8,1,1,5,6,4,3,0,5,5,20.8,Away,MIA
2010-12-20,Heat,Mavericks,L,Starter,SF,36:05,19,6,17,0.353,2,4,0.5,5,7,0.714,3,7,10,7,0,0,5,4,11.9,Home,MIA
2010-12-18,Heat,Wizards,W,Starter,SF,40:31,32,9,19,0.474,3,7,0.429,11,12,0.917,1,6,7,6,1,0,4,3,20.3,Away,MIA
2010-12-17,Heat,Knicks,W,Starter,SF,38:13,32,14,23,0.609,3,6,0.5,1,3,0.333,1,10,11,10,1,0,5,1,27.6,Away,MIA
2010-12-15,Heat,Cavaliers,W,Starter,SF,38:31,21,5,15,0.333,0,4,0,11,18,0.611,2,11,13,5,1,0,4,1,14.8,Home,MIA
2010-12-13,Heat,Pelicans,W,Starter,SF,40:18,20,6,16,0.375,0,3,0,8,10,0.8,1,3,4,7,0,0,5,2,8.5,Home,MIA
2010-12-11,Heat,Kings,W,Starter,SF,35:11,25,10,19,0.526,2,3,0.667,3,5,0.6,1,9,10,3,2,0,3,1,18.1,Away,MIA
2010-12-10,Heat,Warriors,W,Starter,SF,30:43,25,10,18,0.556,3,4,0.75,2,3,0.667,0,7,7,9,1,1,4,1,22.1,Away,MIA
2010-12-08,Heat,Jazz,W,Starter,SF,39:26,33,12,20,0.6,3,5,0.6,6,7,0.857,1,6,7,9,0,0,2,4,25.9,Away,MIA
2010-12-06,Heat,Bucks,W,Starter,SF,38:40,17,7,16,0.438,1,3,0.333,2,4,0.5,0,6,6,6,1,1,1,5,12.5,Away,MIA
2010-12-04,Heat,Hawks,W,Starter,SF,37:19,22,5,11,0.455,1,1,1,11,13,0.846,0,7,7,4,1,1,2,1,17.6,Home,MIA
2010-12-02,Heat,Cavaliers,W,Starter,SF,30:02,38,15,25,0.6,2,7,0.286,6,9,0.667,0,5,5,8,1,1,0,1,29.1,Away,MIA
2010-12-01,Heat,Pistons,W,Starter,SF,31:14,18,8,15,0.533,1,1,1,1,2,0.5,2,4,6,3,1,0,4,0,11,Home,MIA
2010-11-29,Heat,Wizards,W,Starter,SF,38:11,30,10,18,0.556,1,1,1,9,11,0.818,1,5,6,5,1,1,7,3,15.6,Home,MIA
2010-11-27,Heat,Mavericks,L,Starter,SF,36:04,23,5,19,0.263,0,4,0,13,15,0.867,2,6,8,4,1,0,5,3,8.1,Away,MIA
2010-11-26,Heat,Sixers,W,Starter,SF,40:34,20,5,15,0.333,1,5,0.2,9,11,0.818,1,7,8,6,2,1,2,1,17.4,Home,MIA
2010-11-24,Heat,Magic,L,Starter,SF,40:44,25,9,18,0.5,1,3,0.333,6,8,0.75,1,5,6,4,1,0,3,3,13.8,Away,MIA
2010-11-22,Heat,Pacers,L,Starter,SF,41:34,25,6,14,0.429,2,8,0.25,11,15,0.733,0,5,5,6,1,0,6,3,12.1,Home,MIA
2010-11-20,Heat,Grizzlies,L,Starter,SF,42:06,29,11,23,0.478,2,4,0.5,5,6,0.833,0,3,3,11,1,0,4,2,18.8,Away,MIA
2010-11-19,Heat,Hornets,W,Starter,SF,39:29,32,12,25,0.48,2,5,0.4,6,7,0.857,0,2,2,5,2,0,4,1,14.6,Home,MIA
2010-11-17,Heat,Suns,W,Starter,SF,23:03,20,9,15,0.6,0,2,0,2,3,0.667,3,5,8,9,3,0,3,5,20.9,Home,MIA
2010-11-13,Heat,Raptors,W,Starter,SF,39:20,23,8,21,0.381,0,1,0,7,11,0.636,1,1,2,11,2,0,3,0,14.9,Home,MIA
2010-11-11,Heat,Celtics,L,Starter,SF,44:28,35,9,21,0.429,0,5,0,17,22,0.773,0,10,10,9,3,0,4,3,25,Home,MIA
2010-11-09,Heat,Jazz,L,Starter,SF,46:44,20,5,18,0.278,0,1,0,10,11,0.909,2,9,11,14,1,3,2,3,25.6,Home,MIA
2010-11-06,Heat,Nets,W,Starter,SF,33:35,23,9,16,0.563,2,4,0.5,3,5,0.6,0,3,3,9,2,0,4,1,17.9,Home,MIA
2010-11-05,Heat,Pelicans,L,Starter,SF,41:12,20,6,16,0.375,1,2,0.5,7,8,0.875,0,7,7,10,3,1,3,0,21.3,Away,MIA
2010-11-02,Heat,Timberwolves,W,Starter,SF,32:26,20,7,12,0.583,0,2,0,6,8,0.75,0,0,0,12,2,1,1,0,22,Home,MIA
2010-10-31,Heat,Nets,W,Starter,SF,28:57,20,5,12,0.417,0,4,0,10,12,0.833,0,7,7,7,2,0,5,3,14.3,Away,MIA
2010-10-29,Heat,Magic,W,Starter,SF,30:02,15,6,13,0.462,2,3,0.667,1,2,0.5,0,6,6,7,0,0,3,4,11,Home,MIA
2010-10-27,Heat,Sixers,W,Starter,SF,37:33,16,5,12,0.417,0,2,0,6,6,1,0,6,6,7,2,1,9,1,9.8,Away,MIA
2010-10-26,Heat,Celtics,L,Starter,SF,42:39,31,10,21,0.476,3,6,0.5,8,12,0.667,0,4,4,3,1,2,8,1,11.3,Away,MIA
