Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2014-04-12,Heat,Hawks,L,Starter,SF,37:21,27,10,22,0.455,3,7,0.429,4,8,0.5,3,5,8,5,0,1,3,2,16.3,Away,MIA
2014-04-11,Heat,Pacers,W,Starter,SF,34:52,36,11,20,0.55,2,4,0.5,12,13,0.923,1,5,6,1,1,1,2,1,21.4,Home,MIA
2014-04-09,Heat,Grizzlies,L,Starter,SF,41:22,37,14,23,0.609,3,5,0.6,6,7,0.857,1,5,6,5,2,0,5,1,23.4,Away,MIA
2014-04-08,Heat,Nets,L,Starter,SF,37:08,29,9,16,0.563,0,3,0,11,14,0.786,1,9,10,6,2,0,3,0,24.5,Home,MIA
2014-04-06,Heat,Knicks,W,Starter,SF,42:47,38,13,22,0.591,3,7,0.429,9,12,0.75,0,5,5,6,1,0,5,0,22.8,Home,MIA
2014-04-04,Heat,Timberwolves,L,Starter,SF,47:57,34,12,24,0.5,2,4,0.5,8,10,0.8,2,6,8,5,4,1,4,5,22.3,Home,MIA
2014-04-02,Heat,Bucks,W,Starter,SF,29:21,17,7,12,0.583,1,3,0.333,2,5,0.4,0,4,4,8,1,1,2,0,17.1,Home,MIA
2014-03-31,Heat,Raptors,W,Starter,SF,38:53,32,11,20,0.55,1,6,0.167,9,11,0.818,0,7,7,8,1,0,6,2,20.1,Home,MIA
2014-03-29,Heat,Bucks,W,Starter,SF,30:03,13,5,10,0.5,1,3,0.333,2,4,0.5,2,5,7,2,0,0,4,1,7.3,Away,MIA
2014-03-28,Heat,Pistons,W,Starter,SF,29:46,17,7,13,0.538,1,3,0.333,2,2,1,2,8,10,12,1,0,1,0,26.5,Away,MIA
2014-03-26,Heat,Pacers,L,Starter,SF,43:24,38,11,19,0.579,2,6,0.333,14,15,0.933,0,8,8,5,0,0,6,3,21.6,Away,MIA
2014-03-24,Heat,Trail Blazers,W,Starter,SF,38:22,32,13,23,0.565,0,1,0,6,9,0.667,4,2,6,5,4,0,5,2,19.9,Home,MIA
2014-03-22,Heat,Pelicans,L,Starter,SF,41:59,25,10,18,0.556,2,4,0.5,3,3,1,1,7,8,9,0,1,3,1,23.1,Away,MIA
2014-03-21,Heat,Grizzlies,W,Starter,SF,38:01,15,7,14,0.5,0,2,0,1,2,0.5,1,5,6,7,2,1,3,0,15.5,Home,MIA
2014-03-18,Heat,Cavaliers,W,Starter,SF,41:40,43,14,19,0.737,6,8,0.75,9,13,0.692,0,6,6,4,2,3,0,1,36.9,Away,MIA
2014-03-16,Heat,Rockets,W,Starter,SF,42:52,24,8,17,0.471,1,3,0.333,7,8,0.875,0,5,5,6,2,0,5,3,13.5,Home,MIA
2014-03-14,Heat,Nuggets,L,Starter,SF,39:50,21,8,17,0.471,0,4,0,5,7,0.714,0,6,6,6,1,0,4,3,11.6,Home,MIA
2014-03-12,Heat,Nets,L,Starter,SF,38:03,19,6,13,0.462,1,4,0.25,6,9,0.667,0,5,5,7,3,0,5,1,14.1,Home,MIA
2014-03-10,Heat,Wizards,W,Starter,SF,36:45,23,10,15,0.667,3,4,0.75,0,0,0,2,5,7,8,3,0,3,3,24,Home,MIA
2014-03-09,Heat,Bulls,L,Starter,SF,45:19,17,8,23,0.348,1,3,0.333,0,0,0,1,8,9,8,3,1,4,1,14.3,Away,MIA
2014-03-06,Heat,Spurs,L,Starter,SF,38:04,19,6,18,0.333,0,3,0,7,9,0.778,3,5,8,7,2,0,5,5,10.4,Away,MIA
2014-03-04,Heat,Rockets,L,Starter,SF,36:38,22,9,18,0.5,0,3,0,4,6,0.667,1,0,1,6,3,0,1,1,14.8,Away,MIA
2014-03-03,Heat,Hornets,W,Starter,SF,41:12,61,22,33,0.667,8,10,0.8,9,12,0.75,3,4,7,4,0,0,2,2,38.8,Home,MIA
2014-03-01,Heat,Magic,W,Starter,SF,31:13,20,8,12,0.667,0,2,0,4,5,0.8,1,8,9,7,4,0,2,1,24.6,Home,MIA
2014-02-27,Heat,Knicks,W,Starter,SF,36:38,31,13,19,0.684,1,2,0.5,4,6,0.667,0,4,4,4,0,0,1,0,20.5,Home,MIA
2014-02-20,Heat,Thunder,W,Starter,SF,33:24,33,15,22,0.682,1,5,0.2,2,5,0.4,1,6,7,3,4,0,8,1,18.6,Away,MIA
2014-02-18,Heat,Mavericks,W,Starter,SF,38:28,42,16,23,0.696,4,8,0.5,6,8,0.75,2,7,9,6,2,0,3,2,33,Away,MIA
2014-02-12,Heat,Warriors,W,Starter,SF,42:16,36,14,26,0.538,4,8,0.5,4,7,0.571,1,12,13,9,2,0,2,1,32.4,Away,MIA
2014-02-11,Heat,Suns,W,Starter,SF,40:59,37,12,22,0.545,2,5,0.4,11,14,0.786,1,8,9,3,5,0,4,2,25.3,Away,MIA
2014-02-08,Heat,Jazz,L,Starter,SF,39:21,13,4,13,0.308,1,6,0.167,4,6,0.667,0,7,7,5,0,0,5,2,5.3,Away,MIA
2014-02-05,Heat,Clippers,W,Starter,SF,40:47,31,11,20,0.55,3,7,0.429,6,8,0.75,1,7,8,12,3,1,7,2,27.3,Away,MIA
2014-02-03,Heat,Pistons,W,Starter,SF,38:19,24,9,19,0.474,0,3,0,6,8,0.75,1,7,8,11,2,2,1,1,26.5,Home,MIA
2014-02-01,Heat,Knicks,W,Starter,SF,39:06,30,13,22,0.591,1,3,0.333,3,6,0.5,1,7,8,7,6,0,2,3,27,Away,MIA
2014-01-29,Heat,Thunder,L,Starter,SF,42:10,34,12,20,0.6,1,5,0.2,9,9,1,1,2,3,3,0,0,3,1,17.6,Home,MIA
2014-01-26,Heat,Spurs,W,Starter,SF,27:43,18,8,15,0.533,1,3,0.333,1,1,1,0,7,7,6,1,0,4,4,12.6,Home,MIA
2014-01-23,Heat,Lakers,W,Starter,SF,37:18,27,9,15,0.6,2,4,0.5,7,13,0.538,2,11,13,6,1,0,5,1,22.6,Home,MIA
2014-01-21,Heat,Celtics,W,Starter,SF,38:48,29,10,19,0.526,0,4,0,9,11,0.818,1,7,8,4,2,0,3,1,19.4,Home,MIA
2014-01-20,Heat,Hawks,L,Starter,SF,38:43,30,11,21,0.524,3,7,0.429,5,8,0.625,1,3,4,6,1,0,3,1,18,Away,MIA
2014-01-18,Heat,Hornets,W,Starter,SF,44:52,34,13,25,0.52,0,3,0,8,10,0.8,2,6,8,6,1,0,2,4,21,Away,MIA
2014-01-17,Heat,Sixers,W,Starter,SF,36:31,21,7,13,0.538,0,1,0,7,8,0.875,1,7,8,10,2,1,3,3,23,Away,MIA
