Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2007-04-18,Cavaliers,Bucks,W,Starter,SF,39:58,24,9,18,0.5,1,4,0.25,5,10,0.5,0,5,5,9,2,0,2,2,18.5,Home,CLE
2007-04-17,Cavaliers,Sixers,W,Starter,SF,36:03,18,7,15,0.467,0,2,0,4,7,0.571,1,4,5,6,0,0,1,3,11.6,Away,CLE
2007-04-14,Cavaliers,Hawks,W,Starter,SF,31:57,23,8,16,0.5,3,6,0.5,4,5,0.8,1,4,5,6,1,1,0,1,20.6,Home,CLE
2007-04-12,Cavaliers,Nets,W,Starter,SF,35:15,35,15,27,0.556,0,1,0,5,9,0.556,3,5,8,4,2,1,2,1,22.6,Home,CLE
2007-04-08,Cavaliers,Pistons,L,Starter,SF,43:06,20,5,16,0.313,1,4,0.25,9,11,0.818,1,4,5,6,1,0,5,2,8.9,Away,CLE
2007-04-06,Cavaliers,Wizards,W,Starter,SF,44:25,25,7,23,0.304,0,3,0,11,14,0.786,0,6,6,5,1,1,2,3,10.5,Away,CLE
2007-04-05,Cavaliers,Heat,L,Starter,SF,48:36,35,11,21,0.524,2,5,0.4,11,13,0.846,2,7,9,5,0,0,4,4,20.6,Home,CLE
2007-04-03,Cavaliers,Timberwolves,W,Starter,SF,41:49,31,13,24,0.542,0,2,0,5,5,1,2,10,12,6,4,1,2,1,29.1,Away,CLE
2007-03-31,Cavaliers,Bulls,W,Starter,SF,47:24,39,14,25,0.56,0,3,0,11,13,0.846,1,4,5,9,3,0,7,4,22.4,Away,CLE
2007-03-28,Cavaliers,Knicks,L,Starter,SF,43:55,24,6,20,0.3,2,5,0.4,10,14,0.714,1,5,6,7,2,0,3,3,13,Away,CLE
2007-03-27,Cavaliers,Pacers,W,Starter,SF,40:08,26,8,18,0.444,0,3,0,10,14,0.714,1,6,7,6,2,0,3,4,15.8,Away,CLE
2007-03-25,Cavaliers,Nuggets,L,Starter,SF,40:49,18,8,19,0.421,1,6,0.167,1,1,1,0,3,3,8,1,0,5,4,7.6,Home,CLE
2007-03-23,Cavaliers,Knicks,W,Starter,SF,38:16,21,8,16,0.5,0,1,0,5,6,0.833,1,2,3,10,2,0,1,1,19.8,Home,CLE
2007-03-21,Cavaliers,Mavericks,L,Starter,SF,45:27,31,12,28,0.429,1,6,0.167,6,7,0.857,0,6,6,4,2,3,6,3,13.4,Home,CLE
2007-03-20,Cavaliers,Hornets,L,Starter,SF,46:33,37,12,31,0.387,2,9,0.222,11,12,0.917,2,4,6,6,1,3,3,4,19.3,Away,CLE
2007-03-17,Cavaliers,Jazz,W,Starter,SF,43:40,24,8,21,0.381,0,6,0,8,13,0.615,2,15,17,9,2,2,4,3,24.1,Home,CLE
2007-03-14,Cavaliers,Grizzlies,W,Starter,SF,29:35,29,11,17,0.647,4,7,0.571,3,6,0.5,1,5,6,4,3,0,2,0,23.8,Away,CLE
2007-03-11,Cavaliers,Pacers,W,Starter,SF,38:42,26,10,22,0.455,2,6,0.333,4,5,0.8,3,4,7,6,3,1,2,2,20.6,Home,CLE
2007-03-10,Cavaliers,Bucks,W,Starter,SF,36:30,32,12,22,0.545,4,6,0.667,4,4,1,0,8,8,9,3,1,6,5,24.5,Away,CLE
2007-03-07,Cavaliers,Pistons,W,Starter,SF,50:40,41,17,31,0.548,1,3,0.333,6,8,0.75,2,5,7,8,3,1,4,4,26.5,Away,CLE
