Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2015-04-13,Cavaliers,Pistons,W,Starter,SF,32:14,21,7,17,0.412,3,4,0.75,4,6,0.667,3,7,10,11,2,1,1,0,27.3,Home,CLE
2015-04-10,Cavaliers,Celtics,L,Starter,SF,26:05,14,5,14,0.357,0,5,0,4,9,0.444,0,3,3,7,1,0,3,1,6.9,Home,CLE
2015-04-08,Cavaliers,Bucks,W,Starter,SF,39:51,21,8,15,0.533,2,5,0.4,3,4,0.75,2,7,9,8,1,1,2,2,22.5,Away,CLE
2015-04-05,Cavaliers,Bulls,W,Starter,SF,36:31,20,8,17,0.471,1,3,0.333,3,6,0.5,2,8,10,12,3,1,3,4,24,Home,CLE
2015-04-02,Cavaliers,Heat,W,Starter,PF,35:27,23,9,16,0.563,1,2,0.5,4,5,0.8,1,7,8,7,1,3,3,3,21.9,Home,CLE
2015-03-29,Cavaliers,Sixers,W,Starter,SF,37:53,20,8,24,0.333,1,4,0.25,3,6,0.5,2,9,11,6,0,1,5,0,10.5,Home,CLE
2015-03-27,Cavaliers,Nets,L,Starter,SF,38:28,24,8,15,0.533,2,5,0.4,6,8,0.75,0,5,5,9,5,1,3,4,23.5,Away,CLE
2015-03-25,Cavaliers,Grizzlies,W,Starter,SF,31:27,20,7,15,0.467,3,5,0.6,3,4,0.75,0,8,8,5,0,0,1,2,16.3,Away,CLE
2015-03-22,Cavaliers,Bucks,W,Starter,SF,39:28,28,10,17,0.588,1,4,0.25,7,7,1,2,8,10,6,5,1,5,1,27.1,Away,CLE
2015-03-20,Cavaliers,Pacers,W,Starter,SF,39:18,29,13,26,0.5,2,6,0.333,1,2,0.5,0,7,7,5,0,0,3,0,16,Home,CLE
2015-03-18,Cavaliers,Nets,W,Starter,SF,34:35,16,5,13,0.385,2,4,0.5,4,6,0.667,1,2,3,7,1,0,2,1,12,Home,CLE
2015-03-16,Cavaliers,Heat,L,Starter,SF,35:16,26,8,19,0.421,4,8,0.5,6,8,0.75,1,1,2,4,0,0,4,2,9.5,Away,CLE
2015-03-15,Cavaliers,Magic,W,Starter,SF,34:44,21,9,14,0.643,0,3,0,3,4,0.75,1,7,8,13,3,1,1,3,29.8,Away,CLE
2015-03-12,Cavaliers,Spurs,W,Starter,SF,43:43,31,10,20,0.5,3,6,0.5,8,10,0.8,0,5,5,7,2,1,3,2,22,Away,CLE
2015-03-10,Cavaliers,Mavericks,W,Starter,SF,28:58,27,10,14,0.714,4,6,0.667,3,5,0.6,0,7,7,8,1,1,2,3,26.4,Away,CLE
2015-03-07,Cavaliers,Suns,W,Starter,SF,36:26,17,6,16,0.375,2,5,0.4,3,6,0.5,0,6,6,8,1,0,4,3,10.8,Home,CLE
2015-03-06,Cavaliers,Hawks,L,Starter,SF,40:09,18,5,13,0.385,1,4,0.25,7,8,0.875,1,5,6,8,2,1,9,3,10.5,Away,CLE
2015-03-04,Cavaliers,Raptors,W,Starter,SF,37:27,29,9,16,0.563,3,6,0.5,8,13,0.615,1,5,6,14,0,0,3,2,26.9,Away,CLE
2015-03-03,Cavaliers,Celtics,W,Starter,SF,25:35,27,12,23,0.522,0,1,0,3,3,1,1,2,3,5,3,1,1,0,19.1,Home,CLE
2015-03-01,Cavaliers,Rockets,L,Starter,SF,42:06,37,15,35,0.429,4,12,0.333,3,11,0.273,2,6,8,4,3,3,4,4,17.1,Away,CLE
2015-02-26,Cavaliers,Warriors,W,Starter,SF,36:12,42,15,25,0.6,4,9,0.444,8,11,0.727,1,10,11,5,3,1,6,5,28.1,Home,CLE
2015-02-24,Cavaliers,Pistons,W,Starter,SF,39:03,19,6,14,0.429,1,5,0.2,6,10,0.6,0,7,7,11,3,1,9,3,14.5,Away,CLE
2015-02-22,Cavaliers,Knicks,W,Starter,SF,27:55,18,7,17,0.412,1,6,0.167,3,5,0.6,0,7,7,7,2,0,4,2,12.6,Away,CLE
2015-02-20,Cavaliers,Wizards,W,Starter,SF,25:07,28,12,21,0.571,3,5,0.6,1,3,0.333,0,5,5,6,1,0,2,3,18.4,Away,CLE
2015-02-12,Cavaliers,Bulls,L,Starter,SF,34:14,31,12,26,0.462,2,9,0.222,5,6,0.833,0,5,5,4,0,0,8,3,7.5,Away,CLE
2015-02-11,Cavaliers,Heat,W,Starter,SF,31:27,18,6,16,0.375,0,4,0,6,7,0.857,0,9,9,7,1,0,5,2,12.1,Home,CLE
2015-02-08,Cavaliers,Lakers,W,Starter,SF,30:11,22,8,16,0.5,2,7,0.286,4,5,0.8,2,8,10,8,1,0,6,2,18.1,Home,CLE
2015-02-06,Cavaliers,Pacers,L,Starter,SF,38:34,25,10,21,0.476,0,4,0,5,8,0.625,0,6,6,5,2,1,7,3,10.3,Away,CLE
2015-02-05,Cavaliers,Clippers,W,Starter,SF,27:47,23,8,14,0.571,1,2,0.5,6,7,0.857,0,3,3,9,1,0,2,0,20.1,Home,CLE
2015-02-02,Cavaliers,Sixers,W,Starter,SF,35:51,18,6,17,0.353,1,4,0.25,5,6,0.833,0,3,3,11,2,0,6,2,11.3,Home,CLE
2015-01-31,Cavaliers,Timberwolves,W,Starter,SF,39:45,36,14,25,0.56,3,8,0.375,5,8,0.625,3,3,6,5,0,1,2,1,23,Away,CLE
