Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2005-04-20,Cavaliers,Raptors,W,Starter,SF,48:00,27,10,23,0.435,2,8,0.25,5,10,0.5,2,12,14,14,0,1,2,1,29.5,Away,CLE
2005-04-19,Cavaliers,Celtics,W,Starter,SF,47:00,32,13,27,0.481,2,3,0.667,4,5,0.8,1,7,8,6,5,0,3,3,22.6,Home,CLE
2005-04-17,Cavaliers,Pistons,L,Starter,SF,45:00,37,12,35,0.343,2,7,0.286,11,14,0.786,3,8,11,6,0,1,1,0,20.5,Away,CLE
2005-04-15,Cavaliers,Wizards,L,Starter,SF,48:00,38,16,33,0.485,1,6,0.167,5,8,0.625,2,4,6,6,1,0,1,3,19.8,Away,CLE
2005-04-14,Cavaliers,Knicks,L,Starter,SF,42:00,27,7,25,0.28,4,13,0.308,9,14,0.643,1,17,18,7,2,2,4,3,22.3,Home,CLE
2005-04-11,Cavaliers,Magic,W,Starter,SF,48:00,33,12,23,0.522,1,6,0.167,8,10,0.8,1,6,7,6,5,1,2,4,25.5,Away,CLE
2005-04-09,Cavaliers,Bucks,W,Starter,SF,47:00,40,15,26,0.577,7,13,0.538,3,3,1,1,9,10,10,2,1,3,2,36.1,Home,CLE
2005-04-08,Cavaliers,Sixers,L,Starter,SF,48:00,37,12,30,0.4,2,6,0.333,11,11,1,4,9,13,7,5,0,5,1,27.6,Away,CLE
2005-04-06,Cavaliers,Pacers,L,Starter,SF,33:00,20,9,18,0.5,0,3,0,2,4,0.5,2,2,4,3,1,0,2,2,9.5,Away,CLE
2005-04-05,Cavaliers,Nets,L,Starter,SF,40:00,24,9,19,0.474,3,6,0.5,3,6,0.5,2,7,9,4,2,2,6,2,15.8,Home,CLE
2005-04-03,Cavaliers,Mavericks,W,Starter,SF,48:00,37,10,23,0.435,4,8,0.5,13,13,1,2,8,10,7,2,1,6,3,25.4,Home,CLE
2005-04-01,Cavaliers,Kings,L,Starter,SF,44:00,35,13,21,0.619,2,4,0.5,7,10,0.7,0,8,8,9,2,0,7,2,24.5,Home,CLE
2005-03-31,Cavaliers,Bulls,L,Starter,SF,53:00,26,10,28,0.357,1,4,0.25,5,11,0.455,4,2,6,7,4,2,3,5,13.9,Away,CLE
2005-03-29,Cavaliers,Clippers,W,Starter,SF,41:00,22,7,20,0.35,2,8,0.25,6,7,0.857,0,7,7,5,2,1,1,0,16.6,Home,CLE
2005-03-28,Cavaliers,Pelicans,W,Starter,SF,53:00,44,16,29,0.552,3,10,0.3,9,11,0.818,2,4,6,3,4,0,10,3,18.6,Away,CLE
2005-03-26,Cavaliers,Mavericks,L,Starter,SF,36:00,19,7,17,0.412,0,2,0,5,6,0.833,1,3,4,6,0,0,3,1,9.8,Away,CLE
2005-03-24,Cavaliers,Rockets,L,Starter,SF,42:00,19,7,22,0.318,1,4,0.25,4,7,0.571,0,4,4,8,1,0,2,1,9.4,Away,CLE
2005-03-22,Cavaliers,Pistons,W,Starter,SF,43:00,29,11,24,0.458,2,7,0.286,5,8,0.625,1,5,6,6,1,0,0,1,19.3,Home,CLE
2005-03-20,Cavaliers,Raptors,L,Starter,SF,48:00,56,18,36,0.5,6,12,0.5,14,15,0.933,2,8,10,5,2,0,4,0,34.4,Away,CLE
2005-03-18,Cavaliers,Sixers,L,Starter,SF,46:00,16,3,20,0.15,0,4,0,10,12,0.833,0,8,8,8,4,0,4,0,10.5,Home,CLE
2005-03-16,Cavaliers,Bucks,L,Starter,SF,45:00,34,13,26,0.5,4,9,0.444,4,7,0.571,1,6,7,6,1,0,5,0,19.4,Away,CLE
