Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2020-08-13,Lakers,Kings,L,Starter,PG,14:36,17,6,13,0.462,2,5,0.4,3,3,1,1,2,3,4,0,0,3,0,9.6,Home,LAL
2020-08-10,Lakers,Nuggets,W,Starter,PG,38:06,29,9,21,0.429,5,11,0.455,6,10,0.6,0,1,1,12,0,2,5,0,19.3,Home,LAL
2020-08-08,Lakers,Pacers,L,Starter,SF,35:09,31,13,24,0.542,2,6,0.333,3,6,0.5,1,7,8,7,0,1,1,4,22,Away,LAL
2020-08-05,Lakers,Thunder,L,Starter,PG,30:17,19,7,19,0.368,0,5,0,5,8,0.625,1,10,11,4,1,0,0,1,14.8,Home,LAL
2020-08-03,Lakers,Jazz,W,Starter,PG,34:54,22,9,16,0.563,2,5,0.4,2,2,1,1,7,8,9,2,1,4,3,22,Away,LAL
2020-08-01,Lakers,Raptors,L,Starter,PG,34:36,20,7,15,0.467,2,5,0.4,4,7,0.571,1,9,10,5,0,1,4,1,15.4,Away,LAL
2020-07-30,Lakers,Clippers,W,Starter,PG,34:18,16,6,19,0.316,2,7,0.286,2,2,1,2,9,11,7,1,1,5,3,12.3,Home,LAL
2020-03-10,Lakers,Nets,L,Starter,PG,34:52,29,12,22,0.545,4,9,0.444,1,5,0.2,1,11,12,9,1,0,3,1,26.4,Home,LAL
2020-03-08,Lakers,Clippers,W,Starter,PG,34:31,28,7,17,0.412,2,6,0.333,12,14,0.857,2,6,8,9,0,2,2,3,24,Away,LAL
2020-03-06,Lakers,Bucks,W,Starter,PG,36:30,37,12,21,0.571,1,7,0.143,12,15,0.8,0,8,8,8,3,0,4,4,26.6,Home,LAL
2020-03-03,Lakers,Sixers,W,Starter,PG,33:45,22,9,16,0.563,2,5,0.4,2,3,0.667,1,6,7,14,1,2,3,1,27.9,Home,LAL
2020-03-01,Lakers,Pelicans,W,Starter,PG,36:23,34,14,21,0.667,3,5,0.6,3,3,1,0,12,12,13,2,0,6,2,34.1,Away,LAL
2020-02-29,Lakers,Grizzlies,L,Starter,PG,34:19,19,8,18,0.444,2,8,0.25,1,2,0.5,2,6,8,10,1,1,5,1,17.8,Away,LAL
2020-02-25,Lakers,Pelicans,W,Starter,PG,34:12,40,17,27,0.63,5,11,0.455,1,2,0.5,2,6,8,6,0,1,7,1,25,Home,LAL
2020-02-23,Lakers,Celtics,W,Starter,PG,35:29,29,9,19,0.474,4,10,0.4,7,12,0.583,0,8,8,9,0,0,2,4,21.3,Home,LAL
2020-02-21,Lakers,Grizzlies,W,Starter,PG,35:35,32,10,17,0.588,1,4,0.25,11,12,0.917,0,3,3,7,0,2,1,0,25,Home,LAL
2020-02-12,Lakers,Nuggets,W,Starter,PG,41:30,32,15,29,0.517,1,7,0.143,1,4,0.25,1,11,12,14,0,0,3,3,27.5,Away,LAL
2020-02-10,Lakers,Suns,W,Starter,PG,30:05,17,6,16,0.375,3,6,0.5,2,4,0.5,0,8,8,9,1,0,8,2,10.5,Home,LAL
2020-02-08,Lakers,Warriors,W,Starter,PG,33:34,22,7,17,0.412,3,8,0.375,5,6,0.833,0,8,8,11,1,0,7,2,17,Away,LAL
2020-02-06,Lakers,Rockets,L,Starter,PG,36:39,18,8,19,0.421,1,8,0.125,1,1,1,2,7,9,15,2,0,6,0,21.6,Home,LAL
2020-02-04,Lakers,Spurs,W,Starter,PG,34:11,36,12,20,0.6,6,9,0.667,6,9,0.667,1,6,7,9,1,0,2,1,30.6,Home,LAL
2020-02-01,Lakers,Kings,W,Starter,PG,33:34,15,6,15,0.4,1,4,0.25,2,3,0.667,0,10,10,11,2,0,2,3,19.6,Away,LAL
2020-01-31,Lakers,Trail Blazers,L,Starter,PG,37:59,22,9,22,0.409,3,8,0.375,1,4,0.25,2,6,8,10,0,1,5,2,15.5,Home,LAL
2020-01-25,Lakers,Sixers,L,Starter,PG,35:21,29,9,18,0.5,1,6,0.167,10,13,0.769,0,7,7,8,1,0,8,3,15.4,Away,LAL
2020-01-23,Lakers,Nets,W,Starter,PG,33:36,27,11,19,0.579,3,6,0.5,2,2,1,2,9,11,10,1,1,5,0,27.8,Away,LAL
2020-01-22,Lakers,Knicks,W,Starter,PG,36:03,21,9,16,0.563,2,5,0.4,1,3,0.333,0,6,6,5,5,0,4,0,18.4,Away,LAL
2020-01-20,Lakers,Celtics,L,Starter,PG,29:11,15,5,12,0.417,0,2,0,5,5,1,3,4,7,13,0,0,4,1,18.6,Away,LAL
2020-01-18,Lakers,Rockets,W,Starter,PG,35:24,31,13,25,0.52,2,7,0.286,3,5,0.6,0,5,5,12,2,0,6,3,20.6,Away,LAL
2020-01-15,Lakers,Magic,L,Starter,PG,36:15,19,7,19,0.368,2,9,0.222,3,5,0.6,0,3,3,19,1,0,5,1,19.6,Home,LAL
2020-01-13,Lakers,Cavaliers,W,Starter,PG,32:43,31,12,16,0.75,1,3,0.333,6,7,0.857,0,2,2,8,1,0,3,2,22.9,Home,LAL
2020-01-10,Lakers,Mavericks,W,Starter,PG,32:16,35,14,25,0.56,3,6,0.5,4,5,0.8,2,14,16,7,1,0,3,0,31.9,Away,LAL
2020-01-07,Lakers,Knicks,W,Starter,PG,31:26,31,9,19,0.474,6,12,0.5,7,7,1,0,5,5,5,2,1,4,2,20.9,Home,LAL
2020-01-05,Lakers,Pistons,W,Starter,PG,35:01,21,10,21,0.476,0,3,0,1,2,0.5,3,11,14,11,0,0,3,2,22.8,Home,LAL
