"Player","Team(s)","GP","Win%","name"
"Andre Drummond","Lakers",18,"50.0%","Anthony Davis"
"Thomas Bryant","Lakers",18,"55.6%","Anthony Davis"
"Tony Allen","Pelicans",18,"50.0%","Anthony Davis"
"J.R. Smith","Lakers",17,"70.6%","Anthony Davis"
"Alfonzo McKinnie","Lakers",17,"70.6%","Anthony Davis"
"Ben McLemore","Lakers",16,"43.8%","Anthony Davis"
"Juan Toscano-Anderson","Lakers",14,"28.6%","Anthony Davis"
"Dion Waiters","Lakers",13,"53.8%","Anthony Davis"
"Bryce Dejean-Jones","Pelicans",13,"53.8%","Anthony Davis"
"Damian Jones","Lakers",13,"38.5%","Anthony Davis"
"Skylar Mays","Lakers",13,"46.2%","Anthony Davis"
"Matt Ryan","Lakers",12,"41.7%","Anthony Davis"
"Colin Castleton","Lakers",12,"66.7%","Anthony Davis"
"Charles Cooke","Pelicans",12,"66.7%","Anthony Davis"
"Bronny James","Lakers",12,"66.7%","Anthony Davis"
"Dorian Finney-Smith","Lakers",11,"45.5%","Anthony Davis"
"Mohamed Bamba","Lakers",11,"72.7%","Anthony Davis"
"Terrel Harris","Pelicans",11,"36.4%","Anthony Davis"
"Naji Marshall","Mavericks",9,"66.7%","Anthony Davis"
"Klay Thompson","Mavericks",9,"66.7%","Anthony Davis"
"Anthony Brown","Pelicans",9,"33.3%","Anthony Davis"
"Hollis Thompson","Pelicans",9,"33.3%","Anthony Davis"
"Dominic McGuire","Pelicans",9,"22.2%","Anthony Davis"
"Armel Traore","Lakers",8,"50.0%","Anthony Davis"
"Shaquille Harrison","Lakers",8,"37.5%","Anthony Davis"
"Davon Reed","Lakers",8,"75.0%","Anthony Davis"
"P.J. Washington","Mavericks",7,"57.1%","Anthony Davis"
"Caleb Martin","Mavericks",7,"57.1%","Anthony Davis"
"Larry Drew","Pelicans",7,"57.1%","Anthony Davis"
"Shake Milton","Lakers",7,"57.1%","Anthony Davis"
"Kai Jones","Mavericks",6,"66.7%","Anthony Davis"
"Lance Stephenson","Pelicans",6,"0.0%","Anthony Davis"
"Jaden Hardy","Mavericks",6,"83.3%","Anthony Davis"
"Trevor Ariza","Lakers",6,"33.3%","Anthony Davis"
"Nate Wolters","Pelicans",6,"83.3%","Anthony Davis"
"Elliot Williams","Pelicans",6,"66.7%","Anthony Davis"
"Tristan Thompson","Lakers",6,"33.3%","Anthony Davis"
"Andrew Harrison","Pelicans",6,"33.3%","Anthony Davis"
"Dwight Powell","Mavericks",6,"66.7%","Anthony Davis"
"Dylan Windler","Lakers",6,"50.0%","Anthony Davis"
"Russ Smith","Pelicans",6,"66.7%","Anthony Davis"
"Harry Giles","Lakers",6,"66.7%","Anthony Davis"
"Daniel Gafford","Mavericks",5,"60.0%","Anthony Davis"
"Reggie Williams","Pelicans",5,"20.0%","Anthony Davis"
"Orlando Johnson","Pelicans",5,"20.0%","Anthony Davis"
"Dairis Bertans","Pelicans",5,"20.0%","Anthony Davis"
"D'Moi Hodge","Lakers",5,"20.0%","Anthony Davis"
"Kostas Antetokounmpo","Lakers",5,"40.0%","Anthony Davis"
"Brandon Williams","Mavericks",4,"100.0%","Anthony Davis"
"Dereck Lively II","Mavericks",4,"50.0%","Anthony Davis"
"Walt Lemon, Jr.","Pelicans",4,"100.0%","Anthony Davis"
"Gal Mekel","Pelicans",4,"50.0%","Anthony Davis"
"Devontae Cacok","Lakers",4,"25.0%","Anthony Davis"
"Alex Fudge","Lakers",4,"25.0%","Anthony Davis"
"Mike James","Pelicans",4,"25.0%","Anthony Davis"
"Wayne Selden","Pelicans",3,"66.7%","Anthony Davis"
"D.J. Augustin","Lakers",3,"0.0%","Anthony Davis"
"Jalen Jones","Pelicans",3,"33.3%","Anthony Davis"
"Arinze Onuaku","Pelicans",3,"33.3%","Anthony Davis"
"Josh Smith","Pelicans",3,"66.7%","Anthony Davis"
"Josh Childress","Pelicans",3,"66.7%","Anthony Davis"
"Donald Sloan","Pelicans",3,"100.0%","Anthony Davis"
"Cole Swider","Lakers",3,"33.3%","Anthony Davis"
"Archie Goodwin","Pelicans",2,"50.0%","Anthony Davis"
"Sekou Doumbouya","Lakers",2,"0.0%","Anthony Davis"
"Dante Exum","Mavericks",2,"100.0%","Anthony Davis"
"Jarrett Jack","Pelicans",2,"50.0%","Anthony Davis"
"Henry Sims","Pelicans",2,"0.0%","Anthony Davis"
"Quincy Olivari","Lakers",2,"50.0%","Anthony Davis"
"Scotty Pippen, Jr.","Lakers",2,"0.0%","Anthony Davis"
"James Huff","Lakers",2,"0.0%","Anthony Davis"
"Zach Norvell","Lakers",2,"100.0%","Anthony Davis"
"Nate Robinson","Pelicans",2,"0.0%","Anthony Davis"
"Isaiah Thomas","Lakers",1,"0.0%","Anthony Davis"
"Kyrie Irving","Mavericks",1,"100.0%","Anthony Davis"
"Omri Casspi","Pelicans",1,"0.0%","Anthony Davis"
"Trey Jemison","Lakers",1,"100.0%","Anthony Davis"
"Chaundee Brown, Jr.","Lakers",1,"0.0%","Anthony Davis"
"Kessler Edwards","Mavericks",1,"100.0%","Anthony Davis"
"Olivier-Maxence Prosper","Mavericks",1,"100.0%","Anthony Davis"
