"Player","Team(s)","GP","Win%","name"
"Gary Clark","Rockets",11,"90.9%","Iman Shumpert"
"Ben McLemore","Kings",10,"50.0%","Iman Shumpert"
"Ronnie Brewer","Knicks",10,"70.0%","Iman Shumpert"
"David Nwaba","Nets",8,"50.0%","Iman Shumpert"
"Skal Labissiere","Kings",8,"37.5%","Iman Shumpert"
"Brendan Haywood","Cavaliers",8,"100.0%","Iman Shumpert"
"Nicolas Claxton","Nets",7,"57.1%","Iman Shumpert"
"Cleanthony Early","Knicks",7,"0.0%","Iman Shumpert"
"Chris Chiozza","Rockets, Nets",7,"71.4%","Iman Shumpert"
"Earl Clark","Knicks",7,"85.7%","Iman Shumpert"
"Cedi Osman","Cavaliers",7,"57.1%","Iman Shumpert"
"Quentin Richardson","Knicks",6,"66.7%","Iman Shumpert"
"Derrick Rose","Cavaliers",4,"75.0%","Iman Shumpert"
"Larry Sanders","Cavaliers",4,"50.0%","Iman Shumpert"
"Timothe Luwawu-Cabarrot","Nets",3,"0.0%","Iman Shumpert"
"Ante Zizic","Cavaliers",3,"33.3%","Iman Shumpert"
"Isaiah Hartenstein","Rockets",3,"66.7%","Iman Shumpert"
"Bruce Brown, Jr.","Nets",2,"50.0%","Iman Shumpert"
"Landry Shamet","Nets",2,"50.0%","Iman Shumpert"
"Andre Roberson","Nets",2,"50.0%","Iman Shumpert"
"Rodions Kurucs","Nets",2,"0.0%","Iman Shumpert"
"Terrence Jones","Rockets",2,"100.0%","Iman Shumpert"
"Dan Gadzuric","Knicks",2,"100.0%","Iman Shumpert"
"Solomon Jones","Knicks",2,"100.0%","Iman Shumpert"
"Chris Smith","Knicks",2,"0.0%","Iman Shumpert"
"Isaiah Thomas","Cavaliers",1,"0.0%","Iman Shumpert"
"Earl Barron","Knicks",1,"100.0%","Iman Shumpert"
"Tyler Johnson","Nets",1,"100.0%","Iman Shumpert"
"Edy Tavares","Cavaliers",1,"0.0%","Iman Shumpert"
"John Holland","Cavaliers",1,"100.0%","Iman Shumpert"
"Tyler Cook","Nets",1,"0.0%","Iman Shumpert"
"Rasheed Wallace","Knicks",1,"0.0%","Iman Shumpert"
"Andrew Bogut","Cavaliers",1,"0.0%","Iman Shumpert"
"Henry Ellenson","Nets",1,"100.0%","Iman Shumpert"
