"Player","Team(s)","GP","Win%","name"
"Grant Williams","Mavericks",26,"53.8%","Kyrie Irving"
"Kevin Jones","Cavaliers",26,"19.2%","Kyrie Irving"
"Brandon Williams","Mavericks",26,"69.2%","Kyrie Irving"
"Caris LeVert","Nets",25,"48.0%","Kyrie Irving"
"Dahntay Jones","Cavaliers",25,"76.0%","Kyrie Irving"
"Andrew Bynum","Cavaliers",24,"37.5%","Kyrie Irving"
"James Johnson","Nets",23,"39.1%","Kyrie Irving"
"Reggie Perry","Nets",23,"65.2%","Kyrie Irving"
"T.J. Warren","Nets",22,"68.2%","Kyrie Irving"
"Mike Dunleavy","Cavaliers",22,"86.4%","Kyrie Irving"
"Ryan Hollins","Cavaliers",22,"45.5%","Kyrie Irving"
"Semih Erden","Cavaliers",22,"27.3%","Kyrie Irving"
"Sergey Karasev","Cavaliers",22,"31.8%","Kyrie Irving"
"Kendrick Perkins","Cavaliers",21,"90.5%","Kyrie Irving"
"Brendan Haywood","Cavaliers",21,"71.4%","Kyrie Irving"
"Christian Wood","Mavericks",20,"40.0%","Kyrie Irving"
"Andre Drummond","Nets",20,"55.0%","Kyrie Irving"
"Chris Chiozza","Nets",20,"60.0%","Kyrie Irving"
"Spencer Hawes","Cavaliers",19,"36.8%","Kyrie Irving"
"Reggie Bullock","Mavericks",19,"42.1%","Kyrie Irving"
"Henry Sims","Cavaliers",19,"36.8%","Kyrie Irving"
"Mike James","Nets",18,"66.7%","Kyrie Irving"
"Alize Johnson","Nets",18,"55.6%","Kyrie Irving"
"Garrett Temple","Nets",17,"47.1%","Kyrie Irving"
"Rodions Kurucs","Nets",17,"41.2%","Kyrie Irving"
"Jared Cunningham","Cavaliers",17,"88.2%","Kyrie Irving"
"Luke Harangody","Cavaliers",16,"25.0%","Kyrie Irving"
"Sasha Kaun","Cavaliers",16,"75.0%","Kyrie Irving"
"LaMarcus Aldridge","Nets",15,"60.0%","Kyrie Irving"
"Manny Harris","Cavaliers",15,"13.3%","Kyrie Irving"
"Goran Dragic","Nets",14,"50.0%","Kyrie Irving"
"Jeremy Pargo","Cavaliers",14,"28.6%","Kyrie Irving"
"Theo Pinson","Mavericks, Nets",13,"46.2%","Kyrie Irving"
"David Duke","Nets",13,"46.2%","Kyrie Irving"
"Jazian Gortman","Mavericks",13,"61.5%","Kyrie Irving"
"Justin Holiday","Mavericks",12,"41.7%","Kyrie Irving"
"Richaun Holmes","Mavericks",12,"41.7%","Kyrie Irving"
"Max Christie","Mavericks",11,"45.5%","Kyrie Irving"
"Greg Monroe","Celtics",11,"45.5%","Kyrie Irving"
"Lou Amundson","Cavaliers",11,"45.5%","Kyrie Irving"
"DeAndre' Bembry","Nets",10,"30.0%","Kyrie Irving"
"Dzanan Musa","Nets",10,"40.0%","Kyrie Irving"
"Frank Ntilikina","Mavericks",10,"30.0%","Kyrie Irving"
"Chris Andersen","Cavaliers",10,"70.0%","Kyrie Irving"
"Wilson Chandler","Nets",8,"50.0%","Kyrie Irving"
"JaVale McGee","Mavericks",8,"50.0%","Kyrie Irving"
"Jon Leuer","Cavaliers",8,"12.5%","Kyrie Irving"
"David Nwaba","Nets",8,"25.0%","Kyrie Irving"
"Will Cherry","Cavaliers",8,"75.0%","Kyrie Irving"
"A.J. Price","Cavaliers",8,"37.5%","Kyrie Irving"
"Jevon Carter","Nets",7,"14.3%","Kyrie Irving"
"Carrick Felix","Cavaliers",7,"28.6%","Kyrie Irving"
"Kylor Kelley","Mavericks",6,"33.3%","Kyrie Irving"
"Davis Bertans","Mavericks",5,"40.0%","Kyrie Irving"
"Mychel Thompson","Cavaliers",5,"40.0%","Kyrie Irving"
"Alex Kirk","Cavaliers",5,"40.0%","Kyrie Irving"
"Moses Brown","Mavericks",4,"50.0%","Kyrie Irving"
"McKinley Wright IV","Mavericks",4,"100.0%","Kyrie Irving"
"Kadeem Allen","Celtics",4,"25.0%","Kyrie Irving"
"Larry Sanders","Cavaliers",4,"50.0%","Kyrie Irving"
"Andre Roberson","Nets",4,"100.0%","Kyrie Irving"
"Noah Vonleh","Nets",4,"75.0%","Kyrie Irving"
"Lester Hudson","Cavaliers",3,"0.0%","Kyrie Irving"
"Chris Quinn","Cavaliers",3,"0.0%","Kyrie Irving"
"Jabari Bird","Celtics",3,"100.0%","Kyrie Irving"
"Tyler Cook","Nets",3,"100.0%","Kyrie Irving"
"Christian Eyenga","Cavaliers",3,"33.3%","Kyrie Irving"
"P.J. Dozier","Celtics",2,"50.0%","Kyrie Irving"
"Norvel Pelle","Nets",2,"50.0%","Kyrie Irving"
"Scotty Hopson","Cavaliers",2,"100.0%","Kyrie Irving"
"Jarell Eddie","Celtics",2,"50.0%","Kyrie Irving"
"Arinze Onuaku","Cavaliers",2,"50.0%","Kyrie Irving"
"Anthony Davis","Mavericks",1,"100.0%","Kyrie Irving"
"Kai Jones","Mavericks",1,"0.0%","Kyrie Irving"
"D.J. Kennedy","Cavaliers",1,"0.0%","Kyrie Irving"
"Greg Brown III","Mavericks",1,"100.0%","Kyrie Irving"
"Dexter Dennis","Mavericks",1,"0.0%","Kyrie Irving"
"Ben Uzoh","Cavaliers",1,"0.0%","Kyrie Irving"
"Justin Anderson","Nets",1,"100.0%","Kyrie Irving"
"Andrew Bogut","Cavaliers",1,"0.0%","Kyrie Irving"
"Shane Edwards","Cavaliers",1,"0.0%","Kyrie Irving"
"Jeremiah Martin","Nets",1,"100.0%","Kyrie Irving"
