"Player","Team(s)","GP","Win%","name"
"Shabazz Muhammad","Bucks",4,"25.0%","Matthew Dellavedova"
"Mfiondu Kabengele","Cavaliers",4,"25.0%","Matthew Dellavedova"
"Matt Mooney","Cavaliers",4,"0.0%","Matthew Dellavedova"
"Jaylen Morris","Bucks",3,"100.0%","Matthew Dellavedova"
"Alex Kirk","Cavaliers",3,"0.0%","Matthew Dellavedova"
"Terrence Jones","Bucks",3,"33.3%","Matthew Dellavedova"
"Brandon Jennings","Bucks",2,"50.0%","Matthew Dellavedova"
"Xavier Munford","Bucks",2,"0.0%","Matthew Dellavedova"
"Shane Edwards","Cavaliers",2,"0.0%","Matthew Dellavedova"
"Chima Moneke","Kings",2,"50.0%","Matthew Dellavedova"
"Scotty Hopson","Cavaliers",2,"100.0%","Matthew Dellavedova"
"Deonte Burton","Kings",2,"50.0%","Matthew Dellavedova"
"Arinze Onuaku","Cavaliers",2,"50.0%","Matthew Dellavedova"
"Axel Toupane","Bucks",2,"50.0%","Matthew Dellavedova"
"Neemias Queta","Kings",1,"100.0%","Matthew Dellavedova"
"Seth Curry","Cavaliers",1,"0.0%","Matthew Dellavedova"
"Patrick McCaw","Cavaliers",1,"0.0%","Matthew Dellavedova"
"Kobi Simmons","Cavaliers",1,"0.0%","Matthew Dellavedova"
