"Player","Team(s)","GP","Win%","name"
"Jiri Welsch","Cavaliers",15,"33.3%","Sasha Pavlovic"
"Glen Davis","Celtics",14,"42.9%","Sasha Pavlovic"
"Troy Murphy","Celtics",13,"38.5%","Sasha Pavlovic"
"Scott Williams","Cavaliers",13,"46.2%","Sasha Pavlovic"
"Stephen Graham","Cavaliers",12,"50.0%","Sasha Pavlovic"
"Jason Terry","Mavericks",10,"50.0%","Sasha Pavlovic"
"Shawn Marion","Mavericks",10,"50.0%","Sasha Pavlovic"
"J.J. Barea","Mavericks",10,"50.0%","Sasha Pavlovic"
"Jason Kidd","Mavericks",10,"50.0%","Sasha Pavlovic"
"Brendan Haywood","Mavericks",10,"50.0%","Sasha Pavlovic"
"Paul Grant","Jazz",10,"40.0%","Sasha Pavlovic"
"Jawad Williams","Cavaliers",10,"70.0%","Sasha Pavlovic"
"Zendon Hamilton","Cavaliers",9,"66.7%","Sasha Pavlovic"
"Dirk Nowitzki","Mavericks",8,"62.5%","Sasha Pavlovic"
"Tyson Chandler","Mavericks",8,"62.5%","Sasha Pavlovic"
"Ian Mahinmi","Mavericks",7,"42.9%","Sasha Pavlovic"
"Eric Maynor","Trail Blazers",6,"0.0%","Sasha Pavlovic"
"Martynas Andriuskevicius","Cavaliers",6,"16.7%","Sasha Pavlovic"
"Dajuan Wagner","Cavaliers",5,"60.0%","Sasha Pavlovic"
"Sean Williams","Celtics",5,"40.0%","Sasha Pavlovic"
"David West","Pelicans",4,"25.0%","Sasha Pavlovic"
"Chris Paul","Pelicans",4,"25.0%","Sasha Pavlovic"
"Willie Green","Pelicans",4,"25.0%","Sasha Pavlovic"
"Marco Belinelli","Pelicans",4,"25.0%","Sasha Pavlovic"
"Jarrett Jack","Pelicans",4,"25.0%","Sasha Pavlovic"
"Aaron Gray","Pelicans",4,"25.0%","Sasha Pavlovic"
"David Andersen","Pelicans",4,"25.0%","Sasha Pavlovic"
"Von Wafer","Celtics",4,"50.0%","Sasha Pavlovic"
"Dominique Jones","Mavericks",4,"0.0%","Sasha Pavlovic"
"D.J. Mbenga","Pelicans",4,"25.0%","Sasha Pavlovic"
"Alexis Ajinca","Mavericks",4,"0.0%","Sasha Pavlovic"
"Jerome Moiso","Cavaliers",4,"75.0%","Sasha Pavlovic"
"Marcus Thornton","Pelicans",3,"0.0%","Sasha Pavlovic"
"Jason Smith","Pelicans",3,"33.3%","Sasha Pavlovic"
"Demetris Nichols","Cavaliers",3,"0.0%","Sasha Pavlovic"
"Cedric Simmons","Cavaliers",3,"100.0%","Sasha Pavlovic"
"Keon Clark","Jazz",2,"100.0%","Sasha Pavlovic"
"Quincy Pondexter","Pelicans",2,"0.0%","Sasha Pavlovic"
"Alando Tucker","Timberwolves",2,"0.0%","Sasha Pavlovic"
"Lance Allred","Cavaliers",2,"0.0%","Sasha Pavlovic"
"Trevor Ariza","Pelicans",1,"100.0%","Sasha Pavlovic"
"Jason Hart","Timberwolves",1,"0.0%","Sasha Pavlovic"
