"Player","Team(s)","GP","Win%","name"
"Al Harrington","Pacers",6,"50.0%","James Jones"
"Mark Blount","Heat",6,"50.0%","James Jones"
"Justin Hamilton","Heat",6,"66.7%","James Jones"
"Britton Johnsen","Pacers",6,"33.3%","James Jones"
"Jonathan Bender","Pacers",5,"40.0%","James Jones"
"Josh Harrellson","Heat",5,"40.0%","James Jones"
"Greg Oden","Heat",5,"20.0%","James Jones"
"Josh McRoberts","Trail Blazers",5,"60.0%","James Jones"
"Taurean Green","Trail Blazers",4,"50.0%","James Jones"
"Larry Sanders","Cavaliers",4,"50.0%","James Jones"
"Shavlik Randolph","Heat",3,"33.3%","James Jones"
"Sean Marks","Suns",3,"66.7%","James Jones"
"Sharrod Ford","Suns",3,"100.0%","James Jones"
"Alex Kirk","Cavaliers",3,"0.0%","James Jones"
"Andre Barrett","Suns",2,"50.0%","James Jones"
"Will Cherry","Cavaliers",2,"100.0%","James Jones"
"Edy Tavares","Cavaliers",1,"0.0%","James Jones"
"Josh Davis","Suns",1,"0.0%","James Jones"
"Jamison Brewer","Pacers",1,"100.0%","James Jones"
"Kenny Anderson","Pacers",1,"0.0%","James Jones"
