"Player","Team(s)","GP","Win%"
"Stanley Johnson","Lakers",34,"38.2%"
"Toney Douglas","Heat",34,"58.8%"
"Tyson Chandler","Lakers",34,"61.8%"
"Thomas Bryant","Lakers",33,"54.5%"
"Shannon Brown","Cavaliers",33,"54.5%"
"David Wesley","Cavaliers",32,"53.1%"
"Antawn Jamison","Cavaliers",31,"71.0%"
"Kedrick Brown","Cavaliers",31,"35.5%"
"J.R. Bremer","Cavaliers",31,"25.8%"
"Kendrick Nunn","Lakers",30,"46.7%"
"Spencer Dinwiddie","Lakers",29,"62.1%"
"Terrel Harris","Heat",29,"65.5%"
"Wayne Ellington","Lakers",28,"32.1%"
"Derrick Williams","Cavaliers",28,"60.7%"
"Christian Koloko","Lakers",28,"64.3%"
"Moe Wagner","Lakers",25,"36.0%"
"Roger Mason","Heat",25,"72.0%"
"Dahntay Jones","Cavaliers",25,"76.0%"
"Scot Pollard","Cavaliers",25,"44.0%"
"Ronny Turiaf","Heat",24,"62.5%"
"Greg Oden","Heat",24,"66.7%"
"John Holland","Cavaliers",24,"70.8%"
"Luka Doncic","Lakers",23,"65.2%"
"Malik Beasley","Lakers",23,"69.6%"
"Juan Toscano-Anderson","Lakers",23,"43.5%"
"Kendrick Perkins","Cavaliers",23,"78.3%"
"Alfonzo McKinnie","Lakers",23,"65.2%"
"Ricky Davis","Cavaliers",22,"27.3%"
"Lee Nailon","Cavaliers",22,"50.0%"
"Chris Mihm","Cavaliers",22,"27.3%"
"Kent Bazemore","Lakers",22,"50.0%"
"Svi Mykhailiuk","Lakers",22,"50.0%"
"Shake Milton","Lakers",22,"72.7%"
"Damian Jones","Lakers",22,"45.5%"
"Sasha Kaun","Cavaliers",22,"81.8%"
"Mike Dunleavy","Cavaliers",21,"90.5%"
"DeAndre Jordan","Lakers",21,"52.4%"
"Jalen Hood-Schifino","Lakers",21,"57.1%"
"Bronny James","Lakers",21,"66.7%"
"Jordan Goodwin","Lakers",20,"65.0%"
"Trevor Ariza","Lakers",20,"40.0%"
"Leon Powe","Cavaliers",20,"80.0%"
"Jamaal Magloire","Heat",20,"75.0%"
