"Player","Team(s)","GP","Win%","name"
"Bernard James","Mavericks",11,"45.5%","Mo Williams"
"Avery Bradley","Celtics",11,"54.5%","Mo Williams"
"Luis Flores","Warriors",11,"9.1%","Mo Williams"
"Brandan Wright","Mavericks",10,"40.0%","Mo Williams"
"Jordan Hill","Lakers",10,"20.0%","Mo Williams"
"Delonte West","Celtics",10,"50.0%","Mo Williams"
"Shawn Marion","Mavericks",9,"44.4%","Mo Williams"
"Damion James","Nets",9,"11.1%","Mo Williams"
"Patrick O'Bryant","Warriors",9,"22.2%","Mo Williams"
"Quinton Ross","Nets",9,"11.1%","Mo Williams"
"Rodrigue Beaubois","Mavericks",8,"12.5%","Mo Williams"
"Ben Uzoh","Nets",8,"12.5%","Mo Williams"
"Kelenna Azubuike","Warriors",7,"42.9%","Mo Williams"
"Luke Walton","Lakers",7,"71.4%","Mo Williams"
"Sasha Vujacic","Nets",6,"33.3%","Mo Williams"
"Von Wafer","Celtics",5,"80.0%","Mo Williams"
"Jared Cunningham","Mavericks",5,"60.0%","Mo Williams"
"J.R. Bremer","Warriors",5,"60.0%","Mo Williams"
"Dean Garrett","Warriors",5,"20.0%","Mo Williams"
"Terrence Williams","Nets",4,"0.0%","Mo Williams"
"Guy Rucker","Warriors",3,"0.0%","Mo Williams"
"Christian Eyenga","Lakers",2,"0.0%","Mo Williams"
"A.J. Guyton","Warriors",2,"50.0%","Mo Williams"
"Courtney Sims","Pacers",2,"50.0%","Mo Williams"
"Dajuan Wagner","Warriors",1,"100.0%","Mo Williams"
"Chris Johnson","Celtics",1,"100.0%","Mo Williams"
"Rusty LaRue","Warriors",1,"0.0%","Mo Williams"
"Cherokee Parks","Warriors",1,"100.0%","Mo Williams"
