"Player","Team(s)","GP","Win%","name"
"Jason Collins","Timberwolves",30,"20.0%","Kevin Love"
"Ed Davis","Cavaliers",30,"46.7%","Kevin Love"
"George Hill","Cavaliers",29,"51.7%","Kevin Love"
"Rodney Hood","Cavaliers",29,"44.8%","Kevin Love"
"Ronny Turiaf","Timberwolves",27,"55.6%","Kevin Love"
"John Henson","Cavaliers",25,"24.0%","Kevin Love"
"Orlando Robinson","Heat",24,"58.3%","Kevin Love"
"Oleksiy Pecherov","Timberwolves",24,"12.5%","Kevin Love"
"Dahntay Jones","Cavaliers",24,"75.0%","Kevin Love"
"Rajon Rondo","Cavaliers",23,"47.8%","Kevin Love"
"Jamal Cain","Heat",23,"52.2%","Kevin Love"
"Kevin Pangos","Cavaliers",23,"65.2%","Kevin Love"
"Malcolm Lee","Timberwolves",22,"27.3%","Kevin Love"
"Raulzinho Neto","Cavaliers",22,"63.6%","Kevin Love"
"Thomas Bryant","Heat",21,"57.1%","Kevin Love"
"Dante Exum","Cavaliers",21,"23.8%","Kevin Love"
"Brendan Haywood","Cavaliers",21,"66.7%","Kevin Love"
"Sasha Kaun","Cavaliers",21,"71.4%","Kevin Love"
"David Nwaba","Cavaliers",20,"35.0%","Kevin Love"
"Bobby Brown","Timberwolves",20,"15.0%","Kevin Love"
"Mike Dunleavy","Cavaliers",20,"85.0%","Kevin Love"
"Nathan Jawai","Timberwolves",20,"15.0%","Kevin Love"
"Marquese Chriss","Cavaliers",18,"38.9%","Kevin Love"
"Brodric Thomas","Cavaliers",18,"22.2%","Kevin Love"
"Robin Lopez","Cavaliers",18,"66.7%","Kevin Love"
"Denzel Valentine","Cavaliers",18,"55.6%","Kevin Love"
"Mark Madsen","Timberwolves",18,"16.7%","Kevin Love"
"Victor Oladipo","Heat",17,"35.3%","Kevin Love"
"Lou Amundson","Cavaliers, Timberwolves",17,"35.3%","Kevin Love"
"Nik Stauskas","Cavaliers",15,"40.0%","Kevin Love"
"Kendrick Perkins","Cavaliers",15,"80.0%","Kevin Love"
"Greg Stiemsma","Timberwolves",15,"53.3%","Kevin Love"
"Andrei Kirilenko","Timberwolves",14,"50.0%","Kevin Love"
"Isaiah Hartenstein","Cavaliers",14,"28.6%","Kevin Love"
"Moses Brown","Cavaliers",14,"35.7%","Kevin Love"
"Shelden Williams","Timberwolves",14,"28.6%","Kevin Love"
"Omer Yurtseven","Heat",14,"57.1%","Kevin Love"
"R.J. Nembhard","Cavaliers",14,"42.9%","Kevin Love"
"Dru Smith","Heat",13,"76.9%","Kevin Love"
"Pelle Larsson","Heat",13,"61.5%","Kevin Love"
"Derrick Rose","Cavaliers",12,"58.3%","Kevin Love"
"Mfiondu Kabengele","Cavaliers",12,"16.7%","Kevin Love"
"Isaiah Thomas","Cavaliers",11,"45.5%","Kevin Love"
"Taurean Prince","Cavaliers",11,"36.4%","Kevin Love"
"Delon Wright","Heat",11,"63.6%","Kevin Love"
"Chris Andersen","Cavaliers",11,"72.7%","Kevin Love"
"Cole Swider","Heat",11,"54.5%","Kevin Love"
"John Holland","Cavaliers",11,"81.8%","Kevin Love"
"Kel'el Ware","Heat",10,"60.0%","Kevin Love"
"Josh Howard","Timberwolves",10,"50.0%","Kevin Love"
"Damyean Dotson","Cavaliers",10,"20.0%","Kevin Love"
"Alec Burks","Heat",10,"50.0%","Kevin Love"
"Brad Miller","Timberwolves",10,"20.0%","Kevin Love"
"Tyler Cook","Cavaliers",10,"30.0%","Kevin Love"
"Mamadi Diakite","Cavaliers",9,"66.7%","Kevin Love"
