"Player","Team(s)","GP","Win%","name"
"Eric Moreland","Raptors",12,"75.0%","Danny Green"
"Charlie Brown, Jr.","Sixers",12,"75.0%","Danny Green"
"Evan Mobley","Cavaliers",11,"45.5%","Danny Green"
"Darius Garland","Cavaliers",10,"50.0%","Danny Green"
"Caris LeVert","Cavaliers",10,"50.0%","Danny Green"
"Delonte West","Cavaliers",10,"50.0%","Danny Green"
"Cedi Osman","Cavaliers",10,"50.0%","Danny Green"
"Isaac Okoro","Cavaliers",10,"50.0%","Danny Green"
"Lamar Stevens","Cavaliers",10,"50.0%","Danny Green"
"Raulzinho Neto","Cavaliers",10,"60.0%","Danny Green"
"Paul Millsap","Sixers",10,"60.0%","Danny Green"
"Darrun Hilliard","Spurs",10,"50.0%","Danny Green"
"Vincent Poirier","Sixers",10,"80.0%","Danny Green"
"Anthony Tolliver","Sixers",10,"60.0%","Danny Green"
"Donovan Mitchell","Cavaliers",9,"44.4%","Danny Green"
"Jarrett Allen","Cavaliers",9,"33.3%","Danny Green"
"Antonio McDyess","Spurs",9,"55.6%","Danny Green"
"Talen Horton-Tucker","Lakers",9,"55.6%","Danny Green"
"Ricky Rubio","Cavaliers",9,"55.6%","Danny Green"
"Dean Wade","Cavaliers",9,"55.6%","Danny Green"
"Shannon Brown","Spurs",9,"66.7%","Danny Green"
"Dakota Mathias","Sixers",8,"50.0%","Danny Green"
"Steve Novak","Spurs",7,"42.9%","Danny Green"
"Kostas Antetokounmpo","Lakers",7,"57.1%","Danny Green"
"Myles Powell","Sixers",7,"71.4%","Danny Green"
"Jaden Springer","Sixers",7,"28.6%","Danny Green"
"Antawn Jamison","Cavaliers",6,"50.0%","Danny Green"
"Robin Lopez","Cavaliers",6,"50.0%","Danny Green"
"Tracy McGrady","Spurs",6,"66.7%","Danny Green"
"Leon Powe","Cavaliers",5,"60.0%","Danny Green"
"Aaron Henry","Sixers",5,"100.0%","Danny Green"
"Cedric Jackson","Cavaliers",5,"100.0%","Danny Green"
"Sam Merrill","Cavaliers",4,"75.0%","Danny Green"
"Devontae Cacok","Lakers",4,"50.0%","Danny Green"
"Eric Dawson","Spurs",4,"75.0%","Danny Green"
"Mason Jones","Sixers",4,"25.0%","Danny Green"
"Chris Quinn","Spurs",4,"50.0%","Danny Green"
"JaMychal Green","Spurs",4,"75.0%","Danny Green"
"Damion James","Spurs",4,"25.0%","Danny Green"
"Desmond Bane","Grizzlies",3,"33.3%","Danny Green"
"Jaren Jackson, Jr.","Grizzlies",3,"33.3%","Danny Green"
"Sebastian Telfair","Cavaliers",3,"0.0%","Danny Green"
"Santi Aldama","Grizzlies",3,"33.3%","Danny Green"
"Brandon Clarke","Grizzlies",3,"33.3%","Danny Green"
"Mamadi Diakite","Cavaliers",3,"66.7%","Danny Green"
"Isaiah Mobley","Cavaliers",3,"66.7%","Danny Green"
"Xavier Tillman, Sr.","Grizzlies",3,"33.3%","Danny Green"
"Tyus Jones","Grizzlies",3,"33.3%","Danny Green"
"Malcolm Thomas","Spurs",3,"66.7%","Danny Green"
"Ja Morant","Grizzlies",2,"50.0%","Danny Green"
"Kelly Oubre, Jr.","Sixers",2,"50.0%","Danny Green"
"Dillon Brooks","Grizzlies",2,"50.0%","Danny Green"
"De'Anthony Melton","Sixers",2,"50.0%","Danny Green"
"Derrick Byars","Spurs",2,"100.0%","Danny Green"
"Ziaire Williams","Grizzlies",2,"0.0%","Danny Green"
"Dylan Windler","Cavaliers",2,"100.0%","Danny Green"
"Patrick Beverley","Sixers",2,"50.0%","Danny Green"
"Justin Dentmon","Spurs",2,"100.0%","Danny Green"
"John Konchar","Grizzlies",2,"50.0%","Danny Green"
"P.J. Tucker","Sixers",2,"50.0%","Danny Green"
"Ike Diogu","Spurs",2,"50.0%","Danny Green"
"Braxton Key","Sixers",2,"100.0%","Danny Green"
"Willie Cauley-Stein","Sixers",2,"100.0%","Danny Green"
"Coby Karl","Cavaliers",2,"50.0%","Danny Green"
"Zach Norvell","Lakers",2,"100.0%","Danny Green"
"David Roddy","Grizzlies",1,"0.0%","Danny Green"
"Matt Costello","Spurs",1,"0.0%","Danny Green"
"Danuel House","Sixers",1,"100.0%","Danny Green"
"Ignas Brazdeikis","Sixers",1,"0.0%","Danny Green"
"Gary Clark","Sixers",1,"100.0%","Danny Green"
