"Player","Team(s)","GP","Win%","name"
"Mike Bibby","Heat",24,"66.7%","Zydrunas Ilgauskus"
"Scot Pollard","Cavaliers",23,"43.5%","Zydrunas Ilgauskus"
"Lee Nailon","Cavaliers",22,"50.0%","Zydrunas Ilgauskus"
"Chris Gatling","Cavaliers",21,"66.7%","Zydrunas Ilgauskus"
"Mitchell Butler","Cavaliers",19,"63.2%","Zydrunas Ilgauskus"
"Scott Williams","Cavaliers",19,"52.6%","Zydrunas Ilgauskus"
"Antawn Jamison","Cavaliers",17,"52.9%","Zydrunas Ilgauskus"
"Danny Green","Cavaliers",17,"70.6%","Zydrunas Ilgauskus"
"Jiri Welsch","Cavaliers",15,"33.3%","Zydrunas Ilgauskus"
"Udonis Haslem","Heat",14,"64.3%","Zydrunas Ilgauskus"
"Tierre Brown","Cavaliers",14,"28.6%","Zydrunas Ilgauskus"
"Stephen Graham","Cavaliers",13,"46.2%","Zydrunas Ilgauskus"
"Jamaal Magloire","Heat",11,"72.7%","Zydrunas Ilgauskus"
"Leon Powe","Cavaliers",10,"40.0%","Zydrunas Ilgauskus"
"Zendon Hamilton","Cavaliers",10,"70.0%","Zydrunas Ilgauskus"
"Lorenzen Wright","Cavaliers",10,"90.0%","Zydrunas Ilgauskus"
"Michael Hawkins","Cavaliers",9,"55.6%","Zydrunas Ilgauskus"
"Tony Dumas","Cavaliers",7,"57.1%","Zydrunas Ilgauskus"
"Jerry Stackhouse","Heat",7,"71.4%","Zydrunas Ilgauskus"
"Cedric Simmons","Cavaliers",7,"57.1%","Zydrunas Ilgauskus"
"Greg Graham","Cavaliers",6,"83.3%","Zydrunas Ilgauskus"
"Billy Thomas","Cavaliers",6,"66.7%","Zydrunas Ilgauskus"
"Jeff Trepagnier","Cavaliers",6,"0.0%","Zydrunas Ilgauskus"
"Martynas Andriuskevicius","Cavaliers",6,"16.7%","Zydrunas Ilgauskus"
"Johnny Newman","Cavaliers",5,"40.0%","Zydrunas Ilgauskus"
"Cedric Jackson","Cavaliers",5,"100.0%","Zydrunas Ilgauskus"
"Sebastian Telfair","Cavaliers",4,"0.0%","Zydrunas Ilgauskus"
"Mateen Cleaves","Cavaliers",4,"0.0%","Zydrunas Ilgauskus"
"Bruno Sundov","Cavaliers",4,"0.0%","Zydrunas Ilgauskus"
"Jerome Moiso","Cavaliers",4,"75.0%","Zydrunas Ilgauskus"
"Trey Johnson","Cavaliers",4,"100.0%","Zydrunas Ilgauskus"
"Demetris Nichols","Cavaliers",3,"0.0%","Zydrunas Ilgauskus"
"J.R. Reid","Cavaliers",3,"33.3%","Zydrunas Ilgauskus"
"Kaniel Dickens","Cavaliers",3,"100.0%","Zydrunas Ilgauskus"
"Coby Karl","Cavaliers",3,"66.7%","Zydrunas Ilgauskus"
"Dexter Pittman","Heat",2,"100.0%","Zydrunas Ilgauskus"
"Lance Allred","Cavaliers",2,"0.0%","Zydrunas Ilgauskus"
"Jelani McCoy","Cavaliers",2,"0.0%","Zydrunas Ilgauskus"
"Litterial Green","Cavaliers",1,"0.0%","Zydrunas Ilgauskus"
