"Player","Team(s)","GP","Win%","name"
"Jared Jeffries","Knicks",23,"56.5%","J.R. Smith"
"Maciej Lampe","Pelicans",23,"4.3%","J.R. Smith"
"Brandon Bass","Pelicans",23,"47.8%","J.R. Smith"
"Sasha Kaun","Cavaliers",23,"73.9%","J.R. Smith"
"Andre Miller","Nuggets",22,"59.1%","J.R. Smith"
"Jamaal Magloire","Pelicans",22,"22.7%","J.R. Smith"
"Derrick Williams","Cavaliers",22,"50.0%","J.R. Smith"
"Earl Boykins","Nuggets",21,"52.4%","J.R. Smith"
"Quincy Acy","Knicks",21,"19.0%","J.R. Smith"
"Shane Larkin","Knicks",21,"14.3%","J.R. Smith"
"Samuel Dalembert","Knicks",21,"19.0%","J.R. Smith"
"David Wesley","Pelicans",20,"10.0%","J.R. Smith"
"Rasheed Wallace","Knicks",20,"80.0%","J.R. Smith"
"Bobby Jones","Nuggets",20,"65.0%","J.R. Smith"
"Steven Hunter","Nuggets",20,"60.0%","J.R. Smith"
"Von Wafer","Nuggets",20,"55.0%","J.R. Smith"
"Jason Hart","Nuggets",20,"75.0%","J.R. Smith"
"Danilo Gallinari","Nuggets",19,"52.6%","J.R. Smith"
"Danny Green","Lakers",19,"68.4%","J.R. Smith"
"Shannon Brown","Knicks",19,"63.2%","J.R. Smith"
"Jeremy Lin","Knicks",18,"50.0%","J.R. Smith"
"Kentavious Caldwell-Pope","Lakers",18,"72.2%","J.R. Smith"
"Matt Freije","Pelicans",18,"16.7%","J.R. Smith"
"Travis Wear","Knicks",18,"16.7%","J.R. Smith"
"Anthony Davis","Lakers",17,"70.6%","J.R. Smith"
"Kyle Kuzma","Lakers",17,"70.6%","J.R. Smith"
"Derrick Rose","Cavaliers",16,"56.3%","J.R. Smith"
"Dwight Howard","Lakers",16,"68.8%","J.R. Smith"
"Aaron Williams","Pelicans",16,"50.0%","J.R. Smith"
"Alex Caruso","Lakers",16,"81.3%","J.R. Smith"
"Markieff Morris","Lakers",16,"68.8%","J.R. Smith"
"Isaiah Thomas","Cavaliers",15,"46.7%","J.R. Smith"
"Marc Jackson","Pelicans",15,"33.3%","J.R. Smith"
"Linton Johnson","Pelicans",15,"33.3%","J.R. Smith"
"JaVale McGee","Lakers",15,"73.3%","J.R. Smith"
"Mike Dunleavy","Cavaliers",15,"80.0%","J.R. Smith"
"Arvydas Macijauskas","Pelicans",15,"26.7%","J.R. Smith"
"Jamal Sampson","Nuggets",15,"80.0%","J.R. Smith"
"Jared Dudley","Lakers",14,"64.3%","J.R. Smith"
"Quinn Cook","Lakers",13,"61.5%","J.R. Smith"
"Toney Douglas","Knicks",13,"69.2%","J.R. Smith"
"Brendan Haywood","Cavaliers",13,"76.9%","J.R. Smith"
"London Perrantes","Cavaliers",13,"61.5%","J.R. Smith"
"Darrell Armstrong","Pelicans",12,"8.3%","J.R. Smith"
"Kosta Koufos","Nuggets",12,"66.7%","J.R. Smith"
"Kay Felder","Cavaliers",12,"41.7%","J.R. Smith"
"Sonny Weems","Nuggets",12,"66.7%","J.R. Smith"
"Collin Sexton","Cavaliers",11,"9.1%","J.R. Smith"
"Dion Waiters","Lakers",11,"54.5%","J.R. Smith"
"Joe Smith","Nuggets",10,"70.0%","J.R. Smith"
"Jerome Jordan","Knicks",10,"80.0%","J.R. Smith"
"Moochie Norris","Pelicans",9,"22.2%","J.R. Smith"
"Earl Clark","Knicks",9,"66.7%","J.R. Smith"
"Taurean Green","Nuggets",9,"66.7%","J.R. Smith"
"David Nwaba","Cavaliers",8,"12.5%","J.R. Smith"
"Corsley Edwards","Pelicans",8,"0.0%","J.R. Smith"
"Cleanthony Early","Knicks",8,"0.0%","J.R. Smith"
"Rajon Rondo","Lakers",6,"83.3%","J.R. Smith"
"Cheickh Samb","Nuggets",6,"100.0%","J.R. Smith"
"Talen Horton-Tucker","Lakers",5,"40.0%","J.R. Smith"
"Sam Dekker","Cavaliers",5,"0.0%","J.R. Smith"
"Mike Wilks","Nuggets",5,"60.0%","J.R. Smith"
"Larry Sanders","Cavaliers",5,"40.0%","J.R. Smith"
"Jelani McCoy","Nuggets",5,"40.0%","J.R. Smith"
"Alex Garcia","Pelicans",4,"0.0%","J.R. Smith"
"Kostas Antetokounmpo","Lakers",4,"25.0%","J.R. Smith"
"Devontae Cacok","Lakers",4,"50.0%","J.R. Smith"
"Andrew Harrison","Cavaliers",4,"25.0%","J.R. Smith"
"Lonny Baxter","Pelicans",4,"25.0%","J.R. Smith"
"Quentin Richardson","Knicks",4,"75.0%","J.R. Smith"
"Marcus Fizer","Pelicans",3,"0.0%","J.R. Smith"
"Juwan Howard","Nuggets",3,"33.3%","J.R. Smith"
"Henry Walker","Knicks",2,"50.0%","J.R. Smith"
"Dan Gadzuric","Knicks",2,"100.0%","J.R. Smith"
"Solomon Jones","Knicks",2,"100.0%","J.R. Smith"
"Chris Smith","Knicks",2,"0.0%","J.R. Smith"
"Edy Tavares","Cavaliers",1,"0.0%","J.R. Smith"
