"Player","Team(s)","GP","Win%","name"
"Brian Scalabrine","Bulls",45,"73.3%","Kyle Korver"
"Zendon Hamilton","Sixers",44,"34.1%","Kyle Korver"
"Josh Davis","Sixers",44,"43.2%","Kyle Korver"
"Jimmy Butler III","Bulls",44,"65.9%","Kyle Korver"
"Sterling Brown","Bucks",43,"72.1%","Kyle Korver"
"Dahntay Jones","Hawks, Cavaliers",41,"53.7%","Kyle Korver"
"Georges Niang","Jazz",39,"71.8%","Kyle Korver"
"Glenn Robinson","Sixers",38,"28.9%","Kyle Korver"
"Bobby Jones","Sixers",38,"26.3%","Kyle Korver"
"Sundiata Gaines","Jazz",37,"62.2%","Kyle Korver"
"Lamar Patterson","Hawks",37,"62.2%","Kyle Korver"
"Tiago Splitter","Hawks",34,"55.9%","Kyle Korver"
"Richard Hamilton","Bulls",33,"66.7%","Kyle Korver"
"Raulzinho Neto","Jazz",33,"66.7%","Kyle Korver"
"Johan Petro","Hawks",33,"45.5%","Kyle Korver"
"D.J. Wilson","Bucks",33,"75.8%","Kyle Korver"
"Alan Henderson","Sixers",33,"21.2%","Kyle Korver"
"Rodney Rogers","Sixers",32,"53.1%","Kyle Korver"
"Malcolm Delaney","Hawks",32,"50.0%","Kyle Korver"
"Ekpe Udoh","Jazz",32,"75.0%","Kyle Korver"
"James Jones","Cavaliers",30,"53.3%","Kyle Korver"
"Dwight Howard","Hawks",29,"48.3%","Kyle Korver"
"Derrick Coleman","Sixers",29,"34.5%","Kyle Korver"
"Jason Hart","Jazz",29,"75.9%","Kyle Korver"
"Derrick Williams","Cavaliers",26,"53.8%","Kyle Korver"
"Morris Almond","Jazz",26,"73.1%","Kyle Korver"
"DeAndre Liggins","Cavaliers",26,"46.2%","Kyle Korver"
"Reggie Evans","Sixers",25,"48.0%","Kyle Korver"
"Jason Smith","Sixers",25,"48.0%","Kyle Korver"
"Justin Holiday","Hawks",25,"56.0%","Kyle Korver"
"Gustavo Ayon","Hawks",24,"45.8%","Kyle Korver"
"Brian Skinner","Sixers",24,"37.5%","Kyle Korver"
"Lee Nailon","Sixers",22,"50.0%","Kyle Korver"
"Grayson Allen","Jazz",21,"66.7%","Kyle Korver"
"Dante Exum","Jazz",20,"55.0%","Kyle Korver"
"Marvin Williams","Bucks",20,"40.0%","Kyle Korver"
"Othyus Jeffers","Jazz",20,"65.0%","Kyle Korver"
"Anthony Morrow","Hawks",19,"73.7%","Kyle Korver"
"Kay Felder","Cavaliers",19,"57.9%","Kyle Korver"
"John Holland","Cavaliers",18,"66.7%","Kyle Korver"
"Thaddeus Young","Sixers",17,"58.8%","Kyle Korver"
"Taurean Prince","Hawks",17,"41.2%","Kyle Korver"
"Thanasis Antetokounmpo","Bucks",17,"70.6%","Kyle Korver"
"Kirk Hinrich","Hawks",17,"70.6%","Kyle Korver"
"Collin Sexton","Cavaliers",16,"18.8%","Kyle Korver"
"Isaiah Thomas","Cavaliers",15,"46.7%","Kyle Korver"
"James Thomas","Sixers",15,"46.7%","Kyle Korver"
"Jordan McRae","Cavaliers",14,"64.3%","Kyle Korver"
"James Johnson","Bulls",13,"61.5%","Kyle Korver"
"Edy Tavares","Hawks, Cavaliers",13,"61.5%","Kyle Korver"
"David Nwaba","Cavaliers",12,"25.0%","Kyle Korver"
"DeAndre' Bembry","Hawks",11,"45.5%","Kyle Korver"
"Frank Mason","Bucks",10,"50.0%","Kyle Korver"
"Mike James","Bulls",10,"90.0%","Kyle Korver"
"Ivan McFarlin","Sixers",10,"0.0%","Kyle Korver"
"Naz Long","Jazz",10,"70.0%","Kyle Korver"
"Lou Amundson","Sixers",10,"30.0%","Kyle Korver"
"Rasual Butler","Bulls",9,"100.0%","Kyle Korver"
"Ryan Kelly","Hawks",9,"33.3%","Kyle Korver"
"Sam Dekker","Cavaliers",8,"12.5%","Kyle Korver"
"Kedrick Brown","Sixers",8,"62.5%","Kyle Korver"
"Calvin Booth","Sixers",8,"50.0%","Kyle Korver"
"Tyler Cavanaugh","Jazz",8,"62.5%","Kyle Korver"
"London Perrantes","Cavaliers",8,"50.0%","Kyle Korver"
"Jannero Pargo","Hawks",7,"57.1%","Kyle Korver"
"Dragan Bender","Bucks",7,"100.0%","Kyle Korver"
"Steven Smith","Sixers",7,"0.0%","Kyle Korver"
"Andrew Harrison","Cavaliers",6,"33.3%","Kyle Korver"
"Austin Daye","Hawks",5,"40.0%","Kyle Korver"
"Jared Cunningham","Hawks",5,"60.0%","Kyle Korver"
"Eric Maynor","Jazz",4,"50.0%","Kyle Korver"
"James Nunnally","Hawks",4,"50.0%","Kyle Korver"
"Larry Sanders","Cavaliers",4,"25.0%","Kyle Korver"
"Adreian Payne","Hawks",2,"50.0%","Kyle Korver"
"Deng Gai","Sixers",2,"0.0%","Kyle Korver"
"Dexter Pittman","Hawks",2,"0.0%","Kyle Korver"
"Andrew Bogut","Cavaliers",1,"0.0%","Kyle Korver"
"Tony Bradley","Jazz",1,"100.0%","Kyle Korver"
