"Player","Team(s)","GP","Win%","name"
"Derrick Jones","Bulls",22,"22.7%","Tristan Thompson"
"Emoni Bates","Cavaliers",22,"68.2%","Tristan Thompson"
"Sergey Karasev","Cavaliers",22,"31.8%","Tristan Thompson"
"Dante Exum","Cavaliers",21,"23.8%","Tristan Thompson"
"Maurice Harkless","Kings",21,"38.1%","Tristan Thompson"
"Tremont Waters","Celtics",21,"38.1%","Tristan Thompson"
"Marcus Morris","Cavaliers",20,"35.0%","Tristan Thompson"
"Ryan Hollins","Cavaliers",20,"40.0%","Tristan Thompson"
"Henry Sims","Cavaliers",20,"35.0%","Tristan Thompson"
"Chimezie Metu","Kings",19,"36.8%","Tristan Thompson"
"Romeo Langford","Celtics",19,"47.4%","Tristan Thompson"
"Marvin Bagley III","Kings",18,"33.3%","Tristan Thompson"
"Patrick Williams","Bulls",17,"35.3%","Tristan Thompson"
"Alex Len","Kings",17,"41.2%","Tristan Thompson"
"Alex Caruso","Bulls",17,"35.3%","Tristan Thompson"
"Luke Harangody","Cavaliers",17,"23.5%","Tristan Thompson"
"Evan Fournier","Celtics",16,"25.0%","Tristan Thompson"
"Richaun Holmes","Kings",16,"37.5%","Tristan Thompson"
"Terence Davis","Kings",16,"31.3%","Tristan Thompson"
"Isaiah Thomas","Cavaliers",15,"46.7%","Tristan Thompson"
"Alec Burks","Cavaliers",15,"20.0%","Tristan Thompson"
"John Holland","Cavaliers",14,"64.3%","Tristan Thompson"
"De'Andre Hunter","Cavaliers",13,"76.9%","Tristan Thompson"
"Lester Hudson","Cavaliers",13,"23.1%","Tristan Thompson"
"Derrick Rose","Cavaliers",13,"53.8%","Tristan Thompson"
"Tony Bradley","Bulls",12,"16.7%","Tristan Thompson"
"Luke Kornet","Celtics",12,"25.0%","Tristan Thompson"
"Chris Andersen","Cavaliers",12,"66.7%","Tristan Thompson"
"Lou Amundson","Cavaliers",12,"41.7%","Tristan Thompson"
"Jabari Parker","Celtics",11,"18.2%","Tristan Thompson"
"Jalen Jones","Cavaliers",11,"18.2%","Tristan Thompson"
"Jahmi'us Ramsey","Kings",11,"18.2%","Tristan Thompson"
"A.J. Price","Cavaliers",11,"36.4%","Tristan Thompson"
"Tyler Cook","Bulls, Cavaliers",11,"36.4%","Tristan Thompson"
"Andrew Harrison","Cavaliers",10,"30.0%","Tristan Thompson"
"Sam Dekker","Cavaliers",9,"11.1%","Tristan Thompson"
"Jaron Blossomgame","Cavaliers",9,"22.2%","Tristan Thompson"
"Tacko Fall","Celtics",9,"44.4%","Tristan Thompson"
"Jon Leuer","Cavaliers",9,"11.1%","Tristan Thompson"
"London Perrantes","Cavaliers",9,"55.6%","Tristan Thompson"
"Nik Stauskas","Cavaliers",8,"12.5%","Tristan Thompson"
"Marquese Chriss","Cavaliers",8,"12.5%","Tristan Thompson"
"Will Cherry","Cavaliers",8,"75.0%","Tristan Thompson"
"J.T. Thor","Cavaliers",7,"100.0%","Tristan Thompson"
"Carrick Felix","Cavaliers",7,"28.6%","Tristan Thompson"
"Chris Quinn","Cavaliers",7,"0.0%","Tristan Thompson"
"Robert Woodard II","Kings",7,"0.0%","Tristan Thompson"
"Anthony Davis","Lakers",6,"33.3%","Tristan Thompson"
"Austin Reaves","Lakers",6,"33.3%","Tristan Thompson"
"Andre Drummond","Cavaliers",6,"66.7%","Tristan Thompson"
"Rui Hachimura","Lakers",6,"33.3%","Tristan Thompson"
"D'Angelo Russell","Lakers",6,"33.3%","Tristan Thompson"
"Lonnie Walker","Lakers",6,"33.3%","Tristan Thompson"
"Dennis Schroder","Lakers",6,"33.3%","Tristan Thompson"
"Isaiah Mobley","Cavaliers",6,"0.0%","Tristan Thompson"
"Luke Travers","Cavaliers",6,"83.3%","Tristan Thompson"
"Cameron Payne","Cavaliers",5,"20.0%","Tristan Thompson"
"Jarred Vanderbilt","Lakers",5,"40.0%","Tristan Thompson"
"Matt Thomas","Bulls",5,"20.0%","Tristan Thompson"
"Alex Kirk","Cavaliers",5,"40.0%","Tristan Thompson"
"Pete Nance","Cavaliers",5,"40.0%","Tristan Thompson"
"Oshae Brissett","Pacers",4,"25.0%","Tristan Thompson"
"Jalen Smith","Pacers",4,"25.0%","Tristan Thompson"
"Lance Stephenson","Pacers",4,"25.0%","Tristan Thompson"
"Nae'qwan Tomlin","Cavaliers",4,"75.0%","Tristan Thompson"
"Duane Washington, Jr.","Pacers",4,"25.0%","Tristan Thompson"
"Shaquille Harrison","Lakers",4,"50.0%","Tristan Thompson"
"Max Christie","Lakers",4,"50.0%","Tristan Thompson"
"Malik Beasley","Lakers",4,"50.0%","Tristan Thompson"
"Christian Eyenga","Cavaliers",4,"25.0%","Tristan Thompson"
"Terry Taylor","Pacers",3,"33.3%","Tristan Thompson"
"Goga Bitadze","Pacers",3,"0.0%","Tristan Thompson"
"Louis King","Kings",3,"0.0%","Tristan Thompson"
"Mychel Thompson","Cavaliers",3,"33.3%","Tristan Thompson"
"Patrick McCaw","Cavaliers",3,"0.0%","Tristan Thompson"
"Malcolm Hill","Bulls",3,"33.3%","Tristan Thompson"
"Justin Robinson","Kings",3,"33.3%","Tristan Thompson"
"Neemias Queta","Kings",3,"0.0%","Tristan Thompson"
"Chris Duarte","Pacers",2,"0.0%","Tristan Thompson"
"Keifer Sykes","Pacers",2,"0.0%","Tristan Thompson"
"D.J. Kennedy","Cavaliers",2,"0.0%","Tristan Thompson"
"Ben Uzoh","Cavaliers",2,"0.0%","Tristan Thompson"
"Emmanuel Mudiay","Kings",2,"0.0%","Tristan Thompson"
"Shane Edwards","Cavaliers",2,"0.0%","Tristan Thompson"
"Matt Mooney","Cavaliers",2,"0.0%","Tristan Thompson"
"Scotty Hopson","Cavaliers",2,"100.0%","Tristan Thompson"
"Wenyen Gabriel","Lakers",2,"50.0%","Tristan Thompson"
"Arinze Onuaku","Cavaliers",2,"50.0%","Tristan Thompson"
"Larry Sanders","Cavaliers",2,"50.0%","Tristan Thompson"
"Moe Wagner","Celtics",2,"100.0%","Tristan Thompson"
"Isaiah Jackson","Pacers",1,"0.0%","Tristan Thompson"
"Edy Tavares","Cavaliers",1,"0.0%","Tristan Thompson"
"Seth Curry","Cavaliers",1,"0.0%","Tristan Thompson"
"Chuma Okeke","Cavaliers",1,"0.0%","Tristan Thompson"
