"Player","Team(s)","GP","Win%","name"
"Manny Harris","Cavaliers",11,"9.1%","Anderson Varejao"
"Scott Williams","Cavaliers",11,"45.5%","Anderson Varejao"
"Sasha Kaun","Cavaliers",10,"80.0%","Anderson Varejao"
"Luke Harangody","Cavaliers",9,"33.3%","Anderson Varejao"
"Luke Walton","Cavaliers",8,"12.5%","Anderson Varejao"
"Will Cherry","Cavaliers",7,"71.4%","Anderson Varejao"
"Lou Amundson","Cavaliers",7,"57.1%","Anderson Varejao"
"Billy Thomas","Cavaliers",7,"42.9%","Anderson Varejao"
"Carrick Felix","Cavaliers",6,"16.7%","Anderson Varejao"
"Brendan Haywood","Cavaliers",6,"66.7%","Anderson Varejao"
"Collin Sexton","Cavaliers",5,"20.0%","Anderson Varejao"
"Isaac Okoro","Cavaliers",5,"20.0%","Anderson Varejao"
"Jarrett Allen","Cavaliers",5,"20.0%","Anderson Varejao"
"Dean Wade","Cavaliers",5,"20.0%","Anderson Varejao"
"Brodric Thomas","Cavaliers",5,"20.0%","Anderson Varejao"
"Christian Eyenga","Cavaliers",5,"40.0%","Anderson Varejao"
"Dajuan Wagner","Cavaliers",5,"20.0%","Anderson Varejao"
"Mfiondu Kabengele","Cavaliers",5,"20.0%","Anderson Varejao"
"Mychel Thompson","Cavaliers",5,"40.0%","Anderson Varejao"
"Cedric Jackson","Cavaliers",5,"100.0%","Anderson Varejao"
"Martynas Andriuskevicius","Cavaliers",5,"20.0%","Anderson Varejao"
"A.J. Price","Cavaliers",5,"60.0%","Anderson Varejao"
"Sebastian Telfair","Cavaliers",4,"0.0%","Anderson Varejao"
"Damyean Dotson","Cavaliers",4,"25.0%","Anderson Varejao"
"Jeremiah Martin","Cavaliers",4,"0.0%","Anderson Varejao"
"Jon Leuer","Cavaliers",4,"0.0%","Anderson Varejao"
"Trey Johnson","Cavaliers",4,"100.0%","Anderson Varejao"
"Kevin Jones","Cavaliers",4,"0.0%","Anderson Varejao"
"Cedi Osman","Cavaliers",3,"0.0%","Anderson Varejao"
"Lance Allred","Cavaliers",3,"0.0%","Anderson Varejao"
"Kaniel Dickens","Cavaliers",3,"66.7%","Anderson Varejao"
"Isaiah Hartenstein","Cavaliers",2,"0.0%","Anderson Varejao"
"Damian Jones","Warriors",2,"50.0%","Anderson Varejao"
"Shane Edwards","Cavaliers",2,"0.0%","Anderson Varejao"
"Alex Kirk","Cavaliers",2,"50.0%","Anderson Varejao"
"Coby Karl","Cavaliers",2,"100.0%","Anderson Varejao"
"Seth Curry","Cavaliers",1,"0.0%","Anderson Varejao"
"Darius Garland","Cavaliers",1,"0.0%","Anderson Varejao"
"Scotty Hopson","Cavaliers",1,"100.0%","Anderson Varejao"
