"Player","Team(s)","GP","Win%","name"
"Tristan Thompson","Cavaliers",26,"34.6%","Dwayne Wade"
"Derek Anderson","Heat",26,"61.5%","Dwayne Wade"
"Ronny Turiaf","Heat",22,"59.1%","Dwayne Wade"
"Toney Douglas","Heat",22,"45.5%","Dwayne Wade"
"Henry Walker","Heat",21,"47.6%","Dwayne Wade"
"Terrel Harris","Heat",20,"45.0%","Dwayne Wade"
"Danny Granger","Heat",19,"31.6%","Dwayne Wade"
"Greg Oden","Heat",19,"52.6%","Dwayne Wade"
"Justin Hamilton","Heat",17,"23.5%","Dwayne Wade"
"Gerald Fitch","Heat",16,"68.8%","Dwayne Wade"
"Roger Mason","Heat",14,"85.7%","Dwayne Wade"
"Steve Smith","Heat",14,"50.0%","Dwayne Wade"
"Derrick Rose","Cavaliers",13,"46.2%","Dwayne Wade"
"Iman Shumpert","Cavaliers",13,"69.2%","Dwayne Wade"
"Duncan Robinson","Heat",13,"46.2%","Dwayne Wade"
"Isaiah Thomas","Cavaliers",12,"33.3%","Dwayne Wade"
"Luke Jackson","Heat",12,"8.3%","Dwayne Wade"
"Wesley Person","Heat",12,"50.0%","Dwayne Wade"
"Luke Babbitt","Heat",12,"41.7%","Dwayne Wade"
"Joffrey Lauvergne","Bulls",11,"36.4%","Dwayne Wade"
"Ante Zizic","Cavaliers",11,"54.5%","Dwayne Wade"
"Penny Hardaway","Heat",10,"30.0%","Dwayne Wade"
"Ryan Anderson","Heat",10,"40.0%","Dwayne Wade"
"Luther Head","Heat",9,"44.4%","Dwayne Wade"
"Zoran Dragic","Heat",9,"33.3%","Dwayne Wade"
"Cameron Payne","Bulls",8,"37.5%","Dwayne Wade"
"Eddy Curry","Heat",8,"100.0%","Dwayne Wade"
"Anthony Morrow","Bulls",7,"28.6%","Dwayne Wade"
"Bimbo Coles","Heat",7,"28.6%","Dwayne Wade"
"Robert Hite","Heat",6,"16.7%","Dwayne Wade"
"Josh Harrellson","Heat",6,"50.0%","Dwayne Wade"
"Jerry Stackhouse","Heat",6,"83.3%","Dwayne Wade"
"Jarvis Varnado","Heat",6,"100.0%","Dwayne Wade"
"Tyrone Hill","Heat",5,"0.0%","Dwayne Wade"
"Mickell Gladness","Heat",5,"80.0%","Dwayne Wade"
"Smush Parker","Heat",4,"0.0%","Dwayne Wade"
"Jordan Mickey","Heat",4,"75.0%","Dwayne Wade"
"Shaun Livingston","Heat",4,"50.0%","Dwayne Wade"
"John Holland","Cavaliers",4,"100.0%","Dwayne Wade"
"Jarnell Stokes","Heat",4,"25.0%","Dwayne Wade"
"Qyntel Woods","Heat",3,"33.3%","Dwayne Wade"
"Briante Weber","Heat",3,"66.7%","Dwayne Wade"
"Andre Dawkins","Heat",3,"33.3%","Dwayne Wade"
"Jerome Beasley","Heat",2,"0.0%","Dwayne Wade"
"Yante Maten","Heat",2,"50.0%","Dwayne Wade"
"Shavlik Randolph","Heat",2,"0.0%","Dwayne Wade"
"Matt Walsh","Heat",2,"100.0%","Dwayne Wade"
"R.J. Hunter","Bulls",2,"100.0%","Dwayne Wade"
"Shannon Brown","Heat",1,"100.0%","Dwayne Wade"
"Emanuel Terry","Heat",1,"0.0%","Dwayne Wade"
