,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
33,33,2019-12-29,,DAL,W,108,95,,38,78,.487,9,23,.391,29,55,.527,.545,23,28,.821,6,33,39,28,12,7,16,23,32,89,.360,13,43,.302,19,46,.413,.433,18,20,.900,13,32,45,17,11,4,19,23
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
34,34,2020-01-01,,PHO,W,117,107,,43,90,.478,7,28,.250,36,62,.581,.517,24,34,.706,13,32,45,25,9,5,13,17,42,86,.488,6,23,.261,36,63,.571,.523,17,23,.739,11,36,47,32,7,3,15,28
35,35,2020-01-03,,NOP,W,123,113,,43,86,.500,14,29,.483,29,57,.509,.581,23,28,.821,8,39,47,29,9,4,14,14,48,102,.471,11,37,.297,37,65,.569,.525,6,7,.857,9,31,40,24,4,10,12,20
36,36,2020-01-05,,DET,W,106,99,,42,92,.457,6,20,.300,36,72,.500,.489,16,23,.696,11,39,50,23,8,20,13,22,29,78,.372,11,26,.423,18,52,.346,.442,30,35,.857,6,37,43,21,8,6,16,22
37,37,2020-01-07,,NYK,W,117,87,,41,82,.500,17,36,.472,24,46,.522,.604,18,21,.857,6,42,48,27,11,11,19,19,37,95,.389,4,20,.200,33,75,.440,.411,9,16,.563,15,32,47,15,10,3,16,20
38,38,2020-01-10,@,DAL,W,129,114,,47,89,.528,10,24,.417,37,65,.569,.584,25,32,.781,12,37,49,18,6,5,7,27,39,96,.406,11,38,.289,28,58,.483,.464,25,37,.676,17,30,47,19,4,3,9,20
39,39,2020-01-11,@,OKC,W,125,110,,51,99,.515,15,32,.469,36,67,.537,.591,8,10,.800,12,42,54,21,3,4,12,17,43,92,.467,9,31,.290,34,61,.557,.516,15,17,.882,5,32,37,23,6,6,7,13
40,40,2020-01-13,,CLE,W,128,99,,48,88,.545,11,30,.367,37,58,.638,.608,21,28,.750,11,34,45,33,8,3,9,25,38,85,.447,7,25,.280,31,60,.517,.488,16,24,.667,10,30,40,21,4,1,20,22
41,41,2020-01-15,,ORL,L,118,119,,48,97,.495,15,38,.395,33,59,.559,.572,7,11,.636,13,35,48,34,7,6,16,20,43,94,.457,10,26,.385,33,68,.485,.511,23,29,.793,13,35,48,22,10,2,13,15
42,42,2020-01-18,@,HOU,W,124,115,,45,93,.484,11,33,.333,34,60,.567,.543,23,32,.719,15,34,49,25,13,9,17,27,40,90,.444,12,37,.324,28,53,.528,.511,23,29,.793,11,35,46,20,8,4,20,26
43,43,2020-01-20,@,BOS,L,107,139,,39,89,.438,7,26,.269,32,63,.508,.478,22,29,.759,12,24,36,22,5,8,15,23,52,93,.559,16,34,.471,36,59,.610,.645,19,29,.655,14,34,48,31,10,5,12,26
44,44,2020-01-22,@,NYK,W,100,92,,36,82,.439,9,27,.333,27,55,.491,.494,19,28,.679,11,32,43,18,13,8,10,14,36,88,.409,11,34,.324,25,54,.463,.472,9,13,.692,13,34,47,24,4,4,17,23
45,45,2020-01-23,@,BRK,W,128,113,,47,94,.500,19,38,.500,28,56,.500,.601,15,20,.750,11,41,52,28,9,6,16,15,40,91,.440,21,46,.457,19,45,.422,.555,12,15,.800,8,33,41,30,12,3,16,17
46,46,2020-01-25,@,PHI,L,91,108,,35,76,.461,6,31,.194,29,45,.644,.500,15,23,.652,6,29,35,23,12,1,22,18,41,78,.526,13,37,.351,28,41,.683,.609,13,19,.684,8,33,41,19,12,3,23,18
47,47,2020-01-31,,POR,L,119,127,,45,96,.469,11,32,.344,34,64,.531,.526,18,28,.643,19,43,62,28,2,10,19,21,49,97,.505,13,36,.361,36,61,.590,.572,16,21,.762,6,34,40,25,10,8,7,22
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
48,48,2020-02-01,@,SAC,W,129,113,,44,86,.512,19,43,.442,25,43,.581,.622,22,27,.815,11,35,46,33,10,5,15,22,39,91,.429,14,44,.318,25,47,.532,.505,21,26,.808,13,31,44,21,5,4,16,24
49,49,2020-02-04,,SAS,W,129,102,,50,85,.588,12,28,.429,38,57,.667,.659,17,25,.680,12,46,58,28,5,4,14,15,40,91,.440,13,27,.481,27,64,.422,.511,9,15,.600,7,21,28,21,6,2,6,16
50,50,2020-02-06,,HOU,L,111,121,,45,91,.495,9,31,.290,36,60,.600,.544,12,16,.750,6,32,38,33,10,4,16,18,43,85,.506,19,42,.452,24,43,.558,.618,16,18,.889,6,31,37,20,8,4,16,22
51,51,2020-02-08,@,GSW,W,125,120,,43,82,.524,14,29,.483,29,53,.547,.610,25,34,.735,12,35,47,29,11,2,24,22,46,89,.517,13,32,.406,33,57,.579,.590,15,23,.652,8,25,33,31,15,6,18,27
52,52,2020-02-10,,PHO,W,125,100,,47,91,.516,14,37,.378,33,54,.611,.593,17,25,.680,16,43,59,28,8,4,16,22,32,76,.421,11,31,.355,21,45,.467,.493,25,31,.806,3,26,29,26,7,2,13,19
53,53,2020-02-12,@,DEN,W,120,116,OT,47,93,.505,12,33,.364,35,60,.583,.570,14,27,.519,10,39,49,29,8,4,12,22,44,88,.500,11,25,.440,33,63,.524,.563,17,22,.773,3,39,42,32,9,2,12,26
54,54,2020-02-21,,MEM,W,117,105,,41,86,.477,9,29,.310,32,57,.561,.529,26,40,.650,12,37,49,25,9,14,15,24,42,92,.457,5,15,.333,37,77,.481,.484,16,31,.516,16,34,50,22,9,1,17,27
55,55,2020-02-23,,BOS,W,114,112,,39,86,.453,11,34,.324,28,52,.538,.517,25,37,.676,11,35,46,20,9,4,13,22,38,83,.458,13,34,.382,25,49,.510,.536,23,30,.767,8,36,44,20,7,3,17,29
56,56,2020-02-25,,NOP,W,118,109,,45,102,.441,13,44,.295,32,58,.552,.505,15,21,.714,14,37,51,27,10,12,16,20,39,86,.453,8,27,.296,31,59,.525,.500,23,30,.767,6,39,45,31,10,2,20,24
57,57,2020-02-27,@,GSW,W,116,86,,45,88,.511,8,24,.333,37,64,.578,.557,18,27,.667,8,36,44,24,13,5,17,17,34,80,.425,9,32,.281,25,48,.521,.481,9,10,.900,5,32,37,27,7,3,27,27
58,58,2020-02-29,@,MEM,L,88,105,,36,87,.414,9,35,.257,27,52,.519,.466,7,12,.583,13,32,45,26,5,3,16,13,43,95,.453,10,31,.323,33,64,.516,.505,9,11,.818,15,36,51,27,10,4,10,14
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
59,59,2020-03-01,@,NOP,W,122,114,,50,97,.515,13,35,.371,37,62,.597,.582,9,10,.900,6,30,36,23,9,10,13,26,40,95,.421,7,32,.219,33,63,.524,.458,27,33,.818,15,37,52,24,7,3,16,11
60,60,2020-03-03,,PHI,W,120,107,,46,86,.535,13,33,.394,33,53,.623,.610,15,18,.833,10,33,43,25,9,6,13,18,38,85,.447,16,40,.400,22,45,.489,.541,15,20,.750,12,30,42,24,10,1,15,17
61,61,2020-03-06,,MIL,W,113,103,,38,91,.418,6,32,.188,32,59,.542,.451,31,38,.816,10,42,52,19,11,4,16,27,37,89,.416,12,43,.279,25,46,.543,.483,17,23,.739,5,40,45,22,8,1,20,32
62,62,2020-03-08,@,LAC,W,112,103,,39,87,.448,10,35,.286,29,52,.558,.506,24,28,.857,9,36,45,22,8,7,14,28,34,86,.395,7,31,.226,27,55,.491,.436,28,37,.757,15,34,49,12,5,5,16,26
63,63,2020-03-10,,BRK,L,102,104,,40,87,.460,15,40,.375,25,47,.532,.546,7,12,.583,8,38,46,24,7,4,15,22,37,90,.411,13,40,.325,24,50,.480,.483,17,23,.739,14,33,47,24,7,3,11,18
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
64,64,2020-07-30,,LAC,W,103,101,,32,82,.390,11,36,.306,21,46,.457,.457,28,37,.757,11,34,45,21,6,3,16,27,32,74,.432,16,36,.444,16,38,.421,.541,21,28,.750,4,32,36,17,6,5,22,30
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
65,65,2020-08-01,@,TOR,L,92,107,,29,82,.354,10,40,.250,19,42,.452,.415,24,33,.727,8,32,40,17,8,12,18,25,35,84,.417,14,34,.412,21,50,.420,.500,23,26,.885,7,44,51,24,7,5,18,28
66,66,2020-08-03,@,UTA,W,116,108,,41,82,.500,9,26,.346,32,56,.571,.555,25,31,.806,4,34,38,23,12,3,14,24,37,83,.446,12,43,.279,25,40,.625,.518,22,25,.880,7,35,42,25,8,3,21,29
67,67,2020-08-05,,OKC,L,86,105,,31,88,.352,5,37,.135,26,51,.510,.381,19,29,.655,10,36,46,17,7,3,11,24,34,79,.430,5,24,.208,29,55,.527,.462,32,36,.889,4,48,52,17,9,2,14,23
68,68,2020-08-06,@,HOU,L,97,113,,35,77,.455,2,19,.105,33,58,.569,.468,25,36,.694,12,36,48,18,11,6,25,20,36,84,.429,21,57,.368,15,27,.556,.554,20,23,.870,4,30,34,26,11,5,20,28
69,69,2020-08-08,@,IND,L,111,116,,42,100,.420,13,39,.333,29,61,.475,.485,14,19,.737,15,29,44,20,13,6,15,16,44,84,.524,15,33,.455,29,51,.569,.613,13,14,.929,7,35,42,25,12,4,20,21
70,70,2020-08-10,,DEN,W,124,121,,44,81,.543,14,29,.483,30,52,.577,.630,22,32,.688,14,18,32,28,8,4,10,18,45,77,.584,13,23,.565,32,54,.593,.669,18,23,.783,10,25,35,27,6,2,14,20
71,71,2020-08-13,,SAC,L,122,136,,48,98,.490,15,35,.429,33,63,.524,.566,11,15,.733,15,32,47,29,6,1,17,18,54,95,.568,21,47,.447,33,48,.688,.679,7,12,.583,9,35,44,37,12,2,15,15
,,,,,52-19,8054,7643,,3006,6269,.480,782,2242,.349,2224,4027,.552,.542,1260,1728,.729,757,2490,3247,1803,612,468,1077,1471,2773,6187,.448,827,2373,.349,1946,3814,.510,.515,1270,1626,.781,668,2333,3001,1662,585,263,1130,1544
