,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-22,@,LAC,L,102,112,,37,85,.435,13,33,.394,24,52,.462,.512,15,21,.714,9,32,41,20,4,7,15,24,42,81,.519,11,31,.355,31,50,.620,.586,17,24,.708,11,34,45,24,8,5,14,25
2,2,2019-10-25,,UTA,W,95,86,,34,86,.395,8,26,.308,26,60,.433,.442,19,24,.792,11,31,42,19,14,9,14,21,29,70,.414,8,25,.320,21,45,.467,.471,20,21,.952,3,37,40,19,8,2,23,25
3,3,2019-10-27,,CHO,W,120,101,,49,93,.527,11,31,.355,38,62,.613,.586,11,14,.786,10,37,47,30,7,8,14,22,35,91,.385,10,35,.286,25,56,.446,.440,21,23,.913,13,32,45,19,7,4,16,20
4,4,2019-10-29,,MEM,W,120,91,,40,86,.465,7,26,.269,33,60,.550,.506,33,39,.846,10,44,54,25,9,8,18,19,31,95,.326,7,34,.206,24,61,.393,.363,22,23,.957,13,33,46,20,10,3,21,27
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
5,5,2019-11-01,@,DAL,W,119,110,OT,47,96,.490,9,32,.281,38,64,.594,.536,16,21,.762,6,35,41,24,11,7,11,21,40,102,.392,14,36,.389,26,66,.394,.461,16,23,.696,18,43,61,23,5,1,23,21
6,6,2019-11-03,@,SAS,W,103,96,,42,87,.483,6,24,.250,36,63,.571,.517,13,19,.684,7,39,46,21,8,10,18,22,33,83,.398,6,25,.240,27,58,.466,.434,24,29,.828,8,39,47,23,11,4,18,18
7,7,2019-11-05,@,CHI,W,118,112,,45,92,.489,11,33,.333,34,59,.576,.549,17,24,.708,12,37,49,26,10,10,16,18,43,85,.506,14,32,.438,29,53,.547,.588,12,23,.522,7,35,42,22,11,4,16,21
8,8,2019-11-08,,MIA,W,95,80,,40,89,.449,8,32,.250,32,57,.561,.494,7,8,.875,10,38,48,30,6,5,18,24,28,80,.350,6,35,.171,22,45,.489,.388,18,24,.750,8,29,37,18,9,2,13,12
9,9,2019-11-10,,TOR,L,104,113,,41,94,.436,10,30,.333,31,64,.484,.489,12,19,.632,13,38,51,31,6,7,12,20,43,89,.483,12,36,.333,31,53,.585,.551,15,22,.682,7,36,43,26,6,8,15,17
10,10,2019-11-12,@,PHO,W,123,115,,51,95,.537,10,25,.400,41,70,.586,.589,11,21,.524,8,36,44,39,4,4,10,21,43,91,.473,16,38,.421,27,53,.509,.560,13,17,.765,6,33,39,32,3,4,11,22
11,11,2019-11-13,,GSW,W,120,94,,48,89,.539,9,20,.450,39,69,.565,.590,15,18,.833,13,38,51,31,8,6,19,18,36,89,.404,9,35,.257,27,54,.500,.455,13,17,.765,10,23,33,29,8,7,17,14
12,12,2019-11-15,,SAC,W,99,97,,34,81,.420,11,37,.297,23,44,.523,.488,20,22,.909,10,31,41,22,11,6,13,18,36,82,.439,16,39,.410,20,43,.465,.537,9,9,1.000,10,33,43,24,7,0,18,22
13,13,2019-11-17,,ATL,W,122,101,,47,89,.528,15,35,.429,32,54,.593,.612,13,16,.813,10,32,42,26,10,14,17,19,37,86,.430,8,28,.286,29,58,.500,.477,19,25,.760,9,28,37,16,11,2,20,19
14,14,2019-11-19,,OKC,W,112,107,,43,89,.483,14,31,.452,29,58,.500,.562,12,19,.632,14,32,46,29,9,8,16,20,38,80,.475,9,28,.321,29,52,.558,.531,22,25,.880,8,31,39,22,10,2,16,22
15,15,2019-11-22,@,OKC,W,130,127,,45,88,.511,17,31,.548,28,57,.491,.608,23,29,.793,11,34,45,32,7,6,16,20,49,93,.527,11,31,.355,38,62,.613,.586,18,20,.900,6,31,37,28,8,3,12,23
16,16,2019-11-23,@,MEM,W,109,108,,38,84,.452,13,39,.333,25,45,.556,.530,20,29,.690,11,29,40,19,12,7,16,14,43,89,.483,14,30,.467,29,59,.492,.562,8,13,.615,12,35,47,28,12,3,22,19
17,17,2019-11-25,@,SAS,W,114,104,,44,89,.494,14,33,.424,30,56,.536,.573,12,18,.667,10,30,40,28,7,6,9,18,41,88,.466,10,25,.400,31,63,.492,.523,12,15,.800,9,32,41,23,4,5,13,22
18,18,2019-11-27,@,NOP,W,114,110,,44,85,.518,8,24,.333,36,61,.590,.565,18,25,.720,7,30,37,25,9,6,16,24,34,84,.405,17,40,.425,17,44,.386,.506,25,30,.833,13,29,42,20,7,4,20,23
19,19,2019-11-29,,WAS,W,125,103,,45,87,.517,14,32,.438,31,55,.564,.598,21,28,.750,7,40,47,29,9,8,19,20,38,96,.396,10,37,.270,28,59,.475,.448,17,19,.895,13,32,45,25,10,2,19,23
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
20,20,2019-12-01,,DAL,L,100,114,,40,87,.460,7,27,.259,33,60,.550,.500,13,16,.813,9,36,45,25,9,3,17,14,42,97,.433,17,49,.347,25,48,.521,.521,13,18,.722,16,35,51,24,11,1,13,20
21,21,2019-12-03,@,DEN,W,105,96,,39,84,.464,7,24,.292,32,60,.533,.506,20,30,.667,14,42,56,24,8,5,16,23,37,91,.407,6,29,.207,31,62,.500,.440,16,17,.941,7,28,35,26,9,4,11,25
22,22,2019-12-04,@,UTA,W,121,96,,46,90,.511,14,29,.483,32,61,.525,.589,15,25,.600,8,38,46,27,13,12,8,17,34,83,.410,14,31,.452,20,52,.385,.494,14,19,.737,8,32,40,20,3,3,20,24
23,23,2019-12-06,@,POR,W,136,113,,46,85,.541,17,36,.472,29,49,.592,.641,27,33,.818,3,42,45,26,10,8,19,23,39,86,.453,10,34,.294,29,52,.558,.512,25,29,.862,4,30,34,20,9,4,15,25
24,24,2019-12-08,,MIN,W,142,125,,55,94,.585,14,31,.452,41,63,.651,.660,18,20,.900,10,31,41,32,9,1,11,19,44,84,.524,15,37,.405,29,47,.617,.613,22,26,.846,6,25,31,27,5,6,16,18
25,25,2019-12-11,@,ORL,W,96,87,,37,87,.425,12,31,.387,25,56,.446,.494,10,19,.526,12,37,49,20,10,4,14,17,34,81,.420,8,26,.308,26,55,.473,.469,11,17,.647,8,33,41,20,10,5,15,17
26,26,2019-12-13,@,MIA,W,113,110,,43,87,.494,12,37,.324,31,50,.620,.563,15,23,.652,14,36,50,26,5,9,19,23,39,85,.459,10,33,.303,29,52,.558,.518,22,28,.786,5,29,34,24,8,2,8,21
27,27,2019-12-15,@,ATL,W,101,96,,36,84,.429,5,31,.161,31,53,.585,.458,24,33,.727,13,43,56,21,14,9,22,24,31,86,.360,12,42,.286,19,44,.432,.430,22,25,.880,8,34,42,18,8,5,20,27
28,28,2019-12-17,@,IND,L,102,105,,43,91,.473,8,31,.258,35,60,.583,.516,8,17,.471,14,28,42,28,5,6,13,19,41,85,.482,10,25,.400,31,60,.517,.541,13,20,.650,13,30,43,22,9,6,13,21
29,29,2019-12-19,@,MIL,L,104,111,,37,80,.463,12,35,.343,25,45,.556,.538,18,23,.783,7,31,38,24,4,6,19,24,36,77,.468,16,39,.410,20,38,.526,.571,23,32,.719,8,32,40,22,14,7,14,25
30,30,2019-12-22,,DEN,L,104,128,,39,83,.470,10,29,.345,29,54,.537,.530,16,22,.727,18,27,45,18,7,9,19,25,45,92,.489,11,32,.344,34,60,.567,.549,27,30,.900,17,27,44,31,13,2,10,19
31,31,2019-12-25,,LAC,L,106,111,,39,96,.406,12,45,.267,27,51,.529,.469,16,21,.762,12,30,42,24,11,10,13,23,39,85,.459,9,25,.360,30,60,.500,.512,24,32,.750,13,37,50,24,6,6,16,17
32,32,2019-12-28,@,POR,W,128,120,,47,91,.516,11,32,.344,36,59,.610,.577,23,28,.821,11,33,44,32,6,7,11,25,41,86,.477,15,35,.429,26,51,.510,.564,23,27,.852,9,30,39,18,4,8,16,22
