,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-18,@,GSW,L,109,123,,40,94,.426,10,40,.250,30,54,.556,.479,19,25,.760,9,39,48,23,12,4,22,18,45,99,.455,16,45,.356,29,54,.537,.535,17,23,.739,11,37,48,31,11,4,18,23
2,2,2022-10-20,,LAC,L,97,103,,33,94,.351,9,45,.200,24,49,.490,.399,22,26,.846,8,30,38,23,13,5,10,24,37,80,.463,9,29,.310,28,51,.549,.519,20,31,.645,10,48,58,18,7,7,23,24
3,3,2022-10-23,,POR,L,104,106,,41,92,.446,6,33,.182,35,59,.593,.478,16,20,.800,10,30,40,26,9,9,13,24,37,84,.440,10,27,.370,27,57,.474,.500,22,27,.815,13,39,52,19,6,5,19,20
4,4,2022-10-26,@,DEN,L,99,110,,40,90,.444,8,30,.267,32,60,.533,.489,11,16,.688,7,40,47,25,8,4,14,16,42,92,.457,9,34,.265,33,58,.569,.505,17,21,.810,9,45,54,34,12,5,11,17
5,5,2022-10-28,@,MIN,L,102,111,,37,89,.416,9,29,.310,28,60,.467,.466,19,27,.704,12,43,55,20,8,5,22,21,41,99,.414,13,40,.325,28,59,.475,.480,16,24,.667,14,35,49,27,13,8,10,21
6,6,2022-10-30,,DEN,W,121,110,,46,96,.479,13,30,.433,33,66,.500,.547,16,20,.800,13,38,51,24,5,5,9,17,41,96,.427,15,40,.375,26,56,.464,.505,13,18,.722,13,35,48,24,3,8,9,15
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
7,7,2022-11-02,,NOP,W,120,117,OT,45,98,.459,10,36,.278,35,62,.565,.510,20,23,.870,11,45,56,30,6,8,18,17,47,102,.461,8,25,.320,39,77,.506,.500,15,21,.714,11,40,51,35,10,5,14,20
8,8,2022-11-04,,UTA,L,116,130,,40,83,.482,11,26,.423,29,57,.509,.548,25,28,.893,9,31,40,22,6,6,11,17,52,103,.505,17,40,.425,35,63,.556,.587,9,10,.900,15,33,48,31,8,3,8,22
9,9,2022-11-06,,CLE,L,100,114,,40,87,.460,8,27,.296,32,60,.533,.506,12,21,.571,10,33,43,24,4,4,17,26,37,84,.440,8,32,.250,29,52,.558,.488,32,36,.889,9,39,48,19,7,6,14,20
10,10,2022-11-07,@,UTA,L,116,139,,40,82,.488,9,24,.375,31,58,.534,.543,27,30,.900,7,26,33,15,7,5,16,21,53,95,.558,16,38,.421,37,57,.649,.642,17,22,.773,10,31,41,30,10,7,15,23
11,11,2022-11-09,@,LAC,L,101,114,,40,88,.455,10,32,.313,30,56,.536,.511,11,17,.647,8,35,43,26,7,2,16,20,41,81,.506,12,33,.364,29,48,.604,.580,20,26,.769,6,35,41,24,10,7,15,24
12,12,2022-11-11,,SAC,L,114,120,,42,88,.477,10,25,.400,32,63,.508,.534,20,26,.769,14,27,41,22,11,5,14,22,45,87,.517,12,36,.333,33,51,.647,.586,18,21,.857,10,30,40,27,10,4,15,17
13,13,2022-11-13,,BRK,W,116,103,,44,91,.484,11,27,.407,33,64,.516,.544,17,20,.850,12,33,45,25,3,2,9,22,36,80,.450,7,27,.259,29,53,.547,.494,24,31,.774,8,33,41,22,5,5,13,17
