,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-10-25,,NYK,W,117,88,,45,94,.479,13,35,.371,32,59,.542,.548,14,19,.737,11,40,51,31,12,5,15,22,32,87,.368,9,27,.333,23,60,.383,.420,15,20,.750,13,29,42,17,6,6,18,22
2,2,2016-10-28,@,TOR,W,94,91,,33,79,.418,12,32,.375,21,47,.447,.494,16,22,.727,9,31,40,20,8,3,18,15,35,90,.389,4,16,.250,31,74,.419,.411,17,18,.944,18,33,51,12,9,3,18,20
3,3,2016-10-29,,ORL,W,105,99,,36,88,.409,11,37,.297,25,51,.490,.472,22,30,.733,13,27,40,17,8,6,9,27,38,84,.452,8,28,.286,30,56,.536,.500,15,26,.577,13,37,50,21,6,5,21,23
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
4,4,2016-11-01,,HOU,W,128,120,,43,83,.518,16,32,.500,27,51,.529,.614,26,31,.839,12,34,46,22,4,2,11,21,43,90,.478,17,44,.386,26,46,.565,.572,17,25,.680,11,21,32,30,5,2,7,25
5,5,2016-11-03,,BOS,W,128,122,,41,84,.488,14,34,.412,27,50,.540,.571,32,37,.865,7,35,42,24,6,6,8,19,46,96,.479,11,32,.344,35,64,.547,.536,19,22,.864,10,29,39,25,4,6,8,28
6,6,2016-11-05,@,PHI,W,102,101,,37,91,.407,14,38,.368,23,53,.434,.484,14,18,.778,11,38,49,23,10,5,16,15,40,87,.460,14,38,.368,26,49,.531,.540,7,12,.583,5,40,45,21,9,9,17,23
7,7,2016-11-08,,ATL,L,106,110,,37,99,.374,11,42,.262,26,57,.456,.429,21,25,.840,13,26,39,21,12,1,6,20,41,81,.506,11,29,.379,30,52,.577,.574,17,24,.708,11,39,50,22,1,4,19,21
8,8,2016-11-11,@,WAS,W,105,94,,36,86,.419,14,33,.424,22,53,.415,.500,19,26,.731,13,34,47,16,9,6,15,21,38,87,.437,3,15,.200,35,72,.486,.454,15,19,.789,10,36,46,16,7,5,15,21
9,9,2016-11-13,,CHO,W,100,93,,39,92,.424,14,38,.368,25,54,.463,.500,8,15,.533,12,41,53,25,3,8,9,13,36,95,.379,11,29,.379,25,66,.379,.437,10,12,.833,10,35,45,23,7,3,5,19
10,10,2016-11-15,,TOR,W,121,117,,44,83,.530,13,33,.394,31,50,.620,.608,20,28,.714,10,36,46,26,4,7,17,18,46,96,.479,13,29,.448,33,67,.493,.547,12,18,.667,12,28,40,24,11,5,8,25
11,11,2016-11-16,@,IND,L,93,103,,35,86,.407,11,30,.367,24,56,.429,.471,12,20,.600,11,40,51,19,3,5,18,16,43,86,.500,10,28,.357,33,58,.569,.558,7,11,.636,5,35,40,22,8,12,10,16
12,12,2016-11-18,,DET,W,104,81,,40,83,.482,11,25,.440,29,58,.500,.548,13,14,.929,5,47,52,26,4,8,13,14,29,93,.312,6,19,.316,23,74,.311,.344,17,20,.850,11,33,44,23,5,4,7,15
13,13,2016-11-23,,POR,W,137,125,,48,90,.533,21,36,.583,27,54,.500,.650,20,27,.741,9,32,41,30,6,3,11,15,47,90,.522,13,29,.448,34,61,.557,.594,18,19,.947,9,29,38,27,6,6,9,23
14,14,2016-11-25,,DAL,W,128,90,,43,85,.506,20,43,.465,23,42,.548,.624,22,24,.917,9,38,47,30,9,3,14,16,37,91,.407,8,35,.229,29,56,.518,.451,8,12,.667,11,28,39,29,5,4,14,21
15,15,2016-11-27,@,PHI,W,112,108,,38,92,.413,12,40,.300,26,52,.500,.478,24,28,.857,14,32,46,19,5,3,10,14,43,92,.467,15,34,.441,28,58,.483,.549,7,10,.700,13,37,50,29,5,5,16,24
16,16,2016-11-29,@,MIL,L,101,118,,32,75,.427,14,39,.359,18,36,.500,.520,23,31,.742,7,28,35,17,7,6,20,19,46,86,.535,7,19,.368,39,67,.582,.576,19,23,.826,10,33,43,27,15,6,17,22
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
17,17,2016-12-01,,LAC,L,94,113,,28,69,.406,9,24,.375,19,45,.422,.471,29,39,.744,6,30,36,12,5,3,18,24,42,89,.472,13,31,.419,29,58,.500,.545,16,24,.667,14,33,47,33,7,3,12,32
18,18,2016-12-02,@,CHI,L,105,111,,45,83,.542,10,26,.385,35,57,.614,.602,5,10,.500,6,27,33,30,5,1,20,15,47,96,.490,3,18,.167,44,78,.564,.505,14,17,.824,16,33,49,31,11,4,12,16
19,19,2016-12-05,@,TOR,W,116,112,,40,84,.476,14,32,.438,26,52,.500,.560,22,27,.815,13,35,48,21,4,3,16,21,38,88,.432,13,32,.406,25,56,.446,.506,23,27,.852,10,23,33,22,8,5,7,22
20,20,2016-12-07,@,NYK,W,126,94,,39,80,.488,22,40,.550,17,40,.425,.625,26,31,.839,10,36,46,23,11,4,12,18,35,87,.402,11,31,.355,24,56,.429,.466,13,15,.867,13,30,43,22,6,3,16,22
21,21,2016-12-09,,MIA,W,114,84,,46,83,.554,9,24,.375,37,59,.627,.608,13,19,.684,11,36,47,23,7,9,11,16,31,90,.344,6,27,.222,25,63,.397,.378,16,21,.762,23,23,46,18,6,3,15,18
22,22,2016-12-10,,CHO,W,116,105,,42,73,.575,13,31,.419,29,42,.690,.664,19,28,.679,7,33,40,25,8,2,18,24,39,86,.453,10,27,.370,29,59,.492,.512,17,24,.708,12,27,39,24,5,0,14,24
23,23,2016-12-13,,MEM,W,103,86,,37,81,.457,12,31,.387,25,50,.500,.531,17,23,.739,10,36,46,21,8,4,18,16,35,86,.407,4,22,.182,31,64,.484,.430,12,15,.800,11,32,43,19,10,6,16,23
24,24,2016-12-14,@,MEM,L,85,93,,28,75,.373,9,25,.360,19,50,.380,.433,20,31,.645,7,32,39,10,10,2,11,16,35,81,.432,12,23,.522,23,58,.397,.506,11,16,.688,14,41,55,22,9,3,17,27
25,25,2016-12-17,,LAL,W,119,108,,46,89,.517,15,33,.455,31,56,.554,.601,12,18,.667,11,33,44,30,8,3,8,12,41,86,.477,16,37,.432,25,49,.510,.570,10,13,.769,10,31,41,30,3,2,12,16
26,26,2016-12-20,@,MIL,W,114,108,OT,37,91,.407,17,40,.425,20,51,.392,.500,23,27,.852,9,34,43,19,5,2,10,21,40,87,.460,7,27,.259,33,60,.550,.500,21,29,.724,11,40,51,22,6,6,15,21
27,27,2016-12-21,,MIL,W,113,102,,43,87,.494,15,27,.556,28,60,.467,.580,12,19,.632,9,33,42,30,3,7,12,20,36,77,.468,9,22,.409,27,55,.491,.526,21,29,.724,6,33,39,24,7,8,9,21
28,28,2016-12-23,,BRK,W,119,99,,45,99,.455,8,35,.229,37,64,.578,.495,21,24,.875,11,40,51,28,12,4,11,20,38,85,.447,8,30,.267,30,55,.545,.494,15,18,.833,7,37,44,22,6,7,19,22
29,29,2016-12-25,,GSW,W,109,108,,37,95,.389,12,35,.343,25,60,.417,.453,23,32,.719,18,26,44,20,14,2,12,19,37,77,.481,9,30,.300,28,47,.596,.539,25,29,.862,5,37,42,25,8,4,20,24
30,30,2016-12-26,@,DET,L,90,106,,30,79,.380,11,28,.393,19,51,.373,.449,19,23,.826,10,37,47,19,8,3,22,23,41,92,.446,16,28,.571,25,64,.391,.533,8,15,.533,10,35,45,25,12,4,12,19
31,31,2016-12-29,,BOS,W,124,118,,43,83,.518,14,38,.368,29,45,.644,.602,24,33,.727,13,33,46,29,7,3,18,16,43,85,.506,12,37,.324,31,48,.646,.576,20,21,.952,6,23,29,26,15,4,11,23
32,32,2016-12-31,@,CHO,W,121,109,,43,85,.506,14,31,.452,29,54,.537,.588,21,25,.840,8,27,35,17,6,1,6,17,40,78,.513,9,24,.375,31,54,.574,.571,20,23,.870,10,29,39,24,3,7,13,19
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
33,33,2017-01-02,,NOP,W,90,82,,34,90,.378,6,31,.194,28,59,.475,.411,16,22,.727,11,45,56,16,9,4,13,13,32,88,.364,11,26,.423,21,62,.339,.426,7,10,.700,8,37,45,26,6,6,13,18
34,34,2017-01-04,,CHI,L,94,106,,34,83,.410,8,25,.320,26,58,.448,.458,18,24,.750,16,28,44,13,6,2,15,16,41,85,.482,13,30,.433,28,55,.509,.559,11,15,.733,12,31,43,23,8,3,13,18
35,35,2017-01-06,@,BRK,W,116,108,,38,88,.432,9,33,.273,29,55,.527,.483,31,43,.721,5,41,46,19,14,3,12,16,41,91,.451,9,30,.300,32,61,.525,.500,17,19,.895,10,42,52,21,6,1,19,34
36,36,2017-01-08,@,PHO,W,120,116,,44,82,.537,15,34,.441,29,48,.604,.628,17,19,.895,13,25,38,15,8,5,20,12,46,87,.529,9,27,.333,37,60,.617,.580,15,19,.789,13,23,36,23,12,7,14,19
37,37,2017-01-10,@,UTA,L,92,100,,31,85,.365,9,31,.290,22,54,.407,.418,21,25,.840,13,29,42,15,6,2,18,19,38,79,.481,13,34,.382,25,45,.556,.563,11,19,.579,11,35,46,22,8,4,20,21
38,38,2017-01-11,@,POR,L,86,102,,28,82,.341,9,30,.300,19,52,.365,.396,21,28,.750,13,35,48,14,5,4,16,20,40,93,.430,10,30,.333,30,63,.476,.484,12,16,.750,13,38,51,29,6,9,12,17
39,39,2017-01-13,@,SAC,W,120,108,,44,87,.506,15,37,.405,29,50,.580,.592,17,22,.773,10,29,39,27,11,3,12,20,42,80,.525,9,25,.360,33,55,.600,.581,15,19,.789,11,31,42,23,7,5,21,22
40,40,2017-01-16,@,GSW,L,91,126,,31,88,.352,9,34,.265,22,54,.407,.403,20,27,.741,7,28,35,11,7,4,15,21,46,91,.505,15,34,.441,31,57,.544,.588,19,24,.792,11,47,58,37,10,11,17,22
41,41,2017-01-19,,PHO,W,118,103,,43,85,.506,19,42,.452,24,43,.558,.618,13,19,.684,4,32,36,29,7,6,12,24,37,85,.435,4,19,.211,33,66,.500,.459,25,31,.806,15,31,46,23,10,4,16,22
42,42,2017-01-21,,SAS,L,115,118,OT,45,91,.495,13,34,.382,32,57,.561,.566,12,22,.545,11,36,47,25,7,1,18,16,48,96,.500,10,26,.385,38,70,.543,.552,12,14,.857,10,36,46,32,6,6,14,22
43,43,2017-01-23,@,NOP,L,122,124,,43,93,.462,15,37,.405,28,56,.500,.543,21,25,.840,11,34,45,24,6,3,12,20,43,87,.494,16,39,.410,27,48,.563,.586,22,30,.733,7,35,42,26,8,11,8,22
44,44,2017-01-25,,SAC,L,112,116,OT,40,82,.488,15,38,.395,25,44,.568,.579,17,34,.500,13,34,47,29,9,6,18,21,43,95,.453,11,31,.355,32,64,.500,.511,19,22,.864,11,36,47,29,13,3,12,28
45,45,2017-01-27,,BRK,W,124,116,,49,92,.533,13,36,.361,36,56,.643,.603,13,20,.650,9,38,47,26,4,5,14,14,43,87,.494,16,33,.485,27,54,.500,.586,14,16,.875,4,33,37,23,9,2,11,15
46,46,2017-01-29,,OKC,W,107,91,,41,92,.446,8,29,.276,33,63,.524,.489,17,22,.773,8,43,51,22,9,6,10,16,37,100,.370,6,26,.231,31,74,.419,.400,11,16,.688,13,42,55,20,5,4,16,19
47,47,2017-01-30,@,DAL,L,97,104,,35,75,.467,12,32,.375,23,43,.535,.547,15,21,.714,6,36,42,17,6,3,17,17,39,86,.453,9,32,.281,30,54,.556,.506,17,18,.944,9,31,40,19,11,2,9,17
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
48,48,2017-02-01,,MIN,W,125,97,,48,89,.539,15,37,.405,33,52,.635,.624,14,22,.636,12,36,48,37,10,10,10,13,41,94,.436,7,21,.333,34,73,.466,.473,8,10,.800,12,26,38,26,7,3,13,19
49,49,2017-02-04,@,NYK,W,111,104,,41,84,.488,16,40,.400,25,44,.568,.583,13,18,.722,12,37,49,20,3,0,17,19,39,86,.453,12,31,.387,27,55,.491,.523,14,28,.500,13,29,42,23,9,7,11,20
50,50,2017-02-06,@,WAS,W,140,135,OT,49,92,.533,19,38,.500,30,54,.556,.636,23,28,.821,12,34,46,31,7,2,20,26,50,99,.505,12,29,.414,38,70,.543,.566,23,26,.885,11,32,43,29,9,5,12,25
51,51,2017-02-08,@,IND,W,132,117,,46,84,.548,16,36,.444,30,48,.625,.643,24,26,.923,5,34,39,24,7,5,10,16,41,82,.500,13,25,.520,28,57,.491,.579,22,26,.846,7,31,38,24,7,2,12,18
