,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2014-10-30,,NYK,L,90,95,,32,70,.457,9,24,.375,23,46,.500,.521,17,20,.850,11,22,33,22,5,2,19,15,37,69,.536,6,12,.500,31,57,.544,.580,15,18,.833,9,26,35,30,9,1,18,26
2,2,2014-10-31,@,CHI,W,114,108,OT,41,104,.394,3,15,.200,38,89,.427,.409,29,33,.879,20,32,52,18,8,4,12,18,41,90,.456,13,31,.419,28,59,.475,.528,13,17,.765,11,31,42,25,4,14,20,28
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
3,3,2014-11-04,@,POR,L,82,101,,31,85,.365,9,21,.429,22,64,.344,.418,11,14,.786,13,28,41,18,5,3,14,19,37,75,.493,8,25,.320,29,50,.580,.547,19,25,.760,9,39,48,21,7,4,12,20
4,4,2014-11-05,@,UTA,L,100,102,,30,72,.417,6,16,.375,24,56,.429,.458,34,40,.850,7,23,30,6,8,4,12,22,39,77,.506,7,21,.333,32,56,.571,.552,17,22,.773,13,28,41,26,3,8,15,26
5,5,2014-11-07,@,DEN,W,110,101,,40,84,.476,6,23,.261,34,61,.557,.512,24,33,.727,6,36,42,25,5,3,9,14,40,85,.471,11,29,.379,29,56,.518,.535,10,15,.667,8,34,42,22,5,5,13,22
6,6,2014-11-10,,NOP,W,118,111,,40,81,.494,13,27,.481,27,54,.500,.574,25,30,.833,12,33,45,26,3,5,10,13,41,93,.441,12,27,.444,29,66,.439,.505,17,20,.850,14,26,40,31,8,5,7,20
7,7,2014-11-14,@,BOS,W,122,121,,43,85,.506,8,23,.348,35,62,.565,.553,28,37,.757,8,32,40,22,5,5,11,21,48,88,.545,6,20,.300,42,68,.618,.580,19,23,.826,8,31,39,32,7,1,14,26
8,8,2014-11-15,,ATL,W,127,94,,49,90,.544,19,31,.613,30,59,.508,.650,10,13,.769,12,35,47,39,12,2,14,14,40,90,.444,3,22,.136,37,68,.544,.461,11,13,.846,11,26,37,26,6,8,19,12
9,9,2014-11-17,,DEN,L,97,106,,34,79,.430,10,29,.345,24,50,.480,.494,19,23,.826,9,33,42,18,7,8,15,15,41,85,.482,12,31,.387,29,54,.537,.553,12,15,.800,9,30,39,25,10,4,15,18
