,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2020-12-22,,LAC,L,109,116,,38,81,.469,9,29,.310,29,52,.558,.525,24,31,.774,8,37,45,22,4,2,19,20,44,93,.473,14,40,.350,30,53,.566,.548,14,19,.737,11,29,40,22,10,3,16,29
2,2,2020-12-25,,DAL,W,138,115,,51,91,.560,19,39,.487,32,52,.615,.665,17,24,.708,17,36,53,33,9,4,17,23,41,83,.494,13,32,.406,28,51,.549,.572,20,26,.769,3,24,27,20,13,3,9,22
3,3,2020-12-27,,MIN,W,127,91,,50,90,.556,13,35,.371,37,55,.673,.628,14,18,.778,5,41,46,32,6,14,17,19,38,103,.369,6,35,.171,32,68,.471,.398,9,14,.643,17,31,48,24,11,6,18,24
4,4,2020-12-28,,POR,L,107,115,,41,87,.471,10,27,.370,31,60,.517,.529,15,18,.833,6,35,41,20,6,5,15,14,43,92,.467,16,46,.348,27,46,.587,.554,13,15,.867,7,38,45,27,9,6,10,16
5,5,2020-12-30,@,SAS,W,121,107,,46,82,.561,14,26,.538,32,56,.571,.646,15,20,.750,7,40,47,25,4,3,17,24,40,87,.460,10,24,.417,30,63,.476,.517,17,23,.739,7,32,39,25,8,4,11,18
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
6,6,2021-01-01,@,SAS,W,109,103,,41,101,.406,14,33,.424,27,68,.397,.475,13,16,.813,16,42,58,27,8,7,13,20,36,85,.424,13,34,.382,23,51,.451,.500,18,26,.692,8,37,45,23,3,8,13,20
7,7,2021-01-03,@,MEM,W,108,94,,41,89,.461,12,35,.343,29,54,.537,.528,14,19,.737,12,37,49,24,9,5,10,15,39,95,.411,9,33,.273,30,62,.484,.458,7,8,.875,14,36,50,23,6,3,13,18
8,8,2021-01-05,@,MEM,W,94,92,,38,87,.437,9,31,.290,29,56,.518,.489,9,11,.818,9,43,52,24,7,8,17,14,36,87,.414,10,26,.385,26,61,.426,.471,10,13,.769,5,33,38,24,14,4,13,14
9,9,2021-01-07,,SAS,L,109,118,,43,86,.500,10,30,.333,33,56,.589,.558,13,21,.619,9,39,48,21,2,4,13,20,43,92,.467,16,35,.457,27,57,.474,.554,16,17,.941,6,34,40,28,4,3,8,15
10,10,2021-01-08,,CHI,W,117,115,,41,81,.506,12,29,.414,29,52,.558,.580,23,27,.852,10,32,42,21,3,8,15,15,46,91,.505,10,26,.385,36,65,.554,.560,13,14,.929,9,32,41,26,10,3,13,23
11,11,2021-01-10,@,HOU,W,120,102,,46,91,.505,10,29,.345,36,62,.581,.560,18,24,.750,10,39,49,28,13,8,17,23,37,90,.411,12,41,.293,25,49,.510,.478,16,23,.696,13,30,43,22,7,8,21,22
12,12,2021-01-12,@,HOU,W,117,100,,42,84,.500,14,32,.438,28,52,.538,.583,19,27,.704,11,44,55,26,10,12,21,18,38,97,.392,12,40,.300,26,57,.456,.454,12,16,.750,10,32,42,23,14,5,15,19
