,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2023-10-24,@,DEN,L,107,119,,41,90,.456,10,29,.345,31,61,.508,.511,15,20,.750,13,31,44,23,5,4,12,18,48,91,.527,14,34,.412,34,57,.596,.604,9,12,.750,9,33,42,29,9,6,12,15
2,2,2023-10-26,,PHO,W,100,95,,36,84,.429,5,29,.172,31,55,.564,.458,23,29,.793,8,34,42,24,14,7,16,23,34,81,.420,9,31,.290,25,50,.500,.475,18,23,.783,10,39,49,16,7,3,24,21
3,3,2023-10-29,@,SAC,L,127,132,OT,43,98,.439,15,45,.333,28,53,.528,.515,26,34,.765,8,45,53,27,4,4,12,22,49,104,.471,17,48,.354,32,56,.571,.553,17,24,.708,6,41,47,30,6,7,10,28
4,4,2023-10-30,,ORL,W,106,103,,42,79,.532,8,27,.296,34,52,.654,.582,14,18,.778,3,37,40,28,7,10,16,17,38,95,.400,14,35,.400,24,60,.400,.474,13,18,.722,12,32,44,28,10,3,11,22
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
5,5,2023-11-01,,LAC,W,130,125,OT,46,90,.511,11,32,.344,35,58,.603,.572,27,36,.750,9,42,51,28,10,9,14,24,47,99,.475,14,34,.412,33,65,.508,.545,17,27,.630,12,34,46,22,12,1,13,31
6,6,2023-11-04,@,ORL,L,101,120,,37,84,.440,8,30,.267,29,54,.537,.488,19,21,.905,10,30,40,17,6,10,17,21,46,101,.455,12,33,.364,34,68,.500,.515,16,19,.842,19,32,51,29,6,9,16,18
7,7,2023-11-06,@,MIA,L,107,108,,44,81,.543,8,26,.308,36,55,.655,.593,11,14,.786,5,33,38,28,6,5,17,17,41,88,.466,12,37,.324,29,51,.569,.534,14,16,.875,11,33,44,30,11,4,18,14
8,8,2023-11-08,@,HOU,L,94,128,,36,85,.424,7,25,.280,29,60,.483,.465,15,24,.625,5,29,34,20,7,6,9,18,51,93,.548,14,33,.424,37,60,.617,.624,12,19,.632,14,43,57,26,4,4,13,23
9,9,2023-11-10,@,PHO,W,122,119,,42,84,.500,12,27,.444,30,57,.526,.571,26,34,.765,9,34,43,27,9,7,11,20,42,94,.447,15,37,.405,27,57,.474,.527,20,27,.741,17,35,52,22,9,1,13,24
10,10,2023-11-12,,POR,W,116,110,,41,84,.488,4,19,.211,37,65,.569,.512,30,37,.811,7,34,41,27,8,4,9,11,45,90,.500,13,37,.351,32,53,.604,.572,7,9,.778,5,33,38,29,2,8,16,25
