,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
42,42,2016-01-23,,CHI,L,83,96,,35,94,.372,4,24,.167,31,70,.443,.394,9,22,.409,16,32,48,17,5,5,4,18,38,87,.437,7,17,.412,31,70,.443,.477,13,15,.867,13,40,53,21,2,5,8,18
43,43,2016-01-25,,MIN,W,114,107,,45,89,.506,11,31,.355,34,58,.586,.567,13,20,.650,12,31,43,30,7,3,15,18,41,84,.488,4,16,.250,37,68,.544,.512,21,23,.913,8,30,38,28,10,2,11,24
44,44,2016-01-27,,PHO,W,115,93,,45,81,.556,11,28,.393,34,53,.642,.623,14,16,.875,10,27,37,34,12,3,15,17,33,70,.471,8,20,.400,25,50,.500,.529,19,25,.760,12,22,34,25,6,2,23,17
45,45,2016-01-29,@,DET,W,114,106,,39,83,.470,9,23,.391,30,60,.500,.524,27,29,.931,10,37,47,20,4,1,8,25,40,84,.476,7,23,.304,33,61,.541,.518,19,26,.731,9,30,39,20,5,4,9,24
46,46,2016-01-30,,SAS,W,117,103,,45,82,.549,9,23,.391,36,59,.610,.604,18,21,.857,10,33,43,24,4,4,10,21,40,81,.494,6,18,.333,34,63,.540,.531,17,21,.810,8,24,32,20,2,2,6,19
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
47,47,2016-02-01,@,IND,W,111,106,OT,44,88,.500,7,22,.318,37,66,.561,.540,16,23,.696,10,35,45,22,8,3,16,19,43,101,.426,8,27,.296,35,74,.473,.465,12,14,.857,17,27,44,24,11,7,16,23
48,48,2016-02-03,@,CHO,L,97,106,,38,83,.458,10,28,.357,28,55,.509,.518,11,14,.786,3,25,28,16,9,5,8,19,39,79,.494,9,27,.333,30,52,.577,.551,19,23,.826,11,38,49,26,4,3,14,14
49,49,2016-02-05,,BOS,L,103,104,,37,87,.425,8,30,.267,29,57,.509,.471,21,35,.600,15,32,47,21,8,6,15,25,38,88,.432,7,20,.350,31,68,.456,.472,21,25,.840,11,38,49,21,6,5,15,27
50,50,2016-02-06,,NOP,W,99,84,,39,90,.433,14,41,.341,25,49,.510,.511,7,7,1.000,10,39,49,21,6,6,14,17,34,87,.391,5,23,.217,29,64,.453,.420,11,16,.688,13,29,42,18,5,2,8,16
51,51,2016-02-08,,SAC,W,120,100,,45,94,.479,16,35,.457,29,59,.492,.564,14,19,.737,12,41,53,27,7,5,14,25,36,82,.439,9,23,.391,27,59,.458,.494,19,29,.655,8,36,44,28,11,4,17,23
52,52,2016-02-10,,LAL,W,120,111,,48,94,.511,13,31,.419,35,63,.556,.580,11,18,.611,13,33,46,26,6,1,7,20,38,86,.442,13,28,.464,25,58,.431,.517,22,27,.815,11,33,44,16,5,3,11,19
53,53,2016-02-18,,CHI,W,106,95,,42,91,.462,7,24,.292,35,67,.522,.500,15,17,.882,11,41,52,21,8,8,11,22,37,93,.398,8,21,.381,29,72,.403,.441,13,22,.591,15,34,49,12,4,4,13,19
54,54,2016-02-21,@,OKC,W,115,92,,41,80,.513,10,23,.435,31,57,.544,.575,23,27,.852,13,36,49,25,4,1,13,21,37,90,.411,5,21,.238,32,69,.464,.439,13,19,.684,14,25,39,22,9,7,10,23
55,55,2016-02-22,,DET,L,88,96,,34,79,.430,8,26,.308,26,53,.491,.481,12,13,.923,5,35,40,19,8,2,18,21,37,80,.463,8,25,.320,29,55,.527,.513,14,21,.667,6,37,43,17,10,3,15,15
56,56,2016-02-24,,CHO,W,114,103,,45,91,.495,13,32,.406,32,59,.542,.566,11,17,.647,12,35,47,26,11,1,9,20,37,76,.487,10,29,.345,27,47,.574,.553,19,27,.704,8,35,43,23,7,2,14,20
57,57,2016-02-26,@,TOR,L,97,99,,35,74,.473,12,24,.500,23,50,.460,.554,15,21,.714,10,29,39,21,4,0,14,26,37,73,.507,6,17,.353,31,56,.554,.548,19,26,.731,5,29,34,18,6,0,12,23
58,58,2016-02-28,@,WAS,L,99,113,,32,80,.400,9,29,.310,23,51,.451,.456,26,30,.867,6,33,39,20,6,2,14,26,39,79,.494,11,31,.355,28,48,.583,.563,24,34,.706,6,39,45,28,6,2,13,26
59,59,2016-02-29,,IND,W,100,96,,35,83,.422,9,29,.310,26,54,.481,.476,21,25,.840,9,31,40,22,4,2,13,15,37,80,.463,8,18,.444,29,62,.468,.513,14,15,.933,9,27,36,23,8,11,12,23
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
60,60,2016-03-04,,WAS,W,108,83,,42,90,.467,12,27,.444,30,63,.476,.533,12,16,.750,8,39,47,24,9,5,9,19,32,81,.395,3,20,.150,29,61,.475,.414,16,24,.667,10,37,47,14,2,5,16,19
61,61,2016-03-05,,BOS,W,120,103,,42,82,.512,10,30,.333,32,52,.615,.573,26,34,.765,15,32,47,27,8,4,15,21,37,80,.463,10,23,.435,27,57,.474,.525,19,27,.704,10,27,37,17,8,1,14,22
62,62,2016-03-07,,MEM,L,103,106,,36,80,.450,7,29,.241,29,51,.569,.494,24,29,.828,13,36,49,23,9,7,25,22,41,86,.477,6,20,.300,35,66,.530,.512,18,22,.818,9,26,35,23,16,8,17,26
63,63,2016-03-09,@,SAC,W,120,111,,39,90,.433,13,44,.295,26,46,.565,.506,29,35,.829,15,36,51,17,5,1,14,21,40,84,.476,8,22,.364,32,62,.516,.524,23,32,.719,5,33,38,20,8,2,10,27
64,64,2016-03-10,@,LAL,W,120,108,,45,85,.529,16,35,.457,29,50,.580,.624,14,20,.700,9,29,38,22,4,6,8,20,42,80,.525,7,22,.318,35,58,.603,.569,17,21,.810,4,30,34,18,8,4,11,22
65,65,2016-03-13,@,LAC,W,114,90,,41,84,.488,18,37,.486,23,47,.489,.595,14,20,.700,9,40,49,23,3,4,10,19,32,79,.405,10,32,.313,22,47,.468,.468,16,19,.842,5,29,34,23,5,4,10,23
66,66,2016-03-14,@,UTA,L,85,94,,35,88,.398,10,43,.233,25,45,.556,.455,5,8,.625,13,26,39,18,6,3,8,16,35,71,.493,12,27,.444,23,44,.523,.577,12,14,.857,8,32,40,20,3,4,13,15
67,67,2016-03-16,,DAL,W,99,98,,39,88,.443,10,37,.270,29,51,.569,.500,11,13,.846,13,35,48,21,9,4,16,19,37,79,.468,7,22,.318,30,57,.526,.513,17,19,.895,4,28,32,24,6,7,11,18
68,68,2016-03-18,@,ORL,W,109,103,,38,76,.500,13,28,.464,25,48,.521,.586,20,27,.741,9,32,41,23,7,4,19,21,37,82,.451,11,22,.500,26,60,.433,.518,18,22,.818,9,27,36,24,12,4,13,24
69,69,2016-03-19,@,MIA,L,101,122,,40,76,.526,10,24,.417,30,52,.577,.592,11,13,.846,3,23,26,19,6,3,14,22,46,84,.548,11,19,.579,35,65,.538,.613,19,23,.826,13,29,42,29,7,5,12,14
70,70,2016-03-21,,DEN,W,124,91,,48,86,.558,15,31,.484,33,55,.600,.645,13,17,.765,8,35,43,38,10,4,13,19,32,81,.395,8,22,.364,24,59,.407,.444,19,25,.760,10,25,35,19,10,4,17,16
71,71,2016-03-23,,MIL,W,113,104,,40,83,.482,10,34,.294,30,49,.612,.542,23,27,.852,17,25,42,29,6,8,15,17,43,80,.538,7,16,.438,36,64,.563,.581,11,15,.733,10,21,31,23,8,4,14,24
72,72,2016-03-24,@,BRK,L,95,104,,39,89,.438,10,38,.263,29,51,.569,.494,7,9,.778,11,34,45,22,3,2,15,20,41,89,.461,8,22,.364,33,67,.493,.506,14,19,.737,10,36,46,28,10,5,9,16
73,73,2016-03-26,@,NYK,W,107,93,,37,83,.446,14,34,.412,23,49,.469,.530,19,25,.760,15,38,53,21,6,5,11,23,33,79,.418,8,23,.348,25,56,.446,.468,19,28,.679,10,31,41,20,5,0,8,23
74,74,2016-03-29,,HOU,L,100,106,,31,86,.360,14,40,.350,17,46,.370,.442,24,28,.857,10,28,38,21,5,5,13,31,38,79,.481,9,25,.360,29,54,.537,.538,21,42,.500,14,41,55,23,7,5,15,24
75,75,2016-03-31,,BRK,W,107,87,,38,87,.437,12,38,.316,26,49,.531,.506,19,24,.792,9,41,50,29,10,7,17,17,35,94,.372,4,21,.190,31,73,.425,.394,13,21,.619,13,42,55,26,12,4,17,19
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
76,76,2016-04-01,@,ATL,W,110,108,OT,39,98,.398,12,38,.316,27,60,.450,.459,20,31,.645,11,46,57,27,9,6,12,23,38,95,.400,9,30,.300,29,65,.446,.447,23,26,.885,5,43,48,25,5,8,16,27
77,77,2016-04-03,,CHO,W,112,103,,45,83,.542,16,29,.552,29,54,.537,.639,6,13,.462,15,31,46,34,7,1,17,19,34,76,.447,9,26,.346,25,50,.500,.507,26,27,.963,11,24,35,23,15,4,15,13
78,78,2016-04-05,@,MIL,W,109,80,,41,75,.547,18,36,.500,23,39,.590,.667,9,10,.900,2,39,41,30,4,8,16,14,35,88,.398,4,16,.250,31,72,.431,.420,6,12,.500,12,29,41,20,7,1,10,14
79,79,2016-04-06,@,IND,L,109,123,,35,74,.473,8,29,.276,27,45,.600,.527,31,34,.912,7,26,33,15,7,3,10,19,45,80,.563,16,31,.516,29,49,.592,.663,17,22,.773,9,29,38,25,9,1,14,24
80,80,2016-04-09,@,CHI,L,102,105,,36,83,.434,19,40,.475,17,43,.395,.548,11,18,.611,12,30,42,24,5,5,16,18,40,89,.449,8,24,.333,32,65,.492,.494,17,21,.810,13,32,45,19,8,6,12,22
81,81,2016-04-11,,ATL,W,109,94,,40,83,.482,11,29,.379,29,54,.537,.548,18,20,.900,9,38,47,17,9,4,15,14,39,87,.448,8,30,.267,31,57,.544,.494,8,15,.533,10,32,42,23,8,6,15,18
82,82,2016-04-13,,DET,L,110,112,OT,46,97,.474,7,18,.389,39,79,.494,.510,11,15,.733,8,35,43,21,4,7,10,23,37,85,.435,16,33,.485,21,52,.404,.529,22,28,.786,9,38,47,24,5,11,12,15
,,,,,57-25,8555,8063,,3171,6888,.460,880,2428,.362,2291,4460,.514,.524,1333,1783,.748,873,2777,3650,1861,551,317,1114,1666,3019,6736,.448,647,1862,.347,2372,4874,.487,.496,1378,1855,.743,760,2604,3364,1756,590,362,1092,1690
