,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-10-27,@,CHI,L,95,97,,38,94,.404,9,29,.310,29,65,.446,.452,10,17,.588,11,39,50,26,5,7,11,21,37,87,.425,7,19,.368,30,68,.441,.466,16,23,.696,7,40,47,13,6,10,13,22
2,2,2015-10-28,@,MEM,W,106,76,,41,84,.488,13,29,.448,28,55,.509,.565,11,17,.647,12,42,54,29,7,2,19,25,29,82,.354,2,16,.125,27,66,.409,.366,16,22,.727,11,29,40,15,8,3,16,18
3,3,2015-10-30,,MIA,W,102,92,,39,86,.453,6,25,.240,33,61,.541,.488,18,21,.857,14,35,49,25,4,4,11,19,33,77,.429,6,21,.286,27,56,.482,.468,20,22,.909,6,32,38,21,5,7,13,20
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
4,4,2015-11-02,@,PHI,W,107,100,,42,81,.519,8,22,.364,34,59,.576,.568,15,20,.750,7,36,43,28,5,9,16,19,38,85,.447,7,24,.292,31,61,.508,.488,17,23,.739,9,28,37,22,7,5,14,18
5,5,2015-11-04,,NYK,W,96,86,,33,83,.398,7,27,.259,26,56,.464,.440,23,32,.719,9,39,48,21,5,2,13,12,33,84,.393,8,24,.333,25,60,.417,.440,12,15,.800,9,31,40,16,6,7,13,23
6,6,2015-11-06,,PHI,W,108,102,,45,88,.511,10,26,.385,35,62,.565,.568,8,12,.667,11,34,45,29,9,0,17,20,41,79,.519,10,23,.435,31,56,.554,.582,10,15,.667,7,31,38,23,9,4,16,18
7,7,2015-11-08,,IND,W,101,97,,38,83,.458,8,24,.333,30,59,.508,.506,17,25,.680,11,37,48,25,5,4,10,20,39,90,.433,6,18,.333,33,72,.458,.467,13,19,.684,12,35,47,22,5,4,7,20
8,8,2015-11-10,,UTA,W,118,114,,37,74,.500,11,24,.458,26,50,.520,.574,33,43,.767,11,24,35,24,9,6,17,21,40,82,.488,10,22,.455,30,60,.500,.549,24,28,.857,13,24,37,30,11,0,16,35
9,9,2015-11-13,@,NYK,W,90,84,,33,78,.423,6,28,.214,27,50,.540,.462,18,31,.581,12,37,49,12,6,1,12,19,29,79,.367,9,27,.333,20,52,.385,.424,17,21,.810,10,36,46,16,7,4,15,26
10,10,2015-11-14,@,MIL,L,105,108,2OT,37,91,.407,14,38,.368,23,53,.434,.484,17,27,.630,14,40,54,21,6,8,21,24,43,102,.422,6,16,.375,37,86,.430,.451,16,22,.727,15,36,51,20,6,9,13,25
11,11,2015-11-17,@,DET,L,99,104,,38,80,.475,11,33,.333,27,47,.574,.544,12,20,.600,3,37,40,21,8,2,14,25,36,84,.429,7,21,.333,29,63,.460,.470,25,31,.806,11,37,48,20,11,1,13,15
12,12,2015-11-19,,MIL,W,115,100,,40,71,.563,11,24,.458,29,47,.617,.641,24,30,.800,13,30,43,29,3,2,17,24,38,73,.521,3,8,.375,35,65,.538,.541,21,26,.808,6,16,22,22,8,2,11,29
13,13,2015-11-21,,ATL,W,109,97,,41,85,.482,11,29,.379,30,56,.536,.547,16,19,.842,11,40,51,27,4,8,14,22,32,86,.372,11,28,.393,21,58,.362,.436,22,25,.880,12,26,38,22,10,4,12,20
14,14,2015-11-23,,ORL,W,117,103,,43,81,.531,18,35,.514,25,46,.543,.642,13,22,.591,8,33,41,34,5,3,10,15,40,81,.494,10,22,.455,30,59,.508,.556,13,21,.619,9,30,39,25,6,6,10,21
15,15,2015-11-25,@,TOR,L,99,103,,36,82,.439,14,29,.483,22,53,.415,.524,13,16,.813,9,33,42,22,4,2,10,20,40,79,.506,11,25,.440,29,54,.537,.576,12,22,.545,6,34,40,14,8,5,9,15
16,16,2015-11-27,@,CHO,W,95,90,,34,81,.420,8,25,.320,26,56,.464,.469,19,25,.760,12,38,50,17,3,2,16,22,33,80,.413,5,25,.200,28,55,.509,.444,19,25,.760,7,31,38,20,7,7,12,25
17,17,2015-11-28,,BRK,W,90,88,,35,87,.402,9,27,.333,26,60,.433,.454,11,17,.647,12,37,49,20,9,11,20,19,33,81,.407,4,17,.235,29,64,.453,.432,18,24,.750,8,38,46,21,9,4,16,18
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
18,18,2015-12-01,,WAS,L,85,97,,28,83,.337,9,30,.300,19,53,.358,.392,20,23,.870,10,37,47,15,8,3,19,18,39,83,.470,7,28,.250,32,55,.582,.512,12,16,.750,2,37,39,23,7,5,13,23
19,19,2015-12-04,@,NOP,L,108,114,OT,39,89,.438,10,33,.303,29,56,.518,.494,20,24,.833,12,31,43,18,8,1,14,26,42,85,.494,9,25,.360,33,60,.550,.547,21,31,.677,11,35,46,25,10,2,15,25
20,20,2015-12-05,@,MIA,L,84,99,,31,85,.365,6,28,.214,25,57,.439,.400,16,24,.667,11,25,36,14,8,1,15,26,37,68,.544,7,16,.438,30,52,.577,.596,18,29,.621,3,38,41,21,5,9,17,25
21,21,2015-12-08,,POR,W,105,100,,40,79,.506,9,21,.429,31,58,.534,.563,16,20,.800,6,24,30,18,10,4,9,18,40,79,.506,11,26,.423,29,53,.547,.576,9,16,.563,10,26,36,21,3,2,19,25
22,22,2015-12-11,@,ORL,W,111,76,,41,72,.569,11,21,.524,30,51,.588,.646,18,27,.667,9,36,45,28,12,0,19,19,28,72,.389,6,22,.273,22,50,.440,.431,14,20,.700,6,24,30,16,8,3,20,24
23,23,2015-12-15,@,BOS,W,89,77,,36,78,.462,8,23,.348,28,55,.509,.513,9,10,.900,6,40,46,17,5,7,16,17,28,87,.322,9,32,.281,19,55,.345,.374,12,14,.857,12,29,41,18,6,6,10,11
24,24,2015-12-17,,OKC,W,104,100,,41,88,.466,12,29,.414,29,59,.492,.534,10,13,.769,16,26,42,29,6,1,18,22,35,74,.473,6,20,.300,29,54,.537,.514,24,28,.857,9,27,36,23,7,7,12,20
25,25,2015-12-20,,PHI,W,108,86,,40,85,.471,11,25,.440,29,60,.483,.535,17,21,.810,6,34,40,25,11,6,12,19,30,86,.349,5,24,.208,25,62,.403,.378,21,30,.700,16,33,49,15,6,2,21,22
26,26,2015-12-23,,NYK,W,91,84,,32,83,.386,5,22,.227,27,61,.443,.416,22,25,.880,14,34,48,23,6,4,8,15,32,82,.390,5,16,.313,27,66,.409,.421,15,16,.938,9,35,44,19,5,7,11,17
27,27,2015-12-25,@,GSW,L,83,89,,30,95,.316,5,30,.167,25,65,.385,.342,18,25,.720,17,38,55,12,6,4,11,22,32,78,.410,5,18,.278,27,60,.450,.442,20,27,.741,8,41,49,21,7,10,16,19
28,28,2015-12-26,@,POR,L,76,105,,28,77,.364,11,31,.355,17,46,.370,.435,9,15,.600,9,33,42,21,4,2,17,20,41,89,.461,9,22,.409,32,67,.478,.511,14,19,.737,10,39,49,28,9,3,9,12
29,29,2015-12-28,@,PHO,W,101,97,,33,71,.465,17,41,.415,16,30,.533,.585,18,25,.720,10,27,37,21,8,8,17,18,36,79,.456,11,25,.440,25,54,.463,.525,14,20,.700,14,30,44,20,8,1,16,23
30,30,2015-12-29,@,DEN,W,93,87,,38,86,.442,4,22,.182,34,64,.531,.465,13,22,.591,9,35,44,17,12,3,12,16,37,89,.416,5,24,.208,32,65,.492,.444,8,11,.727,12,40,52,18,8,6,18,19
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
31,31,2016-01-02,,ORL,W,104,79,,34,82,.415,12,37,.324,22,45,.489,.488,24,39,.615,12,41,53,24,6,1,7,17,29,76,.382,6,25,.240,23,51,.451,.421,15,17,.882,5,40,45,16,1,2,14,29
32,32,2016-01-04,,TOR,W,122,100,,41,74,.554,17,33,.515,24,41,.585,.669,23,26,.885,11,29,40,25,6,4,14,22,36,73,.493,8,19,.421,28,54,.519,.548,20,29,.690,8,18,26,24,9,5,11,19
33,33,2016-01-06,@,WAS,W,121,115,,48,89,.539,12,29,.414,36,60,.600,.607,13,19,.684,13,31,44,16,9,3,12,20,42,76,.553,14,24,.583,28,52,.538,.645,17,27,.630,5,28,33,31,7,1,13,18
34,34,2016-01-08,@,MIN,W,125,99,,43,81,.531,13,27,.481,30,54,.556,.611,26,29,.897,10,33,43,23,8,5,12,19,36,79,.456,7,16,.438,29,63,.460,.500,20,26,.769,7,26,33,24,8,2,13,21
35,35,2016-01-10,@,PHI,W,95,85,,35,90,.389,9,32,.281,26,58,.448,.439,16,23,.696,13,38,51,20,9,2,11,16,35,77,.455,6,18,.333,29,59,.492,.494,9,19,.474,7,41,48,22,6,7,19,18
36,36,2016-01-12,@,DAL,W,110,107,OT,40,97,.412,17,44,.386,23,53,.434,.500,13,16,.813,17,29,46,28,12,4,10,21,39,79,.494,11,28,.393,28,51,.549,.563,18,22,.818,7,37,44,25,4,7,16,16
37,37,2016-01-14,@,SAS,L,95,99,,38,82,.463,10,26,.385,28,56,.500,.524,9,11,.818,9,34,43,15,4,2,18,23,38,83,.458,5,17,.294,33,66,.500,.488,18,22,.818,11,34,45,17,6,7,12,16
38,38,2016-01-15,@,HOU,W,91,77,,34,87,.391,8,35,.229,26,52,.500,.437,15,23,.652,17,32,49,19,10,6,15,24,26,74,.351,6,25,.240,20,49,.408,.392,19,29,.655,10,30,40,15,10,6,19,20
39,39,2016-01-18,,GSW,L,98,132,,37,77,.481,7,19,.368,30,58,.517,.526,17,25,.680,8,28,36,22,3,4,16,25,46,85,.541,19,40,.475,27,45,.600,.653,21,27,.778,6,31,37,33,7,2,8,25
40,40,2016-01-20,@,BRK,W,91,78,,36,77,.468,5,17,.294,31,60,.517,.500,14,20,.700,6,39,45,15,6,3,13,13,35,84,.417,4,19,.211,31,65,.477,.440,4,8,.500,9,30,39,20,4,4,14,16
41,41,2016-01-21,,LAC,W,115,102,,42,83,.506,13,28,.464,29,55,.527,.584,18,24,.750,14,33,47,29,5,2,15,31,36,80,.450,6,25,.240,30,55,.545,.488,24,36,.667,8,27,35,19,9,3,9,21
