,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
21,21,2010-12-04,,ATL,W,89,77,,34,72,.472,3,8,.375,31,64,.484,.493,18,23,.783,6,37,43,15,7,9,10,16,32,80,.400,5,17,.294,27,63,.429,.431,8,12,.667,9,29,38,16,5,0,13,17
22,22,2010-12-06,@,MIL,W,88,78,,35,72,.486,5,8,.625,30,64,.469,.521,13,18,.722,11,37,48,20,2,3,18,26,27,78,.346,4,15,.267,23,63,.365,.372,20,25,.800,9,26,35,17,4,5,11,20
23,23,2010-12-08,@,UTA,W,111,98,,41,80,.513,9,20,.450,32,60,.533,.569,20,25,.800,15,27,42,22,8,1,15,21,38,75,.507,1,14,.071,37,61,.607,.513,21,27,.778,10,18,28,20,9,3,15,20
24,24,2010-12-10,@,GSW,W,106,84,,41,78,.526,9,14,.643,32,64,.500,.583,15,21,.714,15,35,50,33,8,7,19,16,31,83,.373,8,24,.333,23,59,.390,.422,14,21,.667,16,25,41,24,9,2,15,17
25,25,2010-12-11,@,SAC,W,104,83,,41,79,.519,7,14,.500,34,65,.523,.563,15,24,.625,11,45,56,22,7,8,15,18,33,90,.367,6,18,.333,27,72,.375,.400,11,21,.524,13,23,36,17,6,4,11,21
26,26,2010-12-13,,NOH,W,96,84,,31,70,.443,4,14,.286,27,56,.482,.471,30,38,.789,8,28,36,17,6,9,6,25,28,67,.418,1,13,.077,27,54,.500,.425,27,34,.794,10,30,40,14,5,1,12,29
27,27,2010-12-15,,CLE,W,101,95,,32,70,.457,10,23,.435,22,47,.468,.529,27,41,.659,9,36,45,17,4,8,14,20,35,87,.402,9,33,.273,26,54,.481,.454,16,20,.800,10,28,38,19,6,0,9,28
28,28,2010-12-17,@,NYK,W,113,91,,45,82,.549,10,18,.556,35,64,.547,.610,13,18,.722,8,37,45,19,10,9,18,20,35,89,.393,8,24,.333,27,65,.415,.438,13,23,.565,13,28,41,24,7,3,13,14
29,29,2010-12-18,@,WAS,W,95,94,,31,72,.431,8,22,.364,23,50,.460,.486,25,32,.781,8,36,44,18,8,9,17,20,37,87,.425,2,9,.222,35,78,.449,.437,18,26,.692,12,32,44,22,11,6,13,23
30,30,2010-12-20,,DAL,L,96,98,,34,84,.405,11,31,.355,23,53,.434,.470,17,25,.680,16,28,44,18,7,5,12,20,33,74,.446,8,21,.381,25,53,.472,.500,24,28,.857,10,38,48,19,6,1,14,23
31,31,2010-12-23,@,PHO,W,95,83,,37,82,.451,5,18,.278,32,64,.500,.482,16,17,.941,11,33,44,12,9,4,16,22,30,75,.400,10,26,.385,20,49,.408,.467,13,19,.684,11,28,39,25,7,2,19,21
32,32,2010-12-25,@,LAL,W,96,80,,35,79,.443,9,25,.360,26,54,.481,.500,17,20,.850,9,35,44,25,9,4,10,17,32,79,.405,6,19,.316,26,60,.433,.443,10,15,.667,9,34,43,22,4,1,12,23
33,33,2010-12-28,,NYK,W,106,98,,38,79,.481,3,13,.231,35,66,.530,.500,27,34,.794,13,37,50,15,2,5,11,20,34,82,.415,7,24,.292,27,58,.466,.457,23,32,.719,9,23,32,14,4,5,9,22
34,34,2010-12-29,@,HOU,W,125,119,,43,74,.581,5,16,.313,38,58,.655,.615,34,37,.919,4,36,40,20,3,9,17,26,39,93,.419,9,27,.333,30,66,.455,.468,32,40,.800,16,28,44,29,11,0,7,23
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
35,35,2011-01-01,,GSW,W,114,107,,35,71,.493,9,21,.429,26,50,.520,.556,35,47,.745,10,33,43,24,7,6,14,12,41,87,.471,13,27,.481,28,60,.467,.546,12,16,.750,7,29,36,19,7,2,12,31
36,36,2011-01-03,@,CHA,W,96,82,,37,76,.487,5,15,.333,32,61,.525,.520,17,19,.895,10,36,46,15,5,5,16,15,30,79,.380,3,10,.300,27,69,.391,.399,19,23,.826,12,23,35,19,8,2,15,20
37,37,2011-01-04,,MIL,W,101,89,,33,74,.446,4,12,.333,29,62,.468,.473,31,37,.838,12,35,47,14,8,7,14,22,29,73,.397,5,12,.417,24,61,.393,.432,26,34,.765,7,27,34,14,8,4,9,25
38,38,2011-01-07,@,MIL,W,101,95,OT,35,89,.393,5,12,.417,30,77,.390,.421,26,32,.813,13,35,48,20,11,6,16,21,36,81,.444,6,19,.316,30,62,.484,.481,17,24,.708,14,39,53,20,11,9,23,23
39,39,2011-01-09,@,POR,W,107,100,OT,45,79,.570,5,15,.333,40,64,.625,.601,12,16,.750,7,34,41,19,7,3,17,22,38,91,.418,5,24,.208,33,67,.493,.445,19,22,.864,15,28,43,24,8,3,14,15
40,40,2011-01-12,@,LAC,L,105,111,,37,88,.420,8,27,.296,29,61,.475,.466,23,30,.767,13,33,46,22,3,5,7,21,42,84,.500,6,16,.375,36,68,.529,.536,21,34,.618,9,33,42,33,6,8,10,18
41,41,2011-01-13,@,DEN,L,102,130,,41,89,.461,10,23,.435,31,66,.470,.517,10,18,.556,12,29,41,23,3,5,16,15,49,92,.533,15,31,.484,34,61,.557,.614,17,22,.773,12,38,50,31,8,3,9,18
42,42,2011-01-15,@,CHI,L,96,99,,34,77,.442,13,28,.464,21,49,.429,.526,15,20,.750,6,24,30,18,2,9,13,20,39,84,.464,7,19,.368,32,65,.492,.506,14,17,.824,10,32,42,23,6,5,11,14
43,43,2011-01-18,,ATL,L,89,93,OT,28,77,.364,7,30,.233,21,47,.447,.409,26,29,.897,11,35,46,12,6,5,16,18,38,95,.400,7,31,.226,31,64,.484,.437,10,14,.714,15,33,48,20,8,2,12,22
44,44,2011-01-22,,TOR,W,120,103,,42,80,.525,16,26,.615,26,54,.481,.625,20,26,.769,10,32,42,27,4,8,14,22,38,81,.469,5,8,.625,33,73,.452,.500,22,24,.917,8,25,33,20,7,1,11,21
45,45,2011-01-27,@,NYK,L,88,93,,30,72,.417,5,19,.263,25,53,.472,.451,23,33,.697,11,38,49,13,7,5,19,22,30,83,.361,10,33,.303,20,50,.400,.422,23,28,.821,14,31,45,24,9,1,12,22
46,46,2011-01-28,,DET,W,88,87,,33,73,.452,5,24,.208,28,49,.571,.486,17,22,.773,9,33,42,18,3,5,11,16,35,92,.380,8,24,.333,27,68,.397,.424,9,11,.818,17,26,43,22,5,6,6,18
47,47,2011-01-30,@,OKC,W,108,103,,39,75,.520,8,18,.444,31,57,.544,.573,22,32,.688,12,29,41,21,10,9,20,24,34,84,.405,8,18,.444,26,66,.394,.452,27,34,.794,14,28,42,20,11,4,12,25
48,48,2011-01-31,,CLE,W,117,90,,43,88,.489,8,18,.444,35,70,.500,.534,23,28,.821,16,34,50,19,7,6,13,20,32,82,.390,4,13,.308,28,69,.406,.415,22,27,.815,14,27,41,14,8,4,15,22
