,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
61,61,2022-03-01,,DAL,L,104,109,,37,82,.451,14,34,.412,23,48,.479,.537,16,20,.800,4,33,37,22,8,6,12,20,41,82,.500,10,35,.286,31,47,.660,.561,17,27,.630,10,35,45,24,8,7,14,19
62,62,2022-03-03,@,LAC,L,111,132,,41,84,.488,12,35,.343,29,49,.592,.560,17,22,.773,9,27,36,26,8,4,14,17,51,93,.548,17,27,.630,34,66,.515,.640,13,15,.867,13,33,46,32,10,3,12,22
63,63,2022-03-05,,GSW,W,124,116,,44,89,.494,18,41,.439,26,48,.542,.596,18,21,.857,12,35,47,25,10,6,20,18,46,92,.500,15,34,.441,31,58,.534,.582,9,19,.474,10,31,41,22,11,4,16,20
64,64,2022-03-07,@,SAS,L,110,117,,43,91,.473,8,26,.308,35,65,.538,.516,16,23,.696,12,31,43,19,7,3,15,26,46,84,.548,9,26,.346,37,58,.638,.601,16,30,.533,12,35,47,28,6,7,18,18
65,65,2022-03-09,@,HOU,L,130,139,OT,47,101,.465,18,47,.383,29,54,.537,.554,18,26,.692,12,36,48,25,10,7,16,21,52,102,.510,17,40,.425,35,62,.565,.593,18,19,.947,10,40,50,25,7,4,20,21
66,66,2022-03-11,,WAS,W,122,109,,48,91,.527,14,31,.452,34,60,.567,.604,12,17,.706,7,30,37,25,5,3,9,25,39,85,.459,9,27,.333,30,58,.517,.512,22,33,.667,14,33,47,21,6,6,11,18
67,67,2022-03-13,@,PHO,L,111,140,,36,81,.444,16,40,.400,20,41,.488,.543,23,31,.742,7,30,37,24,4,2,19,14,58,102,.569,12,33,.364,46,69,.667,.627,12,14,.857,14,37,51,36,12,5,11,24
68,68,2022-03-14,,TOR,L,103,114,,34,87,.391,13,42,.310,21,45,.467,.466,22,29,.759,9,34,43,20,7,7,13,27,39,96,.406,10,37,.270,29,59,.492,.458,26,36,.722,19,45,64,24,8,9,13,20
69,69,2022-03-16,@,MIN,L,104,124,,39,93,.419,10,44,.227,29,49,.592,.473,16,23,.696,13,25,38,23,7,4,14,25,40,90,.444,17,42,.405,23,48,.479,.539,27,31,.871,15,36,51,22,7,6,17,23
70,70,2022-03-18,@,TOR,W,128,123,OT,47,96,.490,19,43,.442,28,53,.528,.589,15,21,.714,13,30,43,33,6,4,14,19,49,97,.505,12,37,.324,37,60,.617,.567,13,20,.650,16,30,46,25,8,2,12,19
