,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2011-12-25,@,DAL,W,105,94,,38,78,.487,4,7,.571,34,71,.479,.513,25,36,.694,15,36,51,18,9,6,23,28,31,82,.378,9,28,.321,22,54,.407,.433,23,30,.767,8,23,31,23,10,0,17,29
2,2,2011-12-27,,BOS,W,115,107,,42,75,.560,6,10,.600,36,65,.554,.600,25,35,.714,6,32,38,22,16,8,20,22,37,72,.514,12,19,.632,25,53,.472,.597,21,27,.778,4,24,28,20,9,3,24,27
3,3,2011-12-28,@,CHA,W,96,95,,36,78,.462,1,6,.167,35,72,.486,.468,23,28,.821,5,25,30,19,7,10,10,17,39,82,.476,7,18,.389,32,64,.500,.518,10,16,.625,15,38,53,22,5,9,22,22
4,4,2011-12-30,@,MIN,W,103,101,,46,93,.495,3,14,.214,43,79,.544,.511,8,14,.571,9,33,42,29,14,6,15,21,39,83,.470,11,29,.379,28,54,.519,.536,12,20,.600,12,37,49,21,11,4,25,22
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
5,5,2012-01-01,,CHA,W,129,90,,48,80,.600,7,11,.636,41,69,.594,.644,26,31,.839,5,42,47,33,10,3,15,18,35,92,.380,6,18,.333,29,74,.392,.413,14,21,.667,11,29,40,20,9,3,16,20
6,6,2012-01-02,,ATL,L,92,100,,34,73,.466,5,13,.385,29,60,.483,.500,19,28,.679,9,31,40,23,5,3,16,15,39,82,.476,9,16,.563,30,66,.455,.530,13,20,.650,10,30,40,19,10,5,10,21
7,7,2012-01-04,,IND,W,118,83,,42,80,.525,8,21,.381,34,59,.576,.575,26,28,.929,7,35,42,25,12,1,13,25,24,69,.348,5,19,.263,19,50,.380,.384,30,39,.769,9,27,36,12,7,3,23,26
8,8,2012-01-05,@,ATL,W,116,109,3OT,45,102,.441,8,28,.286,37,74,.500,.480,18,23,.783,14,42,56,25,6,6,22,35,36,94,.383,6,22,.273,30,72,.417,.415,31,46,.674,15,36,51,22,10,5,19,24
9,9,2012-01-07,@,NJN,W,101,90,,38,76,.500,5,15,.333,33,61,.541,.533,20,24,.833,10,35,45,27,12,8,23,27,28,83,.337,10,33,.303,18,50,.360,.398,24,32,.750,18,25,43,24,14,3,22,21
10,10,2012-01-10,@,GSW,L,106,111,OT,39,85,.459,2,11,.182,37,74,.500,.471,26,40,.650,14,34,48,16,14,5,22,23,38,95,.400,9,27,.333,29,68,.426,.447,26,30,.867,18,34,52,23,14,9,20,26
11,11,2012-01-11,@,LAC,L,89,95,OT,32,81,.395,5,16,.313,27,65,.415,.426,20,34,.588,13,37,50,18,9,6,18,22,36,86,.419,6,17,.353,30,69,.435,.453,17,23,.739,10,35,45,22,7,8,16,22
12,12,2012-01-13,@,DEN,L,104,117,,38,81,.469,7,16,.438,31,65,.477,.512,21,29,.724,14,26,40,19,11,4,17,25,43,78,.551,12,25,.480,31,53,.585,.628,19,26,.731,8,29,37,26,10,5,19,19
13,13,2012-01-17,,SAS,W,120,98,,46,79,.582,16,26,.615,30,53,.566,.684,12,19,.632,9,24,33,24,7,1,12,19,38,80,.475,10,25,.400,28,55,.509,.538,12,17,.706,11,25,36,21,7,1,17,18
14,14,2012-01-19,,LAL,W,98,87,,38,85,.447,9,18,.500,29,67,.433,.500,13,18,.722,15,29,44,19,8,5,13,18,34,81,.420,6,20,.300,28,61,.459,.457,13,16,.813,12,26,38,19,7,6,14,15
15,15,2012-01-21,,PHI,W,113,92,,44,81,.543,7,16,.438,37,65,.569,.586,18,21,.857,12,40,52,24,5,10,11,13,37,83,.446,8,15,.533,29,68,.426,.494,10,15,.667,7,24,31,18,9,5,9,17
16,16,2012-01-22,,MIL,L,82,91,,25,67,.373,3,12,.250,22,55,.400,.396,29,35,.829,12,30,42,9,7,2,22,25,28,80,.350,5,30,.167,23,50,.460,.381,30,34,.882,15,27,42,18,10,5,15,28
17,17,2012-01-24,,CLE,W,92,85,,32,70,.457,5,18,.278,27,52,.519,.493,23,26,.885,6,23,29,16,10,5,18,15,34,68,.500,6,16,.375,28,52,.538,.544,11,17,.647,7,26,33,20,10,4,22,27
