,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
18,18,2012-01-25,@,DET,W,101,98,,37,71,.521,5,15,.333,32,56,.571,.556,22,25,.880,6,20,26,24,7,1,11,20,36,72,.500,7,22,.318,29,50,.580,.549,19,25,.760,14,29,43,19,5,6,22,24
19,19,2012-01-27,,NYK,W,99,89,,37,80,.463,2,10,.200,35,70,.500,.475,23,26,.885,6,34,40,17,9,8,10,19,30,84,.357,18,43,.419,12,41,.293,.464,11,14,.786,9,30,39,20,6,5,19,24
20,20,2012-01-29,,CHI,W,97,93,,32,78,.410,3,8,.375,29,70,.414,.429,30,40,.750,12,36,48,19,5,5,13,20,35,81,.432,3,11,.273,32,70,.457,.451,20,28,.714,12,35,47,15,11,5,15,28
21,21,2012-01-30,,NOH,W,109,95,,43,78,.551,6,15,.400,37,63,.587,.590,17,21,.810,11,28,39,23,6,3,15,17,40,75,.533,4,13,.308,36,62,.581,.560,11,19,.579,4,21,25,20,9,1,13,19
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
22,22,2012-02-01,@,MIL,L,97,105,,34,73,.466,9,20,.450,25,53,.472,.527,20,24,.833,8,34,42,24,8,3,18,22,39,88,.443,10,23,.435,29,65,.446,.500,17,25,.680,13,27,40,30,9,5,13,17
23,23,2012-02-03,@,PHI,W,99,79,,40,77,.519,8,13,.615,32,64,.500,.571,11,20,.550,5,42,47,19,3,4,9,12,32,81,.395,5,12,.417,27,69,.391,.426,10,14,.714,8,30,38,18,6,5,7,17
24,24,2012-02-05,,TOR,W,95,89,,31,69,.449,4,12,.333,27,57,.474,.478,29,34,.853,4,32,36,15,8,2,14,19,34,79,.430,6,22,.273,28,57,.491,.468,15,21,.714,10,28,38,17,6,3,16,25
25,25,2012-02-07,,CLE,W,107,91,,39,84,.464,6,17,.353,33,67,.493,.500,23,26,.885,13,34,47,19,7,2,16,22,32,82,.390,7,19,.368,25,63,.397,.433,20,30,.667,15,28,43,17,10,2,17,22
26,26,2012-02-08,@,ORL,L,89,102,,36,76,.474,5,15,.333,31,61,.508,.507,12,17,.706,9,29,38,20,10,6,13,17,35,83,.422,17,42,.405,18,41,.439,.524,15,21,.714,17,31,48,24,8,2,16,17
27,27,2012-02-10,@,WAS,W,106,89,,40,81,.494,5,15,.333,35,66,.530,.525,21,23,.913,8,38,46,22,9,7,15,21,34,89,.382,4,21,.190,30,68,.441,.404,17,28,.607,15,28,43,21,6,1,18,20
28,28,2012-02-12,@,ATL,W,107,87,,38,83,.458,5,12,.417,33,71,.465,.488,26,31,.839,13,39,52,18,6,6,9,14,35,90,.389,11,27,.407,24,63,.381,.450,6,7,.857,12,26,38,26,4,4,13,19
29,29,2012-02-13,@,MIL,W,114,96,,43,83,.518,7,14,.500,36,69,.522,.560,21,25,.840,14,34,48,19,9,4,16,22,33,84,.393,9,23,.391,24,61,.393,.446,21,25,.840,14,21,35,21,11,5,14,21
30,30,2012-02-14,@,IND,W,105,90,,35,70,.500,5,13,.385,30,57,.526,.536,30,35,.857,11,35,46,17,7,4,19,22,33,76,.434,2,15,.133,31,61,.508,.447,22,29,.759,6,26,32,15,6,3,17,27
31,31,2012-02-17,@,CLE,W,111,87,,40,79,.506,14,21,.667,26,58,.448,.595,17,20,.850,13,31,44,28,6,4,17,25,30,76,.395,6,16,.375,24,60,.400,.434,21,31,.677,12,23,35,16,8,6,13,21
32,32,2012-02-19,,ORL,W,90,78,,38,80,.475,3,12,.250,35,68,.515,.494,11,14,.786,9,39,48,20,8,7,10,18,27,74,.365,11,29,.379,16,45,.356,.439,13,25,.520,9,31,40,15,3,3,15,10
33,33,2012-02-21,,SAC,W,120,108,,45,81,.556,10,23,.435,35,58,.603,.617,20,23,.870,9,31,40,28,8,9,13,18,40,89,.449,13,27,.481,27,62,.435,.522,15,19,.789,15,26,41,24,5,5,16,18
34,34,2012-02-23,,NYK,W,102,88,,42,85,.494,4,14,.286,38,71,.535,.518,14,19,.737,14,32,46,19,12,10,16,22,31,79,.392,7,17,.412,24,62,.387,.437,19,22,.864,14,27,41,14,9,3,19,15
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
35,35,2012-03-01,@,POR,W,107,93,,39,82,.476,6,11,.545,33,71,.465,.512,23,29,.793,12,29,41,22,11,5,9,15,36,76,.474,5,16,.313,31,60,.517,.507,16,19,.842,8,28,36,21,6,6,16,21
36,36,2012-03-02,@,UTA,L,98,99,,37,75,.493,8,17,.471,29,58,.500,.547,16,22,.727,8,24,32,17,9,8,11,21,38,90,.422,3,10,.300,35,80,.438,.439,20,27,.741,23,27,50,22,8,6,11,17
37,37,2012-03-04,@,LAL,L,83,93,,33,88,.375,7,24,.292,26,64,.406,.415,10,15,.667,18,17,35,22,10,5,12,23,35,71,.493,5,17,.294,30,54,.556,.528,18,25,.720,13,31,44,19,7,10,18,17
38,38,2012-03-06,,NJN,W,108,78,,45,77,.584,10,17,.588,35,60,.583,.649,8,9,.889,7,36,43,30,6,2,17,13,31,83,.373,8,22,.364,23,61,.377,.422,8,12,.667,10,19,29,14,13,3,13,12
39,39,2012-03-07,,ATL,W,89,86,,35,80,.438,0,10,.000,35,70,.500,.438,19,25,.760,13,28,41,16,16,7,14,12,35,76,.461,8,23,.348,27,53,.509,.513,8,9,.889,9,27,36,14,9,2,22,22
40,40,2012-03-10,,IND,W,93,91,OT,35,75,.467,3,13,.231,32,62,.516,.487,20,31,.645,16,35,51,17,8,9,20,24,33,88,.375,7,17,.412,26,71,.366,.415,18,25,.720,17,23,40,17,9,4,13,28
41,41,2012-03-13,@,ORL,L,98,104,OT,40,91,.440,8,23,.348,32,68,.471,.484,10,11,.909,8,28,36,21,15,6,16,30,36,73,.493,11,28,.393,25,45,.556,.568,21,37,.568,11,35,46,19,14,2,24,15
42,42,2012-03-14,@,CHI,L,102,106,,38,85,.447,6,12,.500,32,73,.438,.482,20,23,.870,11,23,34,17,8,5,10,23,36,77,.468,10,19,.526,26,58,.448,.532,24,26,.923,14,36,50,20,3,8,16,21
43,43,2012-03-16,@,PHI,W,84,78,,35,74,.473,4,12,.333,31,62,.500,.500,10,19,.526,6,36,42,25,10,7,16,11,33,93,.355,5,18,.278,28,75,.373,.382,7,14,.500,17,37,54,20,12,8,14,17
44,44,2012-03-18,,ORL,W,91,81,,34,74,.459,2,8,.250,32,66,.485,.473,21,27,.778,8,34,42,19,8,7,13,20,30,76,.395,9,25,.360,21,51,.412,.454,12,21,.571,9,27,36,18,9,2,20,19
45,45,2012-03-20,,PHO,W,99,95,,36,76,.474,1,9,.111,35,67,.522,.480,26,35,.743,13,28,41,24,13,8,12,19,36,80,.450,6,15,.400,30,65,.462,.488,17,24,.708,14,27,41,21,6,8,20,25
46,46,2012-03-23,@,DET,W,88,73,,34,77,.442,2,16,.125,32,61,.525,.455,18,20,.900,9,36,45,24,15,4,17,15,29,75,.387,6,15,.400,23,60,.383,.427,9,17,.529,11,27,38,16,10,2,23,20
47,47,2012-03-25,@,OKC,L,87,103,,33,71,.465,7,22,.318,26,49,.531,.514,14,14,1.000,4,27,31,17,9,7,21,19,39,74,.527,6,11,.545,33,63,.524,.568,19,23,.826,8,28,36,26,13,3,16,18
48,48,2012-03-26,@,IND,L,90,105,,29,69,.420,8,20,.400,21,49,.429,.478,24,37,.649,9,24,33,11,6,7,17,24,37,81,.457,10,18,.556,27,63,.429,.519,21,28,.750,14,35,49,20,8,4,16,29
49,49,2012-03-29,,DAL,W,106,85,,39,80,.488,5,17,.294,34,63,.540,.519,23,27,.852,11,33,44,22,10,5,13,17,33,78,.423,9,24,.375,24,54,.444,.481,10,13,.769,6,23,29,21,7,1,15,19
50,50,2012-03-30,@,TOR,W,113,101,,44,77,.571,5,14,.357,39,63,.619,.604,20,24,.833,11,19,30,26,11,5,8,16,39,72,.542,5,14,.357,34,58,.586,.576,18,19,.947,9,21,30,27,5,4,16,16
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
51,51,2012-04-01,@,BOS,L,72,91,,31,89,.348,3,16,.188,28,73,.384,.365,7,17,.412,15,32,47,15,4,6,12,15,33,70,.471,5,13,.385,28,57,.491,.507,20,22,.909,5,44,49,21,7,3,16,18
52,52,2012-04-03,,PHI,W,99,93,,35,75,.467,3,13,.231,32,62,.516,.487,26,32,.813,11,32,43,15,13,6,17,15,38,83,.458,3,10,.300,35,73,.479,.476,14,17,.824,10,28,38,18,10,5,17,21
53,53,2012-04-04,,OKC,W,98,93,,31,83,.373,10,24,.417,21,59,.356,.434,26,29,.897,8,25,33,16,13,8,14,19,35,81,.432,5,17,.294,30,64,.469,.463,18,20,.900,12,29,41,16,10,8,20,25
54,54,2012-04-06,,MEM,L,82,97,,33,82,.402,4,18,.222,29,64,.453,.427,12,16,.750,14,26,40,17,6,4,16,16,38,82,.463,8,17,.471,30,65,.462,.512,13,17,.765,12,30,42,20,8,6,12,17
55,55,2012-04-08,,DET,W,98,75,,36,83,.434,7,23,.304,29,60,.483,.476,19,29,.655,16,32,48,16,13,5,14,22,28,75,.373,3,19,.158,25,56,.446,.393,16,23,.696,16,28,44,8,6,3,22,27
56,56,2012-04-10,,BOS,L,107,115,,39,87,.448,8,18,.444,31,69,.449,.494,21,27,.778,13,21,34,19,7,4,7,21,43,71,.606,9,14,.643,34,57,.596,.669,20,25,.800,5,35,40,23,3,6,14,21
57,57,2012-04-12,@,CHI,L,86,96,OT,36,82,.439,4,11,.364,32,71,.451,.463,10,16,.625,10,31,41,17,10,8,19,16,37,86,.430,11,22,.500,26,64,.406,.494,11,19,.579,15,30,45,26,11,3,16,15
58,58,2012-04-13,,CHA,W,105,82,,44,85,.518,2,14,.143,42,71,.592,.529,15,17,.882,12,30,42,25,8,6,11,18,33,74,.446,5,17,.294,28,57,.491,.480,11,19,.579,10,26,36,19,3,4,20,16
59,59,2012-04-15,@,NYK,W,93,85,,36,78,.462,4,17,.235,32,61,.525,.487,17,21,.810,11,36,47,14,7,2,15,22,31,73,.425,9,30,.300,22,43,.512,.486,14,23,.609,7,26,33,19,8,1,16,20
60,60,2012-04-16,@,NJN,W,101,98,,36,71,.507,6,18,.333,30,53,.566,.549,23,27,.852,6,27,33,20,6,5,14,15,41,82,.500,5,16,.313,36,66,.545,.530,11,16,.688,8,26,34,21,8,1,15,20
61,61,2012-04-18,,TOR,W,96,72,,40,76,.526,7,17,.412,33,59,.559,.572,9,15,.600,11,30,41,25,9,3,16,16,30,72,.417,1,16,.063,29,56,.518,.424,11,15,.733,10,21,31,12,7,5,14,17
62,62,2012-04-19,,CHI,W,83,72,,32,76,.421,4,13,.308,28,63,.444,.447,15,21,.714,9,36,45,14,6,4,13,19,25,70,.357,2,16,.125,23,54,.426,.371,20,28,.714,7,33,40,16,4,2,14,19
63,63,2012-04-21,,WAS,L,84,86,,31,77,.403,9,25,.360,22,52,.423,.461,13,16,.813,14,32,46,16,4,5,22,18,36,87,.414,7,18,.389,29,69,.420,.454,7,9,.778,10,28,38,22,9,5,15,25
64,64,2012-04-22,,HOU,W,97,88,,35,85,.412,5,16,.313,30,69,.435,.441,22,24,.917,17,31,48,10,10,7,15,15,35,76,.461,7,20,.350,28,56,.500,.507,11,13,.846,7,30,37,17,9,4,19,19
65,65,2012-04-24,@,BOS,L,66,78,,28,73,.384,6,17,.353,22,56,.393,.425,4,7,.571,8,36,44,20,7,6,25,19,32,74,.432,4,12,.333,28,62,.452,.459,10,16,.625,4,34,38,15,11,6,15,11
66,66,2012-04-26,@,WAS,L,70,104,,24,67,.358,4,18,.222,20,49,.408,.388,18,24,.750,7,24,31,11,7,5,22,16,42,76,.553,5,10,.500,37,66,.561,.586,15,24,.625,7,36,43,27,15,3,16,21
,,,,,46-20,6500,6105,,2446,5212,.469,370,1030,.359,2076,4182,.496,.505,1238,1598,.775,686,2060,2746,1317,585,355,1002,1282,2285,5267,.434,479,1318,.363,1806,3949,.457,.479,1056,1457,.725,727,1897,2624,1297,549,280,1107,1356
