,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2018-10-18,@,POR,L,119,128,,45,93,.484,7,30,.233,38,63,.603,.522,22,29,.759,8,38,46,23,10,6,15,26,44,100,.440,13,37,.351,31,63,.492,.505,27,29,.931,14,40,54,21,9,10,17,26
2,2,2018-10-20,,HOU,L,115,124,,48,100,.480,8,32,.250,40,68,.588,.520,11,18,.611,9,35,44,28,8,10,11,21,44,96,.458,16,42,.381,28,54,.519,.542,20,30,.667,13,41,54,22,7,4,18,21
3,3,2018-10-22,,SAS,L,142,143,OT,55,107,.514,14,39,.359,41,68,.603,.579,18,26,.692,13,39,52,33,5,6,15,29,50,97,.515,15,28,.536,35,69,.507,.593,28,38,.737,10,37,47,32,9,3,9,26
4,4,2018-10-24,@,PHO,W,131,113,,52,100,.520,10,28,.357,42,72,.583,.570,17,23,.739,11,32,43,34,13,5,8,19,44,84,.524,10,31,.323,34,53,.642,.583,15,21,.714,9,35,44,27,4,4,20,23
5,5,2018-10-25,,DEN,W,121,114,,46,92,.500,10,29,.345,36,63,.571,.554,19,23,.826,9,33,42,27,13,3,14,19,46,92,.500,6,23,.261,40,69,.580,.533,16,20,.800,10,34,44,22,8,5,19,22
6,6,2018-10-27,@,SAS,L,106,110,,41,86,.477,13,33,.394,28,53,.528,.552,11,18,.611,7,35,42,19,5,5,17,25,44,91,.484,3,16,.188,41,75,.547,.500,19,24,.792,12,37,49,20,7,5,13,17
7,7,2018-10-29,@,MIN,L,120,124,,49,104,.471,12,33,.364,37,71,.521,.529,10,15,.667,17,31,48,24,8,8,18,24,42,98,.429,14,29,.483,28,69,.406,.500,26,30,.867,20,31,51,26,11,12,15,14
8,8,2018-10-31,,DAL,W,114,113,,43,84,.512,10,17,.588,33,67,.493,.571,18,24,.750,8,31,39,23,12,6,20,27,43,86,.500,13,29,.448,30,57,.526,.576,14,19,.737,10,30,40,24,5,5,23,24
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
9,9,2018-11-03,@,POR,W,114,110,,45,86,.523,8,21,.381,37,65,.569,.570,16,25,.640,9,41,50,20,9,11,20,22,44,104,.423,6,35,.171,38,69,.551,.452,16,22,.727,16,34,50,20,10,5,14,21
10,10,2018-11-04,,TOR,L,107,121,,39,85,.459,6,24,.250,33,61,.541,.494,23,29,.793,6,32,38,25,6,4,16,18,49,98,.500,10,35,.286,39,63,.619,.551,13,14,.929,13,36,49,32,9,4,13,24
11,11,2018-11-07,,MIN,W,114,110,,44,91,.484,15,34,.441,29,57,.509,.566,11,14,.786,12,35,47,32,6,4,16,14,41,91,.451,20,40,.500,21,51,.412,.560,8,9,.889,11,29,40,22,10,5,16,17
12,12,2018-11-10,@,SAC,W,101,86,,41,99,.414,12,38,.316,29,61,.475,.475,7,17,.412,17,42,59,23,11,3,16,20,32,92,.348,6,25,.240,26,67,.388,.380,16,20,.800,13,37,50,11,7,5,19,20
13,13,2018-11-11,,ATL,W,107,106,,39,92,.424,14,38,.368,25,54,.463,.500,15,24,.625,17,31,48,28,12,9,23,23,41,95,.432,13,37,.351,28,58,.483,.500,11,13,.846,10,34,44,25,11,4,19,23
14,14,2018-11-14,,POR,W,126,117,,44,93,.473,15,32,.469,29,61,.475,.554,23,26,.885,11,37,48,25,11,6,13,18,41,93,.441,14,33,.424,27,60,.450,.516,21,23,.913,11,36,47,24,8,10,15,21
15,15,2018-11-17,@,ORL,L,117,130,,43,90,.478,10,30,.333,33,60,.550,.533,21,25,.840,8,33,41,22,5,6,14,20,50,93,.538,11,32,.344,39,61,.639,.597,19,23,.826,11,30,41,28,5,8,13,23
16,16,2018-11-18,@,MIA,W,113,97,,42,95,.442,11,27,.407,31,68,.456,.500,18,21,.857,14,36,50,16,7,5,10,19,35,87,.402,13,32,.406,22,55,.400,.477,14,19,.737,12,36,48,20,3,5,14,21
17,17,2018-11-21,@,CLE,W,109,105,,40,78,.513,9,25,.360,31,53,.585,.571,20,28,.714,7,44,51,23,2,9,15,20,39,102,.382,13,34,.382,26,68,.382,.446,14,15,.933,15,31,46,18,3,2,3,22
18,18,2018-11-23,,UTA,W,90,83,,36,79,.456,7,23,.304,29,56,.518,.500,11,18,.611,5,42,47,10,11,5,24,20,33,85,.388,4,23,.174,29,62,.468,.412,13,17,.765,7,34,41,22,12,3,19,21
19,19,2018-11-25,,ORL,L,104,108,,37,79,.468,10,26,.385,27,53,.509,.532,20,31,.645,5,37,42,22,9,10,18,17,42,93,.452,11,31,.355,31,62,.500,.511,13,14,.929,9,36,45,31,8,5,14,22
20,20,2018-11-27,@,DEN,L,85,117,,34,87,.391,5,35,.143,29,52,.558,.420,12,18,.667,8,31,39,19,5,8,12,19,47,97,.485,9,25,.360,38,72,.528,.531,14,15,.933,16,44,60,28,7,4,12,17
21,21,2018-11-29,,IND,W,104,96,,42,86,.488,7,24,.292,35,62,.565,.529,13,23,.565,11,39,50,25,8,11,18,23,32,86,.372,10,23,.435,22,63,.349,.430,22,27,.815,10,34,44,23,14,4,17,22
22,22,2018-11-30,,DAL,W,114,103,,42,86,.488,9,30,.300,33,56,.589,.541,21,32,.656,9,38,47,23,8,3,18,29,34,86,.395,10,39,.256,24,47,.511,.453,25,34,.735,9,37,46,20,9,4,16,25
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
23,23,2018-12-02,,PHO,W,120,96,,46,92,.500,11,27,.407,35,65,.538,.560,17,23,.739,11,45,56,26,9,4,19,15,37,93,.398,13,33,.394,24,60,.400,.468,9,11,.818,7,33,40,24,12,8,16,22
24,24,2018-12-05,,SAS,W,121,113,,42,88,.477,14,39,.359,28,49,.571,.557,23,33,.697,6,36,42,21,6,3,12,18,43,96,.448,7,27,.259,36,69,.522,.484,20,20,1.000,11,38,49,18,8,2,11,24
25,25,2018-12-07,@,SAS,L,120,133,,46,100,.460,11,36,.306,35,64,.547,.515,17,21,.810,10,33,43,24,8,1,9,24,46,91,.505,13,31,.419,33,60,.550,.577,28,33,.848,9,39,48,27,4,7,10,18
26,26,2018-12-08,@,MEM,W,111,88,,43,97,.443,16,40,.400,27,57,.474,.526,9,12,.750,19,38,57,27,11,6,18,22,34,84,.405,6,30,.200,28,54,.519,.440,14,18,.778,9,27,36,17,13,7,15,19
27,27,2018-12-10,,MIA,W,108,105,,41,90,.456,14,32,.438,27,58,.466,.533,12,20,.600,12,34,46,24,9,7,12,10,42,94,.447,11,34,.324,31,60,.517,.505,10,13,.769,14,36,50,29,9,7,17,19
