,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-17,,BOS,W,102,99,,38,83,.458,5,22,.227,33,61,.541,.488,21,25,.840,9,41,50,19,3,4,17,25,36,88,.409,8,32,.250,28,56,.500,.455,19,25,.760,9,37,46,24,11,4,12,24
2,2,2017-10-20,@,MIL,W,116,97,,44,81,.543,11,26,.423,33,55,.600,.611,17,17,1.000,9,35,44,25,8,3,18,11,38,82,.463,11,35,.314,27,47,.574,.530,10,12,.833,8,22,30,23,9,2,15,17
3,3,2017-10-21,,ORL,L,93,114,,33,86,.384,7,25,.280,26,61,.426,.424,20,27,.741,11,33,44,15,4,7,16,14,40,90,.444,17,35,.486,23,55,.418,.539,17,20,.850,12,38,50,28,7,6,12,28
4,4,2017-10-24,,CHI,W,119,112,,43,83,.518,16,38,.421,27,45,.600,.614,17,22,.773,8,31,39,28,5,3,9,14,42,88,.477,17,33,.515,25,55,.455,.574,11,13,.846,8,31,39,28,3,3,12,20
5,5,2017-10-25,@,BRK,L,107,112,,39,81,.481,12,35,.343,27,46,.587,.556,17,26,.654,9,38,47,21,5,7,21,17,40,93,.430,17,46,.370,23,47,.489,.522,15,21,.714,10,28,38,22,11,3,13,22
6,6,2017-10-28,@,NOP,L,101,123,,36,78,.462,12,32,.375,24,46,.522,.538,17,23,.739,5,32,37,19,8,2,18,19,49,95,.516,13,33,.394,36,62,.581,.584,12,16,.750,10,37,47,33,10,4,11,20
7,7,2017-10-29,,NYK,L,95,114,,31,81,.383,10,33,.303,21,48,.438,.444,23,27,.852,7,34,41,20,5,5,15,23,42,89,.472,13,28,.464,29,61,.475,.545,17,21,.810,11,40,51,27,9,6,14,26
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
8,8,2017-11-01,,IND,L,107,124,,43,86,.500,7,31,.226,36,55,.655,.541,14,20,.700,8,33,41,25,6,3,16,19,49,90,.544,16,26,.615,33,64,.516,.633,10,13,.769,8,35,43,35,9,1,14,23
9,9,2017-11-03,@,WAS,W,130,122,,46,82,.561,12,27,.444,34,55,.618,.634,26,28,.929,8,26,34,20,11,4,15,27,45,84,.536,11,28,.393,34,56,.607,.601,21,31,.677,9,28,37,25,5,2,16,24
