,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2008-10-28,@,BOS,L,85,90,,29,68,.426,3,15,.200,26,53,.491,.449,24,33,.727,8,33,41,16,8,2,22,26,33,74,.446,3,14,.214,30,60,.500,.466,21,34,.618,10,26,36,16,10,0,17,28
2,2,2008-10-30,,CHA,W,96,79,,35,72,.486,7,22,.318,28,50,.560,.535,19,29,.655,13,33,46,23,7,11,15,23,25,74,.338,3,12,.250,22,62,.355,.358,26,31,.839,14,20,34,16,6,4,13,24
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
3,3,2008-11-01,@,NOH,L,92,104,,36,75,.480,9,22,.409,27,53,.509,.540,11,19,.579,7,29,36,21,5,4,18,24,36,76,.474,7,13,.538,29,63,.460,.520,25,29,.862,9,27,36,25,9,2,14,19
4,4,2008-11-03,@,DAL,W,100,81,,35,79,.443,5,14,.357,30,65,.462,.475,25,32,.781,18,34,52,19,11,6,11,23,29,71,.408,3,15,.200,26,56,.464,.430,20,26,.769,9,26,35,16,5,3,14,20
5,5,2008-11-05,,CHI,W,107,93,,37,82,.451,5,15,.333,32,67,.478,.482,28,33,.848,11,35,46,17,9,5,13,20,31,79,.392,8,21,.381,23,58,.397,.443,23,27,.852,8,27,35,21,7,4,13,21
6,6,2008-11-07,,IND,W,111,107,,40,77,.519,7,20,.350,33,57,.579,.565,24,28,.857,7,23,30,22,9,10,16,19,43,90,.478,10,25,.400,33,65,.508,.533,11,11,1.000,19,25,44,28,7,4,24,25
7,7,2008-11-08,@,CHI,W,106,97,,38,82,.463,6,16,.375,32,66,.485,.500,24,28,.857,12,24,36,18,6,5,12,20,36,85,.424,5,13,.385,31,72,.431,.453,20,23,.870,17,21,38,17,5,9,14,21
8,8,2008-11-11,,MIL,W,99,93,,35,72,.486,3,20,.150,32,52,.615,.507,26,32,.813,8,28,36,20,7,6,10,23,30,79,.380,7,16,.438,23,63,.365,.424,26,31,.839,17,28,45,16,3,2,17,26
9,9,2008-11-13,,DEN,W,110,99,,47,82,.573,6,16,.375,41,66,.621,.610,10,12,.833,8,26,34,30,8,2,9,20,35,73,.479,8,19,.421,27,54,.500,.534,21,24,.875,8,25,33,16,7,2,14,18
10,10,2008-11-15,,UTA,W,105,93,,36,79,.456,11,29,.379,25,50,.500,.525,22,26,.846,14,26,40,21,10,6,12,21,33,72,.458,8,13,.615,25,59,.424,.514,19,24,.792,10,27,37,18,6,6,18,21
11,11,2008-11-18,@,NJN,W,106,82,,33,75,.440,10,17,.588,23,58,.397,.507,30,40,.750,13,37,50,20,6,8,12,23,29,79,.367,2,14,.143,27,65,.415,.380,22,30,.733,12,27,39,12,5,3,13,31
12,12,2008-11-19,@,DET,L,89,96,,31,73,.425,8,22,.364,23,51,.451,.479,19,25,.760,9,29,38,13,8,6,14,19,38,75,.507,5,12,.417,33,63,.524,.540,15,18,.833,6,29,35,19,7,1,12,20
13,13,2008-11-22,,ATL,W,110,96,,41,81,.506,7,21,.333,34,60,.567,.549,21,23,.913,11,30,41,20,3,4,9,18,36,81,.444,7,13,.538,29,68,.426,.488,17,24,.708,12,25,37,18,2,3,9,16
14,14,2008-11-25,@,NYK,W,119,101,,48,91,.527,10,33,.303,38,58,.655,.582,13,20,.650,12,36,48,22,9,8,9,15,36,87,.414,13,37,.351,23,50,.460,.489,16,20,.800,13,30,43,21,4,1,17,16
15,15,2008-11-26,,OKC,W,117,82,,45,74,.608,5,13,.385,40,61,.656,.642,22,32,.688,8,38,46,27,3,10,15,19,29,82,.354,2,9,.222,27,73,.370,.366,22,31,.710,9,19,28,17,11,6,12,22
16,16,2008-11-28,,GSW,W,112,97,,43,92,.467,9,25,.360,34,67,.507,.516,17,23,.739,16,36,52,22,9,5,13,22,33,83,.398,4,16,.250,29,67,.433,.422,27,33,.818,11,31,42,13,10,9,14,19
17,17,2008-11-29,@,MIL,W,97,85,,39,94,.415,5,22,.227,34,72,.472,.441,14,19,.737,19,34,53,22,8,3,11,21,29,74,.392,6,16,.375,23,58,.397,.432,21,23,.913,7,31,38,19,6,4,18,19
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
18,18,2008-12-03,,NYK,W,118,82,,43,85,.506,6,21,.286,37,64,.578,.541,26,30,.867,11,37,48,21,18,8,17,15,32,83,.386,10,34,.294,22,49,.449,.446,8,10,.800,13,26,39,16,8,3,28,23
19,19,2008-12-05,,IND,W,97,73,,38,74,.514,7,22,.318,31,52,.596,.561,14,19,.737,9,34,43,28,7,10,11,20,29,72,.403,4,12,.333,25,60,.417,.431,11,15,.733,9,26,35,18,4,0,17,16
20,20,2008-12-06,@,CHA,W,94,74,,32,69,.464,9,16,.563,23,53,.434,.529,21,27,.778,10,29,39,16,9,10,18,25,25,69,.362,3,14,.214,22,55,.400,.384,21,28,.750,11,23,34,17,10,3,19,21
