,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
9,9,2012-11-14,@,LAC,L,100,107,,35,77,.455,9,21,.429,26,56,.464,.513,21,29,.724,11,25,36,22,11,6,19,25,35,72,.486,10,21,.476,25,51,.490,.556,27,32,.844,9,29,38,22,11,8,19,25
10,10,2012-11-15,@,DEN,W,98,93,,36,77,.468,13,27,.481,23,50,.460,.552,13,16,.813,5,24,29,24,5,9,11,14,37,88,.420,6,20,.300,31,68,.456,.455,13,19,.684,21,27,48,19,6,7,14,20
11,11,2012-11-17,@,PHO,W,97,88,,38,71,.535,8,19,.421,30,52,.577,.592,13,19,.684,4,32,36,20,10,3,19,21,34,79,.430,5,18,.278,29,61,.475,.462,15,21,.714,9,29,38,16,13,3,17,18
12,12,2012-11-21,,MIL,W,113,106,OT,41,86,.477,8,18,.444,33,68,.485,.523,23,33,.697,12,42,54,25,7,4,17,13,46,109,.422,5,29,.172,41,80,.513,.445,9,12,.750,16,31,47,18,9,3,11,21
13,13,2012-11-24,,CLE,W,110,108,,36,69,.522,9,19,.474,27,50,.540,.587,29,37,.784,9,30,39,21,5,5,18,25,35,79,.443,14,31,.452,21,48,.438,.532,24,33,.727,10,22,32,21,9,0,11,29
14,14,2012-11-29,,SAS,W,105,100,,42,86,.488,5,13,.385,37,73,.507,.517,16,19,.842,7,30,37,22,11,2,10,18,36,80,.450,10,30,.333,26,50,.520,.513,18,24,.750,11,34,45,22,5,2,20,20
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
15,15,2012-12-01,,BRK,W,102,89,,40,78,.513,7,20,.350,33,58,.569,.558,15,19,.789,8,27,35,20,12,3,10,25,33,75,.440,6,28,.214,27,47,.574,.480,17,27,.630,9,29,38,20,6,4,19,21
16,16,2012-12-04,@,WAS,L,101,105,,41,89,.461,8,28,.286,33,61,.541,.506,11,16,.688,12,31,43,27,6,2,12,20,38,79,.481,7,19,.368,31,60,.517,.525,22,29,.759,8,36,44,31,7,3,12,14
17,17,2012-12-06,,NYK,L,92,112,,32,76,.421,6,16,.375,26,60,.433,.461,22,28,.786,7,36,43,17,7,4,14,21,41,91,.451,18,44,.409,23,47,.489,.549,12,19,.632,11,35,46,20,9,4,7,19
18,18,2012-12-08,,NOH,W,106,90,,40,69,.580,7,11,.636,33,58,.569,.630,19,24,.792,2,31,33,23,12,7,16,18,35,78,.449,8,18,.444,27,60,.450,.500,12,13,.923,9,25,34,16,5,3,19,23
19,19,2012-12-10,,ATL,W,101,92,,39,67,.582,9,21,.429,30,46,.652,.649,14,22,.636,2,30,32,23,10,3,16,18,32,75,.427,9,28,.321,23,47,.489,.487,19,20,.950,8,24,32,16,8,1,14,16
20,20,2012-12-12,,GSW,L,95,97,,38,80,.475,7,22,.318,31,58,.534,.519,12,15,.800,6,32,38,18,6,3,18,13,38,82,.463,9,24,.375,29,58,.500,.518,12,14,.857,8,33,41,20,9,2,15,14
21,21,2012-12-15,,WAS,W,102,72,,40,79,.506,8,27,.296,32,52,.615,.557,14,21,.667,11,32,43,25,9,2,12,15,27,72,.375,7,20,.350,20,52,.385,.424,11,15,.733,10,30,40,16,8,0,21,18
22,22,2012-12-18,,MIN,W,103,92,,36,77,.468,13,25,.520,23,52,.442,.552,18,23,.783,6,18,24,25,12,14,9,18,37,86,.430,4,17,.235,33,69,.478,.453,14,19,.737,18,35,53,18,5,1,20,21
23,23,2012-12-20,@,DAL,W,110,95,,42,78,.538,10,28,.357,32,50,.640,.603,16,18,.889,8,39,47,25,8,4,20,14,37,96,.385,3,22,.136,34,74,.459,.401,18,21,.857,13,23,36,23,10,6,9,17
24,24,2012-12-22,,UTA,W,105,89,,38,73,.521,11,24,.458,27,49,.551,.596,18,22,.818,6,33,39,23,12,5,16,19,30,73,.411,7,16,.438,23,57,.404,.459,22,26,.846,11,27,38,18,10,2,20,18
25,25,2012-12-25,,OKC,W,103,97,,38,80,.475,8,28,.286,30,52,.577,.525,19,19,1.000,9,25,34,20,6,5,14,26,30,71,.423,5,16,.313,25,55,.455,.458,32,38,.842,11,28,39,14,8,1,17,25
26,26,2012-12-26,@,CHA,W,105,92,,37,81,.457,12,23,.522,25,58,.431,.531,19,25,.760,9,35,44,21,9,5,13,25,34,78,.436,5,14,.357,29,64,.453,.468,19,28,.679,10,32,42,18,6,6,17,22
27,27,2012-12-28,@,DET,L,99,109,,39,77,.506,9,29,.310,30,48,.625,.565,12,16,.750,10,25,35,18,6,5,14,16,43,74,.581,12,19,.632,31,55,.564,.662,11,17,.647,7,31,38,24,6,2,14,20
28,28,2012-12-29,@,MIL,L,85,104,,33,76,.434,4,13,.308,29,63,.460,.461,15,24,.625,13,38,51,18,3,5,21,17,40,98,.408,8,21,.381,32,77,.416,.449,16,17,.941,14,31,45,29,17,8,6,19
29,29,2012-12-31,@,ORL,W,112,110,OT,40,85,.471,6,21,.286,34,64,.531,.506,26,35,.743,9,24,33,24,9,3,7,17,42,88,.477,8,23,.348,34,65,.523,.523,18,22,.818,18,32,50,24,5,4,17,24
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
30,30,2013-01-02,,DAL,W,119,109,OT,42,89,.472,10,26,.385,32,63,.508,.528,25,31,.806,7,39,46,21,12,8,10,16,41,94,.436,10,28,.357,31,66,.470,.489,17,20,.850,8,39,47,19,7,5,14,24
31,31,2013-01-04,,CHI,L,89,96,,30,65,.462,5,20,.250,25,45,.556,.500,24,31,.774,4,24,28,17,8,2,12,22,36,80,.450,5,14,.357,31,66,.470,.481,19,24,.792,19,29,48,22,7,2,15,20
32,32,2013-01-06,,WAS,W,99,71,,38,82,.463,8,21,.381,30,61,.492,.512,15,16,.938,10,40,50,20,6,8,9,12,29,81,.358,6,21,.286,23,60,.383,.395,7,14,.500,10,29,39,20,7,2,8,15
33,33,2013-01-08,@,IND,L,77,87,,28,68,.412,8,19,.421,20,49,.408,.471,13,18,.722,7,29,36,13,5,10,14,21,33,91,.363,9,22,.409,24,69,.348,.412,12,19,.632,22,33,55,20,9,2,9,21
34,34,2013-01-10,@,POR,L,90,92,,35,77,.455,6,19,.316,29,58,.500,.494,14,20,.700,8,37,45,20,9,6,17,21,30,80,.375,9,27,.333,21,53,.396,.431,23,30,.767,11,34,45,18,10,2,14,15
35,35,2013-01-12,@,SAC,W,128,99,,45,80,.563,17,37,.459,28,43,.651,.669,21,24,.875,10,26,36,35,11,11,10,19,38,87,.437,9,18,.500,29,69,.420,.489,14,19,.737,16,24,40,23,4,2,17,19
36,36,2013-01-14,@,UTA,L,97,104,,39,72,.542,9,23,.391,30,49,.612,.604,10,16,.625,5,18,23,25,8,4,15,24,36,76,.474,8,18,.444,28,58,.483,.526,24,28,.857,13,27,40,25,9,2,16,20
37,37,2013-01-16,@,GSW,W,92,75,,36,90,.400,8,29,.276,28,61,.459,.444,12,18,.667,13,38,51,24,11,5,13,22,29,80,.363,3,12,.250,26,68,.382,.381,14,18,.778,11,41,52,17,5,2,21,21
38,38,2013-01-17,@,LAL,W,99,90,,40,83,.482,2,13,.154,38,70,.543,.494,17,23,.739,4,31,35,22,14,2,6,27,31,72,.431,10,22,.455,21,50,.420,.500,18,28,.643,8,34,42,22,3,1,20,23
39,39,2013-01-23,,TOR,W,123,116,OT,45,82,.549,9,22,.409,36,60,.600,.604,24,38,.632,16,37,53,26,5,3,14,21,44,88,.500,14,31,.452,30,57,.526,.580,14,18,.778,7,21,28,26,8,1,9,30
40,40,2013-01-25,,DET,W,110,88,,43,77,.558,5,17,.294,38,60,.633,.591,19,23,.826,9,27,36,24,12,4,12,17,34,72,.472,4,12,.333,30,60,.500,.500,16,23,.696,12,23,35,11,9,2,19,18
41,41,2013-01-27,@,BOS,L,98,100,2OT,39,96,.406,5,23,.217,34,73,.466,.432,15,20,.750,17,36,53,19,6,6,21,27,36,88,.409,5,20,.250,31,68,.456,.438,23,27,.852,8,38,46,24,11,8,17,20
42,42,2013-01-30,@,BRK,W,105,85,,43,83,.518,11,19,.579,32,64,.500,.584,8,14,.571,13,25,38,21,10,3,15,20,31,69,.449,5,17,.294,26,52,.500,.486,18,24,.750,10,24,34,20,7,6,19,13
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
43,43,2013-02-01,@,IND,L,89,102,,33,70,.471,5,14,.357,28,56,.500,.507,18,24,.750,6,19,25,21,7,6,11,22,39,70,.557,7,17,.412,32,53,.604,.607,17,24,.708,8,26,34,21,5,3,17,22
44,44,2013-02-03,@,TOR,W,100,85,,40,75,.533,3,12,.250,37,63,.587,.553,17,23,.739,7,27,34,19,10,4,13,23,28,75,.373,4,18,.222,24,57,.421,.400,25,32,.781,14,24,38,15,10,3,15,24
45,45,2013-02-04,,CHA,W,99,94,,41,81,.506,1,12,.083,40,69,.580,.512,16,24,.667,12,27,39,23,6,5,11,18,34,80,.425,8,25,.320,26,55,.473,.475,18,20,.900,12,28,40,13,8,5,16,24
46,46,2013-02-06,,HOU,W,114,108,,40,82,.488,10,23,.435,30,59,.508,.549,24,28,.857,8,30,38,23,9,6,10,16,39,80,.488,9,25,.360,30,55,.545,.544,21,25,.840,8,31,39,19,6,2,16,26
47,47,2013-02-08,,LAC,W,111,89,,36,68,.529,15,27,.556,21,41,.512,.640,24,32,.750,8,28,36,22,11,4,14,21,34,77,.442,7,16,.438,27,61,.443,.487,14,19,.737,11,24,35,23,9,5,19,24
48,48,2013-02-10,,LAL,W,107,97,,44,80,.550,6,16,.375,38,64,.594,.588,13,14,.929,10,28,38,19,10,6,11,27,35,70,.500,7,12,.583,28,58,.483,.550,20,26,.769,5,24,29,16,9,3,15,17
49,49,2013-02-12,,POR,W,117,104,,43,74,.581,8,19,.421,35,55,.636,.635,23,27,.852,10,22,32,22,9,7,9,21,39,73,.534,8,24,.333,31,49,.633,.589,18,20,.900,4,21,25,15,3,2,15,18
50,50,2013-02-14,@,OKC,W,110,100,,41,88,.466,11,29,.379,30,59,.508,.528,17,22,.773,13,33,46,23,10,4,14,29,32,73,.438,3,13,.231,29,60,.483,.459,33,34,.971,5,30,35,16,5,5,16,23
51,51,2013-02-20,@,ATL,W,103,90,,37,78,.474,10,23,.435,27,55,.491,.538,19,25,.760,5,28,33,23,11,1,11,15,36,72,.500,7,26,.269,29,46,.630,.549,11,16,.688,5,37,42,28,6,2,21,20
52,52,2013-02-21,@,CHI,W,86,67,,37,73,.507,3,13,.231,34,60,.567,.527,9,14,.643,8,28,36,20,14,6,18,15,28,75,.373,2,10,.200,26,65,.400,.387,9,11,.818,13,26,39,20,10,4,27,15
53,53,2013-02-23,@,PHI,W,114,90,,45,77,.584,9,21,.429,36,56,.643,.643,15,18,.833,5,32,37,27,9,2,7,10,35,78,.449,11,28,.393,24,50,.480,.519,9,10,.900,7,25,32,25,1,3,12,15
54,54,2013-02-24,,CLE,W,109,105,,39,75,.520,12,19,.632,27,56,.482,.600,19,24,.792,6,28,34,23,8,9,12,17,39,78,.500,8,20,.400,31,58,.534,.551,19,24,.792,9,26,35,18,7,4,11,19
55,55,2013-02-26,,SAC,W,141,129,2OT,56,101,.554,10,23,.435,46,78,.590,.604,19,24,.792,8,33,41,35,13,9,13,22,48,93,.516,14,27,.519,34,66,.515,.591,19,26,.731,14,26,40,33,12,5,19,25
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
56,56,2013-03-01,,MEM,W,98,91,,34,73,.466,10,19,.526,24,54,.444,.534,20,27,.741,5,30,35,26,7,3,9,19,33,77,.429,4,13,.308,29,64,.453,.455,21,27,.778,10,28,38,23,4,3,12,24
57,57,2013-03-03,@,NYK,W,99,93,,39,84,.464,8,20,.400,31,64,.484,.512,13,19,.684,10,31,41,20,10,4,16,20,32,74,.432,8,29,.276,24,45,.533,.486,21,26,.808,9,31,40,18,9,4,18,19
58,58,2013-03-04,@,MIN,W,97,81,,38,74,.514,5,21,.238,33,53,.623,.547,16,19,.842,9,39,48,22,11,5,24,15,33,88,.375,5,20,.250,28,68,.412,.403,10,15,.667,15,24,39,23,14,3,19,18
59,59,2013-03-06,,ORL,W,97,96,,32,74,.432,6,28,.214,26,46,.565,.473,27,31,.871,7,26,33,20,11,7,16,17,40,89,.449,6,28,.214,34,61,.557,.483,10,12,.833,15,30,45,26,10,3,18,30
60,60,2013-03-08,,PHI,W,102,93,,42,79,.532,8,21,.381,34,58,.586,.582,10,13,.769,10,29,39,23,10,7,15,9,37,77,.481,10,21,.476,27,56,.482,.545,9,11,.818,6,27,33,22,10,3,17,20
61,61,2013-03-10,,IND,W,105,91,,38,68,.559,7,14,.500,31,54,.574,.610,22,31,.710,4,24,28,20,10,5,12,29,26,63,.413,10,27,.370,16,36,.444,.492,29,34,.853,6,27,33,14,8,1,18,23
62,62,2013-03-12,,ATL,W,98,81,,35,82,.427,6,20,.300,29,62,.468,.463,22,30,.733,14,31,45,27,14,4,16,14,33,78,.423,5,22,.227,28,56,.500,.455,10,14,.714,10,33,43,19,11,1,24,25
63,63,2013-03-13,@,PHI,W,98,94,,35,75,.467,5,20,.250,30,55,.545,.500,23,27,.852,10,29,39,25,7,6,13,10,40,85,.471,7,18,.389,33,67,.493,.512,7,12,.583,13,27,40,29,10,3,13,22
64,64,2013-03-15,@,MIL,W,107,94,,41,79,.519,7,15,.467,34,64,.531,.563,18,22,.818,8,33,41,24,7,5,12,13,33,89,.371,9,25,.360,24,64,.375,.421,19,21,.905,19,29,48,18,6,4,10,16
65,65,2013-03-17,@,TOR,W,108,91,,39,67,.582,10,22,.455,29,45,.644,.657,20,29,.690,2,24,26,31,8,2,12,14,39,94,.415,2,20,.100,37,74,.500,.426,11,12,.917,24,27,51,15,5,2,16,21
66,66,2013-03-18,@,BOS,W,105,103,,42,85,.494,7,20,.350,35,65,.538,.535,14,21,.667,10,29,39,25,11,7,16,18,39,72,.542,10,21,.476,29,51,.569,.611,15,24,.625,4,29,33,24,9,7,21,26
67,67,2013-03-20,@,CLE,W,98,95,,32,72,.444,12,29,.414,20,43,.465,.528,22,30,.733,11,23,34,21,9,6,13,20,37,81,.457,7,21,.333,30,60,.500,.500,14,17,.824,15,27,42,20,8,2,17,25
68,68,2013-03-22,,DET,W,103,89,,38,68,.559,8,15,.533,30,53,.566,.618,19,26,.731,4,29,33,21,15,6,20,14,34,83,.410,7,22,.318,27,61,.443,.452,14,18,.778,18,29,47,21,9,5,22,24
69,69,2013-03-24,,CHA,W,109,77,,38,76,.500,13,30,.433,25,46,.543,.586,20,23,.870,4,44,48,28,9,10,10,16,30,89,.337,5,25,.200,25,64,.391,.365,12,18,.667,14,31,45,9,8,2,13,20
70,70,2013-03-25,@,ORL,W,108,94,,37,78,.474,15,28,.536,22,50,.440,.571,19,29,.655,11,33,44,31,7,6,12,14,37,86,.430,9,24,.375,28,62,.452,.483,11,18,.611,10,33,43,25,9,6,13,18
71,71,2013-03-27,@,CHI,L,97,101,,37,77,.481,7,20,.350,30,57,.526,.526,16,23,.696,6,25,31,15,11,12,13,17,40,85,.471,8,22,.364,32,63,.508,.518,13,18,.722,12,31,43,27,9,3,20,18
72,72,2013-03-29,@,NOH,W,108,89,,42,69,.609,14,27,.519,28,42,.667,.710,10,16,.625,3,24,27,30,11,3,14,19,34,74,.459,5,18,.278,29,56,.518,.493,16,18,.889,11,23,34,19,8,3,19,21
73,73,2013-03-31,@,SAS,W,88,86,,33,71,.465,12,28,.429,21,43,.488,.549,10,15,.667,3,30,33,23,7,8,11,15,35,79,.443,7,24,.292,28,55,.509,.487,9,16,.563,13,36,49,26,7,2,17,13
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
74,74,2013-04-02,,NYK,L,90,102,,30,60,.500,8,20,.400,22,40,.550,.567,22,27,.815,7,25,32,18,7,3,20,19,37,71,.521,14,27,.519,23,44,.523,.620,14,20,.700,6,18,24,17,8,3,14,25
75,75,2013-04-05,@,CHA,W,89,79,,31,69,.449,13,33,.394,18,36,.500,.543,14,17,.824,11,30,41,26,6,8,21,17,28,88,.318,3,16,.188,25,72,.347,.335,20,22,.909,23,23,46,13,11,4,13,11
76,76,2013-04-06,,PHI,W,106,87,,40,83,.482,14,25,.560,26,58,.448,.566,12,14,.857,11,37,48,25,5,3,11,16,33,82,.402,6,20,.300,27,62,.435,.439,15,20,.750,12,29,41,12,6,2,11,14
77,77,2013-04-09,,MIL,W,94,83,,38,88,.432,8,35,.229,30,53,.566,.477,10,10,1.000,14,35,49,22,12,3,18,13,33,75,.440,9,25,.360,24,50,.480,.500,8,14,.571,5,32,37,19,13,2,20,15
78,78,2013-04-10,@,WAS,W,103,98,,33,75,.440,17,41,.415,16,34,.471,.553,20,23,.870,12,35,47,19,7,6,25,18,36,80,.450,11,23,.478,25,57,.439,.519,15,21,.714,9,25,34,19,15,5,16,20
79,79,2013-04-12,,BOS,W,109,101,,39,71,.549,12,23,.522,27,48,.563,.634,19,28,.679,5,32,37,28,6,5,17,14,41,85,.482,6,23,.261,35,62,.565,.518,13,13,1.000,9,25,34,15,9,1,13,18
80,80,2013-04-14,,CHI,W,105,93,,36,70,.514,6,17,.353,30,53,.566,.557,27,41,.659,4,40,44,23,7,8,15,27,29,82,.354,11,26,.423,18,56,.321,.421,24,31,.774,11,34,45,16,7,1,14,30
81,81,2013-04-15,@,CLE,W,96,95,,33,66,.500,13,28,.464,20,38,.526,.598,17,27,.630,10,35,45,25,2,8,18,19,39,86,.453,5,13,.385,34,73,.466,.483,12,19,.632,13,25,38,20,8,5,6,22
82,82,2013-04-17,,ORL,W,105,93,,42,78,.538,12,29,.414,30,49,.612,.615,9,19,.474,6,28,34,31,7,12,12,18,40,77,.519,2,14,.143,38,63,.603,.532,11,25,.440,8,33,41,23,5,1,15,22
,,,,,66-16,8436,7791,,3148,6348,.496,717,1809,.396,2431,4539,.536,.552,1423,1887,.754,676,2490,3166,1890,710,441,1143,1533,2919,6633,.440,624,1783,.350,2295,4850,.473,.487,1329,1735,.766,921,2369,3290,1655,649,262,1280,1673
