,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2012-10-30,,BOS,W,120,107,,43,79,.544,8,16,.500,35,63,.556,.595,26,32,.813,5,31,36,25,8,5,8,20,39,75,.520,6,13,.462,33,62,.532,.560,23,28,.821,7,34,41,24,4,2,16,23
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
2,2,2012-11-02,@,NYK,L,84,104,,33,71,.465,7,20,.350,26,51,.510,.514,11,13,.846,7,34,41,18,4,5,21,18,36,84,.429,19,36,.528,17,48,.354,.542,13,15,.867,13,28,41,27,10,0,14,22
3,3,2012-11-03,,DEN,W,119,116,,43,83,.518,10,25,.400,33,58,.569,.578,23,27,.852,7,25,32,26,9,8,8,16,49,95,.516,5,21,.238,44,74,.595,.542,13,20,.650,18,29,47,13,5,3,15,21
4,4,2012-11-05,,PHO,W,124,99,,47,86,.547,15,26,.577,32,60,.533,.634,15,19,.789,7,42,49,33,7,4,15,22,35,88,.398,7,21,.333,28,67,.418,.438,22,29,.759,10,28,38,22,11,7,12,19
5,5,2012-11-07,,BRK,W,103,73,,40,77,.519,10,24,.417,30,53,.566,.584,13,16,.813,8,32,40,25,8,5,12,18,30,80,.375,3,21,.143,27,59,.458,.394,10,17,.588,13,27,40,12,7,1,19,15
6,6,2012-11-09,@,ATL,W,95,89,,37,76,.487,7,22,.318,30,54,.556,.533,14,16,.875,8,28,36,22,8,2,15,22,34,81,.420,9,25,.360,25,56,.446,.475,12,16,.750,7,29,36,20,4,5,13,16
7,7,2012-11-11,@,MEM,L,86,104,,30,79,.380,4,15,.267,26,64,.406,.405,22,36,.611,15,28,43,18,8,6,14,16,38,86,.442,14,24,.583,24,62,.387,.523,14,16,.875,11,32,43,26,8,4,15,22
8,8,2012-11-12,@,HOU,W,113,110,,45,89,.506,10,21,.476,35,68,.515,.562,13,20,.650,13,31,44,26,4,4,11,24,36,80,.450,12,34,.353,24,46,.522,.525,26,33,.788,11,29,40,25,5,6,11,20
