,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-10-29,,CHI,W,107,95,,37,72,.514,11,20,.550,26,52,.500,.590,22,29,.759,5,35,40,26,10,7,20,21,35,83,.422,7,26,.269,28,57,.491,.464,18,23,.783,11,30,41,23,11,4,19,27
2,2,2013-10-30,@,PHI,L,110,114,,42,85,.494,16,40,.400,26,45,.578,.588,10,13,.769,7,24,31,30,7,0,19,25,43,80,.538,8,21,.381,35,59,.593,.588,20,24,.833,8,32,40,24,16,1,18,21
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
3,3,2013-11-01,@,BRK,L,100,101,,32,67,.478,7,14,.500,25,53,.472,.530,29,36,.806,4,26,30,24,10,2,16,29,33,68,.485,8,16,.500,25,52,.481,.544,27,39,.692,7,33,40,21,5,5,19,29
4,4,2013-11-03,,WAS,W,103,93,,37,70,.529,11,27,.407,26,43,.605,.607,18,27,.667,8,24,32,32,9,6,17,18,35,82,.427,12,30,.400,23,52,.442,.500,11,16,.688,17,24,41,22,8,2,21,26
5,5,2013-11-05,@,TOR,W,104,95,,41,83,.494,10,23,.435,31,60,.517,.554,12,14,.857,10,28,38,31,7,4,13,27,31,72,.431,6,21,.286,25,51,.490,.472,27,33,.818,13,27,40,15,4,1,15,21
6,6,2013-11-07,,LAC,W,102,97,,38,71,.535,5,16,.313,33,55,.600,.570,21,33,.636,8,22,30,27,6,3,16,23,36,73,.493,8,24,.333,28,49,.571,.548,17,21,.810,9,29,38,22,8,1,19,30
7,7,2013-11-09,,BOS,L,110,111,,41,71,.577,5,10,.500,36,61,.590,.613,23,34,.676,4,27,31,26,4,7,10,13,46,89,.517,10,21,.476,36,68,.529,.573,9,12,.750,11,28,39,24,4,5,14,25
8,8,2013-11-12,,MIL,W,118,95,,46,79,.582,12,23,.522,34,56,.607,.658,14,24,.583,5,35,40,29,9,7,14,17,33,79,.418,11,30,.367,22,49,.449,.487,18,21,.857,8,26,34,19,10,1,18,15
