"Player","Season(s)","Team(s)","GP","PTS","REB","AST","Win%"
"Devin Brown","1: 2007-08","Cavaliers",79,7.4,3.4,2.2,"62.0%"
"Gabe Vincent","2: 2023-24 to 2024-25","Lakers",79,5.3,1.3,1.3,"62.0%"
"Kevin Ollie","1: 2003-04","Cavaliers",79,4,1.9,2.8,"41.8%"
"Markieff Morris","3: 2019-20 to 2024-25","Lakers",77,5.3,3.3,0.9,"61.0%"
"Cedi Osman","1: 2017-18","Cavaliers",75,3.4,1.7,0.6,"53.3%"
"Taurean Prince","1: 2023-24","Lakers",74,8.4,2.8,1.4,"55.4%"
"Joe Smith","2: 2007-08 to 2008-09","Cavaliers",73,6.9,4.6,0.6,"67.1%"
"Carlos Boozer","1: 2003-04","Cavaliers",72,15.3,11.3,1.9,"44.4%"
"Robert Traylor","1: 2004-05","Cavaliers",72,5.4,4.4,0.8,"52.8%"
"Lucious Harris","1: 2004-05","Cavaliers",71,4.2,1.6,0.6,"52.1%"
"Jose Calderon","1: 2017-18","Cavaliers",70,4,1.4,1.8,"54.3%"
"Cam Reddish","2: 2023-24 to 2024-25","Lakers",69,4.4,2.1,0.8,"53.6%"
"Dalton Knecht","1: 2024-25","Lakers",67,8.1,2.5,0.8,"62.7%"
"Michael Beasley","2: 2013-14 to 2018-19","Lakers, Heat",66,6.7,2.7,0.6,"62.1%"
"Jamario Moon","1: 2009-10","Cavaliers",66,4.2,2.8,0.7,"80.3%"
"Jared Dudley","2: 2019-20 to 2020-21","Lakers",65,1.1,1.1,0.5,"66.2%"
"Shaquille O'Neal","1: 2009-10","Cavaliers",64,11.9,6.5,1.5,"71.9%"
"Wenyen Gabriel","2: 2021-22 to 2022-23","Lakers",64,4.5,3.2,0.4,"53.1%"
"Quinn Cook","2: 2019-20 to 2020-21","Lakers",64,4.1,0.9,0.9,"73.4%"
"Troy Brown, Jr.","1: 2022-23","Lakers",63,5.9,3.6,1,"55.6%"
"Eddie House","1: 2010-11","Heat",60,5.2,1.5,1,"68.3%"
"Jawad Williams","2: 2008-09 to 2009-10","Cavaliers",60,3.3,1.1,0.5,"80.0%"
"Tarence Kinsey","1: 2008-09","Cavaliers",58,1.8,0.7,0.1,"84.5%"
"Dwayne Jones","2: 2006-07 to 2007-08","Cavaliers",57,0.9,1.8,0.1,"61.4%"
"DeAndre Liggins","2: 2013-14 to 2016-17","Cavaliers, Heat",56,2.3,1.5,0.8,"71.4%"
"Shawn Marion","1: 2014-15","Cavaliers",55,4.2,3,0.8,"69.1%"
"Jae Crowder","1: 2017-18","Cavaliers",53,8.6,3.3,1.1,"58.5%"
"Dajuan Wagner","2: 2003-04 to 2004-05","Cavaliers",52,5.4,1,1.2,"51.9%"
"Joe Harris","2: 2014-15 to 2015-16","Cavaliers",52,1.9,0.7,0.4,"76.9%"
"Malik Monk","1: 2021-22","Lakers",51,12.8,3.2,2.6,"47.1%"
"Alan Henderson","1: 2005-06","Cavaliers",51,2.5,2.7,0.2,"56.9%"
"Lonnie Walker","1: 2022-23","Lakers",50,9.7,1.7,1.1,"46.0%"
"Erick Dampier","1: 2010-11","Heat",50,2.5,3.4,0.4,"72.0%"
"Montrezl Harrell","1: 2020-21","Lakers",49,13,5.9,1,"61.2%"
"Josh Hart","1: 2018-19","Lakers",48,7.7,2.9,1.1,"52.1%"
"Tony Battie","1: 2003-04","Cavaliers",48,5.3,4.7,0.8,"50.0%"
"Jordan McRae","2: 2015-16 to 2016-17","Cavaliers",48,3.4,1,0.5,"79.2%"
"Jordan Clarkson","1: 2017-18","Cavaliers",47,9.4,1.9,1.3,"63.8%"
"Eric Williams","1: 2003-04","Cavaliers",47,9,3.9,1.8,"51.1%"
"Carlos Arroyo","1: 2010-11","Heat",47,5.6,1.7,2,"74.5%"
"Carmelo Anthony","1: 2021-22","Lakers",46,13.4,4.1,0.9,"45.7%"
"Lance Stephenson","1: 2018-19","Lakers",46,7.5,3.3,1.7,"56.5%"
"Larry Nance, Jr.","1: 2017-18","Cavaliers",44,7,5.9,1,"56.8%"
"Luke Jackson","2: 2004-05 to 2005-06","Cavaliers",44,2.7,1,0.6,"50.0%"
"George Hill","1: 2017-18","Cavaliers",43,9.3,2.4,2.5,"58.1%"
"Christian Wood","1: 2023-24","Lakers",43,7.1,5.2,1,"55.8%"
"Wesley Matthews","1: 2020-21","Lakers",43,4.6,1.4,0.9,"60.5%"
"Marc Gasol","1: 2020-21","Lakers",42,4.8,4.1,2.1,"64.3%"
"Dion Waiters","2: 2014-15 to 2019-20","Cavaliers, Lakers",41,9.6,1.5,1.9,"58.5%"
"Mike Bibby","1: 2010-11","Heat",41,5.5,2,1.9,"68.3%"
"Jason Kapono","1: 2003-04","Cavaliers",40,3.6,1.4,0.4,"37.5%"
"Ante Zizic","1: 2017-18","Cavaliers",40,3.3,1.7,0.2,"57.5%"
"Dexter Pittman","3: 2010-11 to 2012-13","Heat",40,2.1,1.8,0.2,"70.0%"
"Jared Cunningham","1: 2015-16","Cavaliers",39,2.4,0.7,0.5,"79.5%"
"Flip Murray","1: 2005-06","Cavaliers",38,11.6,2.8,2.3,"57.9%"
"Rodney Hood","1: 2017-18","Cavaliers",38,8.4,2.2,1.3,"52.6%"
"Dorian Finney-Smith","1: 2024-25","Lakers",38,7.6,3.7,1.2,"65.8%"
"Deron Williams","1: 2016-17","Cavaliers",38,5,1.3,2.6,"60.5%"
"Troy Daniels","1: 2019-20","Lakers",38,4,1,0.4,"76.3%"
"Maxwell Lewis","2: 2023-24 to 2024-25","Lakers",38,0.3,0.2,0.2,"55.3%"
"Darius Miles","1: 2003-04","Cavaliers",36,8.9,4.4,2.2,"27.8%"
"Patrick Beverley","1: 2022-23","Lakers",36,7.1,3.2,2.6,"47.2%"
"Kay Felder","1: 2016-17","Cavaliers",36,3.3,0.8,1.2,"69.4%"
"Mike Wilks","1: 2005-06","Cavaliers",36,1.2,0.8,0.5,"44.4%"
"Brandon Ingram","1: 2018-19","Lakers",34,17.7,4.7,2.4,"55.9%"
"Lonzo Ball","1: 2018-19","Lakers",34,8.9,5.1,4.7,"58.8%"
"Stanley Johnson","1: 2021-22","Lakers",34,6.2,2.8,1.5,"38.2%"
"Toney Douglas","1: 2013-14","Heat",34,2.9,1.8,1.4,"58.8%"
"Tyson Chandler","1: 2018-19","Lakers",34,2.5,5.6,0.6,"61.8%"
"Thomas Bryant","1: 2022-23","Lakers",33,11.4,6.8,0.7,"54.5%"
